,PROPTYPE,DTO,DOM,AGE,COOLING,lng,AREA,SQFT,LISTDATE,BEDS,BATHS,REMARKS,OTHERFEATURES,SHOWINGINSTRUCTIONS,OFFICEPHONE,STATUS,STYLE,ZIP,LEVEL,HEATING,JUNIORHIGHSCHOOL,SOLDPRICE,STATE,AGENTNAME,lat,HIGHSCHOOL,CITY,EXPIREDDATE,STREETNAME,PHOTOURL,HOUSENUM1,OFFICENAME,SOLDDATE,GARAGE,LOTSIZE,ELEMENTARYSCHOOL,ADDRESS,MLSNUM,LISTPRICE,HOUSENUM2
,SF,4,20,87,,-71.1546,East Arlington ,1717,8/22/2013,3,1.5,"Prime East Arlington location! This wonderful Colonial has been meticulously maintained and reflects true pride of ownership! Spacious and sunny; this eight room home has three spacious bedrooms with a bonus room in the attic which is perfect for the potential fourth bedroom or terrific home office. The kitchen is quite large and the family room is located adjacent to the kitchen and overlooks the rear yard and deck. There are beautiful hardwood floors throughout most of the home and the living room has a brick fireplace and the front porch is a lovely 3 season porch.  Convenient walk to bike path, Alewife Station and Mass Ave.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Dishwasher, Disposal, Refrigerator;Foundation:Concrete Block;Construction:Frame;Exterior:Aluminum;Exterior Features:Porch - Enclosed, Deck, Gutters, Screens;Insulation:Unknown;Electric:Circuit Breakers;Interior Features:Cable Available, Walk-up Attic;Hot Water:Natural Gas, Tank;","Call List Office, Lock Box, Key in Office, Appointment Required",(781) 648-3500,SLD,Colonial,02474,1,"Electric Baseboard, Steam, Gas",Ottoson,482000,MA,Stephen McKenna,42.4026,AHS,Arlington,,Lake St,http://media.mlspin.com/photo.aspx?mls=71573504,194,Bowes Real Estate Real Living,10/15/2013,0,4551,Hardy,194 Lake St,71573504,469000,194
,SF,39,53,65,,-71.1747090339939,,1536,4/12/2007,3,1.5,"Immaculate, renovated seven room Cape near Brackett School & Skyline Park! Eat-in oak cabinet kitchen opens to a versatile space for use as a dining room or family room. Enhanced beech laminate floor in living room, hardwood in first floor bedrooms. Flexible floor plan offers option of fourth bedroom. Central air, replacement windows, 12 x 15 custom deck. Just move in and enjoy!","Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet, Laminate;Appliances:Range, Wall Oven, Disposal;Foundation:Concrete Block;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck;Insulation:--;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Natural Gas;","Call List Agent, Lock Box, Appointment Required",(781) 862-1700,SLD,Cape,02476,1,"Forced Air, Gas",Ottoson,450000,MA,Susan Gilbert Phillips,42.41694318138383,Arlington,Arlington,,Grandview Road,http://media.mlspin.com/photo.aspx?mls=70557697,15,The Higgins Group REALTORS®,7/19/2007,1,6200,Brackett,15 Grandview Road,70557697,459900,15
,SF,7,7,23,,-71.1559,,4840,3/18/2015,4,3,"Custom Built Morningside Colonial offering the perfect blend of size and functionality awaits its next new owner proud to call it home! The Open Floor Plan, Sun-Filled Chef's Kitchen with Garland gas range, commercial refrigerator and walk-in pantry, sure to please the best of great cooks, opens to a fabulous family room, 1/2 bath, and amazing large screened porch perfect for entertaining! A welcoming entry, formal living room with fireplace, large dining room and 1st floor home office complete the main level. A Master Suite with cathedral ceiling, walk-in closet and en-suite bath, 3 additional bedrooms with large closets, 2nd full bath and laundry room offer great space for family or out of town guests. A new roof, central vacuum, irrigation system, invisible pet fence, oversize two car garage, a lower level playroom and 3 additional rooms with its own entry could be fabulous Home Office, In-Law Suite or extra storage. An expansive lot with Mystic Lake Views complete this unique home!","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Concrete, Hardwood;Appliances:Range, Wall Oven, Dishwasher, Disposal, Microwave, Refrigerator, Freezer - Upright, Vent Hood;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch - Screened, Deck, Gutters, Professional Landscaping, Sprinkler System, Screens, Invisible Fence, Stone Wall;Insulation:Full;Electric:Circuit Breakers, 200 Amps;Interior Features:Central Vacuum, Security System, Cable Available, French Doors, Wired for Surround Sound;Hot Water:Natural Gas, Tankless;",Call ShowingTime at 888-627-2775,(781) 729-7777,SLD,Colonial,02474,1,"Hot Water Baseboard, Gas",Ottoson,975000,MA,Judy Sousa,42.4325,,Arlington,,Old Mystic Street,http://media.mlspin.com/photo.aspx?mls=71802883,75,Century 21 Commonwealth,4/30/2015,2,16190,Bishop,75 Old Mystic Street,71802883,899000,75
,SF,140,161,65,,-71.1538,,1606,8/3/2011,3,1.5,"Wake up to a waterfront view of Spy Pond from your four-season enclosed porch in this one of a kind residence. This Kelwyn Manor property has a bay window overlooking the yard and water, a living room with fireplace, three bedrooms, and the privacy and comfort to make you feel at home.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Disposal, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles;Exterior Features:Porch - Enclosed, Patio, Gutters, Storage Shed;Insulation:--;Electric:--;Interior Features:--;Hot Water:Natural Gas;","Call List Office, Accompanied Showings, Appointment Required, Other (See Special Showing Instructions)",(617) 864-9779,SLD,Garrison,02474,1,Gas,,684000,MA,Arthur Horiatis,42.4072,,Arlington,,Sheraton Park,http://media.mlspin.com/photo.aspx?mls=71270404,6,Tory Row Real Estate,2/24/2012,1,8266,,6 Sheraton Park,71270404,689000,6
,SF,13,25,84,,-71.1802597933324,,1666,3/26/2009,3,1.5,"Meticulously maintained Colonial only a few blocks to Brackett Elementary School and Skyline Park. The abundant period detail will capture your heart; French doors, wainscotting, crown mouldings, firplace, etc...are all in pristine condition! The first floor family room, updated kichen, bath and walk-up attic complete this inviting package. Convenient to all-shops, restaurants, buses, Alewife Station, Minute Man Bikepath and Route 2.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:Range, Dishwasher, Disposal, Washer, Dryer;Foundation:Concrete Block;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch - Enclosed;Insulation:--;Electric:Circuit Breakers, 100 Amps;Interior Features:--;Hot Water:Natural Gas, Tank;",Call ShowingTime at 888-627-2775,(781) 648-6900,SLD,Colonial,02476,1,"Steam, Oil",Ottoson Middle,452000,MA,Steve O Brien,42.4160512029152,Arlington High,Arlington,,Park Avenue,http://media.mlspin.com/photo.aspx?mls=70893573,271,Century 21 Adams KC,7/1/2009,0,4752,Brackett Elem.,271 Park Avenue,70893573,459000,271
,SF,78,90,78,,-71.1774,,1587,3/18/2010,4,1.5,"Very well-maint'd, charming  C.E.Col on double lot features fireplaced LR w/crown molding, wainscoting, bay window & blt-in shelving, open DR w/crown molding, chair rail & blt-in corner hutch, eat-in cabinet Kitchen w/tile backsplash, tile flr & recessed lighting, 1st flr knotty pine Den, MBR w/walk-in closet plus 3 add'l corner BRs, lrg walk-up unfin'd attic, partially finished bsmnt w/stone fireplace, trex deck, replacement windows, lovely landscaped yard, newer front stairs, direct entry gar","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Dishwasher;Foundation:Concrete Block;Construction:Frame;Exterior:Wood, Brick;Exterior Features:Covered Patio/Deck, Professional Landscaping, Fenced Yard;Insulation:Partial;Electric:Fuses;Interior Features:Walk-up Attic;Hot Water:Natural Gas;","Call List Office, Lock Box, Appointment Required",(617) 484-0331,SLD,Colonial,02476,1,"Steam, Gas",Ottoson,555000,MA,Frederick Pizzi,42.4112,Arlington HS,Arlington,,Glenburn Rd,http://media.mlspin.com/photo.aspx?mls=71049217,95,Lawndale Realty,7/16/2010,1,8879,Bracket,95 Glenburn Rd,71049217,579000,95
,SF,105,106,115,,-71.1522812542288,,1771,8/3/2006,4,1,"PRICE REDUCED!!!, 7 Room 4 bedroom home, Eat-in kitchen + dining room, 1 full bath, 1 lav,Three-season porch, front porch and back deck, Enjoy the view of upper Mystic Lake from bedrooms and deck, Beautifully landscaped with wonderful perennial garden, Neighborhood beach association, Walking distance to Bishop School","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:--;Foundation:Fieldstone;Construction:--;Exterior:Wood;Exterior Features:Deck;Insulation:--;Electric:Fuses;Interior Features:--;Hot Water:Natural Gas;",Owner,(877) 249-5478,SLD,Bungalow,02474,1,Hot Water Radiators,Arlington,475000,MA,Jason Saphire,42.4307563378167,Arlington,Arlington,,Robin Hood Rd,http://media.mlspin.com/photo.aspx?mls=70434827,24,The Entry Only Listing Service,11/16/2006,0,7500,Bishop,24 Robin Hood Rd,70434827,518900,24
,SF,32,32,175,,-71.1617633282642,,3000,1/30/2008,4,2.5,"The Historic James Wyman House has been lovingly maintained. This 1840's Greek revival 4 bedroom gem was moved to the present location in 1998 and brought to life with a glorious renovation and large addition featuring great attention to detail,luxury and quality.  Historic features abound through out this house including a grand staircase, floor to ceiling windows, hrwd.flrs and a welcoming front porch. Large chefs kitchen opens to light and cheery family room with french drs to patio and yard","Basement:Yes;Fireplaces:4;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator, Freezer, Washer, Dryer;Foundation:Granite, Other (See Remarks);Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Porch, Patio;Insulation:Unknown;Electric:200 Amps;Interior Features:Security System;Hot Water:Natural Gas;",Call List Agent,(617) 864-8566,SLD,Other (See Remarks),02476,1,"Forced Air, Hot Water Baseboard, Gas",Ottoson,839900,MA,Kendall Luce,42.4072882689532,Arlington High,Arlington,,Pleasant St,http://media.mlspin.com/photo.aspx?mls=70705171,235,Coldwell Banker Residential Brokerage - Cambridge - Huron Ave.,3/17/2008,2,15440,Bishop,235 Pleasant St,70705171,839900,235
,SF,10,10,95,,-71.164,Brattle Station ,1500,11/8/2013,4,1.5,"Recently renovated charming colonial located on a dead end street! A beautiful porch greets you upon your approach. The first floor consists of an entry, large open living room dining room, a beautiful farmers kitchen with bead board cabinets and honed granite counters. The half bath and laundry are located off the kitchen. There is also a mud room off the driveway and back yard entrance. The second level offers 3 beds and a full bath. There is a 3rd level that has two rooms that could be turned into a master suite.  Rough plumbing has been brought up.  The basement offers great ceiling height and plenty of space for storage.  There is a lovely patio, manageable yard and 2 parking spaces. All this conveniently located near the Minuteman Bike Path, Mass Ave, and public transportation!","Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Hardwood;Appliances:Range, Dishwasher, Disposal, Refrigerator;Foundation:Fieldstone;Construction:Frame;Exterior:Shingles, Asbestos;Exterior Features:Porch, Patio, Gutters, Screens, Fenced Yard;Insulation:Partial;Electric:Circuit Breakers;Interior Features:Cable Available, Walk-up Attic;Hot Water:Natural Gas, Tank;","Call List Office, Lock Box, Key in Office, Appointment Required, Sign",(781) 648-3500,SLD,"Colonial, Antique",02474,1,"Hot Water Radiators, Gas",Ottoson,549000,MA,Stephen McKenna,42.4219,AHS,Arlington,,Summer Street Pl,http://media.mlspin.com/photo.aspx?mls=71606295,6,Bowes Real Estate Real Living,1/15/2014,0,2887,Stratton,6 Summer Street Pl,71606295,549000,6
,SF,2,2,84,,-71.1783,,1660,6/25/2012,3,1,"Are you looking for a classic New England Colonial located in Arlington Heights? Well, this spacious 7 room home has a traditional floor plan with a large living room with a fireplace, a formal size dining room and den/family room, 3 spacious bedrooms, lots of natural woodwork, hardwood floors and is close to Mass Ave & Park Ave. There is a spacious rear yard & although the house has some recent updates, there’s still some opportunity to make some repairs & cosmetic updates to your own taste.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles, Rubber;Floor:Tile, Vinyl, Wall to Wall Carpet, Hardwood;Appliances:Range, Dishwasher, Disposal, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Aluminum, Brick;Exterior Features:Deck, Gutters;Insulation:Partial;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Natural Gas, Tank;","Call List Office, Lock Box, Key in Office, Appointment Required, Sign",(781) 648-3500,SLD,Colonial,02476,1,"Steam, Gas",Ottoson,465000,MA,Stephen McKenna,42.4214,Arlington,Arlington,,Oakland Ave,http://media.mlspin.com/photo.aspx?mls=71401498,36,Bowes Real Estate Real Living,8/28/2012,1,8238,Brackett/Dallin,36 Oakland Ave,71401498,439000,36
