,PROPTYPE,DTO,DOM,AGE,COOLING,lng,AREA,SQFT,LISTDATE,BEDS,BATHS,REMARKS,OTHERFEATURES,SHOWINGINSTRUCTIONS,OFFICEPHONE,STATUS,STYLE,ZIP,LEVEL,HEATING,JUNIORHIGHSCHOOL,SOLDPRICE,STATE,AGENTNAME,lat,HIGHSCHOOL,CITY,EXPIREDDATE,STREETNAME,PHOTOURL,HOUSENUM1,OFFICENAME,SOLDDATE,GARAGE,LOTSIZE,ELEMENTARYSCHOOL,ADDRESS,MLSNUM,LISTPRICE,HOUSENUM2
,SF,7,23,27,,-71.2869,,1966,4/4/2013,4,2.5,"You'll love everything about this property..3/4 Ac Wood Lot..South facing..Walk -Pub Trans,Sch,Lib,Shop,Restaurants,Bike Trail..Youthful, Contemp Design... Tasteful Wall Colors,Openness,Brite,Cheerful..Cath Ceil LR..Stunning Multi-lev. Staircase..Granite Counter Kit...SS appliances..Ex-Lg Shower/MBR..4th BR-wood burning Firepl!  FamRm w/insert for wood burning stove! Quiet space for everyone...Choices for room uses are numerous!Abundant Closets! Gleaming Hdwd Flrs..C/A & Heating~3 yrs...Roof-9yr","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer;Foundation:Poured Concrete, Irregular;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Deck, Deck - Wood;Insulation:--;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available, Whole House Fan;Hot Water:Electric, Tank;","Call List Agent, Lock Box, Appointment Required, Sign",(781) 641-3200,SLD,"Contemporary, Split Entry, Multi-Level",01730,2,"Forced Air, Oil",JOHN GLENN MS,573000,MA,Jean Colbath,42.4932,BEDFORD H.S.,Bedford,,Concord Rd,http://media.mlspin.com/photo.aspx?mls=71503663,29,Realty Executives Metro West,5/24/2013,2,30091,DAVIS/LANE,29 Concord Rd,71503663,559000,29
,SF,23,97,115,,-71.2506967857466,,1400,10/2/2005,3,1.5,"Washed in sunshine and neutral colors, this charming and totally renovated 3 bedroom home will steal your heart!  Open floor plan, skylights and hardwood floors - characteristics make this a very special offering.  A newly finished four season sun room for relaxation or entertaining opens to a private yard and patio perfect for summer grilling and sipping Chardonnay.  The location is so convenient to commuting routes, the best of restaurants and shopping, yet nestled in a neighborhood.","Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Range, Dishwasher;Foundation:Poured Concrete;Construction:Frame;Exterior:--;Exterior Features:Patio, Storage Shed;Insulation:Unknown;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Natural Gas;",Call List Agent,(978) 369-6453,SLD,Colonial,01730,1,"Hot Water Baseboard, Gas",Bedford,388000,MA,Laurie Cadigan,42.4993605,BEDFORD HIGH,Bedford,,Hume Rd,http://media.mlspin.com/photo.aspx?mls=70270979,19,"J M Barrett & Co., Inc.",11/23/2005,0,8865,Bedford,19 Hume Rd,70270979,399900,19
,SF,70,187,62,,-71.2754614,,864,8/23/2006,3,1,"1 level home in neighborhood setting close to Bedford Center and T stop. Great Condo Alternative. Property abuts Minute Man Bikeway ext. HW floors, Alarm System and Central AC add value. Owners have replaced most windows and added high power kitchen exhaust fan. There is a 14 x 10 shed for storage. Move right in!!!",Basement:No;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range;Foundation:Other (See Remarks);Construction:Frame;Exterior:Vinyl;Exterior Features:Storage Shed;Insulation:Unknown;Electric:Circuit Breakers;Interior Features:Security System;Hot Water:Tank;,Call List Office,(781) 862-2600,SLD,Ranch,01730,1,"Forced Air, Gas",John Glenn,300000,MA,Patricia Gartland,42.49770635,Bedford,Bedford,,Nickerson Rd,http://media.mlspin.com/photo.aspx?mls=70445061,18,Coldwell Banker Residential Brokerage - Lexington,12/4/2006,0,12665,Davis/Lane,18 Nickerson Rd,70445061,319900,18
,SF,62,343,5,,-71.3138,,2855,7/1/2011,4,2.5,"Brand New Construction on a very quiet street in Bedford - voted #6 in Best of Boston!    Stunning 4 bdrm / 2.5 bath within walking distance to Davis Sch & playgrounds / athletic fields, this NEW colonial is as beautiful inside as it is out.    Enjoy the Gourmet Eat In Kitchen with Wine Fridge that adjoins a fireplaced Family Room with built in cabinets & a slider leading out to patio set in the professionally landscaped yard ... or retreat to your gorgeous Master Suit with Master Bath!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood, Stone / Slate;Appliances:Disposal, Microwave, Freezer, Refrigerator - ENERGY STAR, Refrigerator - Wine Storage, Dishwasher - ENERGY STAR, Vent Hood, Range - ENERGY STAR, Oven - ENERGY STAR;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Patio, Gutters, Professional Landscaping, Sprinkler System, Decorative Lighting;Insulation:Full, Fiberglass;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available, Walk-up Attic;Hot Water:Natural Gas;",Owner,(781) 879-9210,SLD,Colonial,01730,1,"Central Heat, Forced Air, Gas",John Glenn MS,815000,MA,Brian DeVellis,42.4861,Bedford High,Bedford,,Riverside,http://media.mlspin.com/photo.aspx?mls=71256070,15,L&D Realty Group,9/27/2011,2,14888,Davis / Lane,15 Riverside,71256070,829000,15
,SF,78,276,71,,-71.2598,,1296,2/4/2013,3,1,"Perfect Starter Home or one floor living if you choose! Location, location, location, this lovely home has that AND a quiet neighborhood setting on a level lot. Cozy up to the fireplace on those cold winter days or jump out on your trek deck for summer bbqs.  So many updates (attached) including heat conversion to gas in 2004, updated windows, wiring, plumbing, insulation, etc.  This is ready to move in today!  Make offer today!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wall to Wall Carpet, Laminate;Appliances:Range, Dishwasher, Microwave, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck, Storage Shed;Insulation:--;Electric:Circuit Breakers, 200 Amps;Interior Features:--;Hot Water:Natural Gas;",Call ShowingTime at 888-627-2775,(978) 251-8221,SLD,Cape,01730,1,"Hot Water Baseboard, Gas, Electric",,330000,MA,Debi Malone,42.4831,,Bedford,,Pine St,http://media.mlspin.com/photo.aspx?mls=71479306,7,RE/MAX Prestige,6/12/2013,0,7000,,7 Pine St,71479306,334900,7
,SF,10,44,49,,-71.3159,,1705,8/6/2014,3,3,"****HIGHEST AN BEST OFFERS NEED TO BE RECEIVED BY 08/16/2014 AT 2PM ON THIS PROPERTY*********Lots of possibilities.  Plenty of SF, could be 4-5 bedroom home again. Located on a cul-de-sac, .69 acre lot. One car attached garage plus 6 parking spaces. Lower level of the property is unfinished at this time and other work is needed, but seller has priced this property accordingly!  Sliding glass doors in upper level bedroom that lead to large wood rear deck. 2 fireplaces.","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:--;Foundation:Poured Concrete, Slab;Construction:Frame;Exterior:Wood;Exterior Features:--;Insulation:--;Electric:220 Volts, Circuit Breakers;Interior Features:--;Hot Water:Electric;",Call ShowingTime at 888-627-2775,(781) 769-5700,SLD,"Raised Ranch, Split Entry",01730,,"Hot Water Baseboard, Oil",Bedford,265000,MA,David J. Oliveri,42.4806,Bedford,Bedford,,Bonnievale Dr,http://media.mlspin.com/photo.aspx?mls=71725399,13,Prudential Prime Properties,9/19/2014,1,30225,David/Lane,13 Bonnievale Dr,71725399,209000,13
,SF,4,12,62,,-71.2538,,1344,1/15/2015,3,2,"Home sweet home! Here's the one you've been waiting for. This picture perfect, sweet as pie, Classic Bedford Cape offers an enclosed breezeway, garage, eat-in kitchen, 2 baths, and a partially finished lower level. On over an acre lot in a fabulous commuter location, easy access to Rtes 128 and Rte 3, and conservation land. This home was exceptionally well maintained and adored by her owner--and has recently enjoyed fresh interior paint. The home absolutely sparkles with morning light! Here's your chance to own a gem,and a great value, in desirable Bedford.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wall to Wall Carpet;Appliances:Range, Dishwasher, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch - Enclosed, Gutters;Insulation:Unknown;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Tank;","Appointment Required, Sign, Call ShowingTime at 888-627-2775",(781) 862-1700,SLD,Cape,01730,1,"Forced Air, Oil",JGMS,501500,MA,Diane Cadogan Hughes,42.4951,BHS,Bedford,,Hemlock Lane,http://media.mlspin.com/photo.aspx?mls=71784461,8,The Higgins Group REALTORS®,2/20/2015,1,51200,DavisK-2Lane3-5,8 Hemlock Lane,71784461,498000,8
,SF,63,81,48,,-71.2601,,2138,5/12/2011,3,2,"This gorgeous home shows pride of ownership inside & out. Stunning home, great loca, superb neighborhood, nothing to do but move in & enjoy..what's not to love? This impeccable maintained home is sure to impress even the most discerning buyer. Deceiving from the road, this special home offers an amazing gourmet kit opened to the stunning vaulted FR, formal DR & LR & wonderful LL w/ FR, play rm and 4th BR. Gorgeous yard w/ mature trees, lge deck & patio perfect for BBQ's! Easy access to rt 128!","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Wall Oven, Dishwasher, Disposal, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Wood;Exterior Features:Deck, Patio, Storage Shed;Insulation:--;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available;Hot Water:Tank;",Call ShowingTime at 888-627-2775,(781) 862-1700,SLD,Split Entry,01730,1,"Hot Water Baseboard, Gas",John Glenn,565000,MA,Debbie Spencer,42.4818,Bedford High,Bedford,,Pine St,http://media.mlspin.com/photo.aspx?mls=71231832,24,The Higgins Group REALTORS®,8/25/2011,1,31087,Davis/Lane,24 Pine St,71231832,579000,24
,SF,31,43,16,,-71.2793,,2687,9/10/2014,4,3,"Where else can you find a newer house with all the charm of an older NE home, ideally situated in the heart of Historic Bedford Center? What a rare opportunity!! This classic, expanded Cape style home was built in 1999 to fit right into its surroundings, which include beautiful antique residences and the iconic Church on the Common! Walk to anything and everything! The house itself is simply beautiful, with a nice open kitchen and living area. The kitchen itself is nicely updated with granite counters and cherry cabinets nicely accented by a custom tile backsplash. Picture the cozy nights by the wood-burning fireplace this fall! 2 bedrooms and a full updated bath round out the main level. Upstairs you will find 2 very spacious bedrooms and another full bath. Rich hardwood flooring on both of these levels. The lower level has even MORE space! This great, sunny walk-out space offers a family room, office, and yet another full bath! Central air, Pella windows. Great backyard and deck too!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Deck, Professional Landscaping;Insulation:Full;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available;Hot Water:Oil, Tank;",Call ShowingTime at 888-627-2775,(978) 369-5775,SLD,Cape,01730,1,"Hot Water Baseboard, Oil",John Glenn MS,610000,MA,Team Suzanne and Company,42.4905,Bedford HS,Bedford,,South Road,http://media.mlspin.com/photo.aspx?mls=71741458,40,Keller Williams Realty Boston Northwest,12/3/2014,0,12730,DavisK-2Lane3-5,40 South Road,71741458,625000,40
,SF,3,9,56,,-71.2639,,2339,2/28/2012,4,2.5,"This sprawling  ranch offers amazing space all on one floor.  Open floor plan offering spacious LR w/ cathedral ceilings, formal dining room w/ h/w flrs, built-ins & fireplace & family room w/ vaulted ceilings & sliders to back patio Enjoy 4 bedrooms, one with an attached half bath plus a master suite with vaulted ceilings and full bath.  Gorgeous 30,000 square foot lot and just a short walk away from exceptional shopping and dining! Great location with easy access to route 128 and route 3.","Basement:No;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Wall Oven, Dishwasher, Disposal, Microwave;Foundation:Slab;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Patio, Storage Shed;Insulation:--;Electric:Circuit Breakers, 100 Amps;Interior Features:Cable Available;Hot Water:Tank;",Call ShowingTime at 888-627-2775,(781) 862-1700,SLD,Ranch,01730,1,"Hot Water Baseboard, Radiant, Gas",John Glenn,590000,MA,Debbie Spencer,42.4883,Bedford High,Bedford,,Elmbrook Circle,http://media.mlspin.com/photo.aspx?mls=71344147,9,The Higgins Group REALTORS®,4/18/2012,1,30406,Davis/Lane,9 Elmbrook Circle,71344147,599000,9
