,PROPTYPE,DTO,DOM,AGE,COOLING,lng,AREA,SQFT,LISTDATE,BEDS,BATHS,REMARKS,OTHERFEATURES,SHOWINGINSTRUCTIONS,OFFICEPHONE,STATUS,STYLE,ZIP,LEVEL,HEATING,JUNIORHIGHSCHOOL,SOLDPRICE,STATE,AGENTNAME,lat,HIGHSCHOOL,CITY,EXPIREDDATE,STREETNAME,PHOTOURL,HOUSENUM1,OFFICENAME,SOLDDATE,GARAGE,LOTSIZE,ELEMENTARYSCHOOL,ADDRESS,MLSNUM,LISTPRICE,HOUSENUM2
,SF,96,96,49,,-71.425163,,1504,12/15/2006,3,2,"Best entry-level house for getting into Acton school district. 3+ bedrooms, 2-car garage on a level 0.5-acre lot in south Acton near Concord line. Convenient commuter location. House features hardwood floors on main floor, 2 fireplaces in both living and family rooms, bay window in living room, open kitchen design with a good size dining area (11x8), finished basement with family room, bath and 4th bedroom. Fenced yard. Newer septic(99), roof(1996,35 years shingle) and furnace. OH 3/18 2:30-4","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:Range;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Deck, Gutters, Fenced Yard;Insulation:--;Electric:110 Volts;Interior Features:--;Hot Water:--;",Call ShowingTime at 888-627-2775,(978) 264-0900,SLD,Ranch,01720,1,"Hot Water Baseboard, Gas",RJ Grey,370000,MA,Frank Chen,42.464245,ABRHS,Acton,,School St,http://media.mlspin.com/photo.aspx?mls=70500354,255,"Good School Realty, Inc.",4/30/2007,2,21756,Choice of 5,255 School St,70500354,375000,255
,SF,117,117,2,,-71.4223,,2132,9/27/2013,2,2,"New Construction! The Residences at Quail Ridge, Acton's Premier 55+ Active Adult Community!  The Barnsdale one of our newest detached plans, offers elegant 1 flr living with open great rm and dining rm concept, kitchen with center island and granite, large master suite & bath, 1st floor laundry, walk-out basement and 2 car garage. Gorgeous Golf Course Views from this home.  Enjoy Maintenance Free Living at its Finest!  Come experience this tremendous value! Open Tues - Sun 10 - 5.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave, Dishwasher - ENERGY STAR, Range - ENERGY STAR;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck - Composite, Professional Landscaping, Sprinkler System, Screens;Insulation:Full, Fiberglass, Blown In;Electric:110 Volts, 220 Volts, Circuit Breakers, 200 Amps;Interior Features:Cable Available;Hot Water:Natural Gas, Tankless;","Call List Office, Go Direct, Accompanied Showings",(508) 870-9999,SLD,"Ranch, Other (See Remarks)",01720,,"Forced Air, Gas",,688089,MA,Elizabeth Pacini,42.5041,,Acton,,Skyline Drive,http://media.mlspin.com/photo.aspx?mls=71589895,56,Pulte Homes of New England,9/23/2014,2,0,,56 Skyline Drive,71589895,523485,56
,SF,302,343,61,,-71.4648,,1120,7/27/2010,4,1,Adorable cape. 5 minutes from train station. Open house Sunday's 1-3. Immaculately maintained. Hardwood floors. Updated kitchen. Vinyl windows. newer roof and septic. Lots of storage & garage. Abuts conservation land for privacy.,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:Range, Washer, Dryer;Foundation:Concrete Block;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch - Enclosed;Insulation:--;Electric:--;Interior Features:--;Hot Water:Electric;","Lock Box, Appointment Required, Sign, Call ShowingTime at 888-627-2775",(508) 481-0481,SLD,Cape,01720,1,"Central Heat, Steam, Oil",,273000,MA,Ernest Houde Jr.,42.4646,,Acton,,Central St,http://media.mlspin.com/photo.aspx?mls=71114762,84,"WEICHERT, REALTORS® - Ernie Houde Associates",7/15/2011,1,10816,,84 Central St,71114762,295000,84
,SF,137,147,140,,-71.4586,,1094,6/9/2011,3,1.5,"Great Rehab Opportunity!  The newer roof, furnace and hot water heater provides a good head start for this rehab project, in which the interior needs to be completely redone.  There is a very nice side yard. You can easily walk to the commuter rail. Near major commuter routes. It is near to a lovely park, in a neighborhood of other rehabilitated homes. Builders pay attention!","Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:--;Foundation:Fieldstone, Irregular;Construction:Frame;Exterior:--;Exterior Features:Storage Shed;Insulation:--;Electric:--;Interior Features:--;Hot Water:Natural Gas;","Call List Office, Lock Box, Appointment Required, Sign",(978) 692-2121,SLD,"Colonial, Antique",01720,1,Central Heat,,142000,MA,Kathryn Cunningham,42.4602,,Acton,,Maple Street,http://media.mlspin.com/photo.aspx?mls=71245836,41,Coldwell Banker Residential Brokerage - Westford,12/30/2011,0,10890,,41 Maple Street,71245836,174900,41
,SF,5,14,65,,-71.4435,South Acton ,1530,4/4/2014,4,1,"Solidly built cape style home reflecting charm, warmth and character. Located close to commuter train and route 2 with a detached one car garage and private back yard. The hardwood floors and trim ( in many rooms ) are just beautiful ! The main floor features a sunny eat-in kitchen and a large LR with fireplace. Two other rooms could be used as bedrooms, a home office or a playroom. Full bath also on main floor. The second floor has two dormered bedrooms with large cedar closets and built in drawers. Extra storage behind closets. A second full bathroom could be created in the storage room ( between bedrooms ) which already has lighting and heat. Full basement with laundry area , bulkhead and lots of storage space.  Main floor windows updated in 1998, roof repairs done in 1996, furnace replaced in 2004 and Title V in hand for 4 bedroom septic. This special property shows the care and pride of a one family ownership and awaits a new family with fresh decorating ideas. Welcome home !","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Vinyl, Hardwood;Appliances:Range, Refrigerator, Washer, Dryer;Foundation:Concrete Block;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Gutters, Screens;Insulation:Unknown;Electric:Fuses;Interior Features:--;Hot Water:Tank;","Lock Box, Sign, Call ShowingTime at 888-627-2775",(978) 263-3303,SLD,Cape,01720,1,"Forced Air, Oil",R.J. Grey,361000,MA,Peggy Beresford,42.4647,ABRHS,Acton,,Piper  Road,http://media.mlspin.com/photo.aspx?mls=71655446,43,Coldwell Banker Residential Brokerage - Acton,4/28/2014,1,30150,Choice of 5,43 Piper  Road,71655446,339000,43
,SF,5,23,35,,-71.4664,,3508,7/27/2010,5,2.5,"Classic,remarkably maintained and updated,Acton Center Colonial, abuts Minuteman Ridge.Walk to schools and shopping.New KITCHEN,HEATING SYSTEM,3 NEW BATHS. Gourmet Kit w/granite cntrs,custon cab.,ctr. island BB,dining area,stainless GE Profile appl.Other updates:roof,garage doors,irrig.system,alarm system,HARDWOOD floors throughout.Special features are the screened porch,prof. landscaped patio,walks,walls and perennial garden. The perfect home for the demanding buyer!","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Vinyl, Laminate, Hardwood, Stone / Slate;Appliances:Dishwasher - ENERGY STAR, Cooktop - ENERGY STAR, Oven - ENERGY STAR;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Masonite;Exterior Features:Porch, Patio, Gutters, Professional Landscaping, Sprinkler System, Screens;Insulation:Full;Electric:Circuit Breakers, 200 Amps;Interior Features:Security System, Cable Available, Whole House Fan;Hot Water:Oil, Tank;","Call List Agent, Lock Box, Sign",(978) 369-1000,SLD,Colonial,01720,1,"Hot Water Baseboard, Oil",RJ Grey JRHS,779000,MA,Patricia Sinton,42.4801,ABRHS,Acton,,Knowlton Dr,http://media.mlspin.com/photo.aspx?mls=71114777,22,Coldwell Banker Residential Brokerage - Concord,8/27/2010,2,30113,Choice of 5,22 Knowlton Dr,71114777,774000,22
,SF,5,5,61,,-71.4215,South Acton ,1075,2/2/2015,3,2,"Charming Cape with updated kitchen and two baths! Current owners installed new windows and a new front door among a list of other updates .The roof was replaced in 2007.The traditional floor plan offers a first floor bedroom (or office) with closet, dining room with closet, fireplaced (with new mantle) living room and lovely updated kitchen with stainless appliances, granite and new cabinetry.Two bedrooms and a full bath upstairs! A full basement with bulkhead offers plenty of storage space and washer and dryer included. This home is conveniently located on the South side of Acton with a minute access to Route 2 East, two train stations ; South Acton (2 miles) and West Concord (1 mile) .Conservation land nearby offers recreation. Shopping and Actons award winning schools all within a five minute drive or less. A very sweet home!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl;Appliances:Range, Dishwasher, Refrigerator, Washer, Dryer;Foundation:Concrete Block;Construction:Frame;Exterior:Vinyl;Exterior Features:Fenced Yard;Insulation:Unknown;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Oil, Tank;","Lock Box, Appointment Required, Sign, Call ShowingTime at 888-627-2775",(978) 369-5775,SLD,Cape,01720,1,"Hot Water Baseboard, Hot Water Radiators, Oil","RJGrey,7-8",341000,MA,Ann Erickson Shaw,42.4626,"ABRHS,9-12",Acton,,Lawsbrook Rd,http://media.mlspin.com/photo.aspx?mls=71789232,11,Keller Williams Realty Boston Northwest,3/31/2015,1,15000,choice of 6,11 Lawsbrook Rd,71789232,329800,11
,SF,13,20,52,,-71.4853194126594,,2973,9/1/2006,3,3.5,"A ranch in name only!Absolutely a dream of a home-custom built with impeccable craftsmanship & detail.Spacious rooms,large windows thruout;great eat-in kitchen with lots of room for the family to gather;formal living room with stone front fireplace (for looks only) & Bird's Eye Maple bookshelves;formal dining room; gorgeous family room with gas fireplace & granite accents;3 generous bedrooms including master suite;lower walkout basement with fireplaced Great room,3/4 bath,kitchenette;landscape!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Wall Oven, Dishwasher, Microwave, Countertop Range, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood, Stone;Exterior Features:Gutters, Professional Landscaping;Insulation:--;Electric:200 Amps;Interior Features:Cable Available;Hot Water:Oil, Tank;","Lock Box, Sign, Call ShowingTime at 888-627-2775",(978) 263-8887,SLD,Ranch,01720,1,"Hot Water Baseboard, Oil",RJ Grey,590000,MA,Mary Brannelly,42.4723777810787,Acton Boxboroug,Acton,,Summer St,http://media.mlspin.com/photo.aspx?mls=70449841,111,ERA Morrison Real Estate,10/26/2006,5,77537,Acton,111 Summer St,70449841,589900,111
,SF,16,65,9,,-71.4,,4819,11/10/2009,4,3.5,"Designed with elegance and grace, this beautiful Chatsworth style colonial located in desirable Robbins Mill neighborhood is sure to please you. Features gracious & dramatic foyer with turned staircase entry and fine finishes including upgraded hardwood floors, high ceilings, decorative columns and built in cherry bookcase. Gourmet kitchen with stainless stell appliance, upgraded cabinetry & over-sized granite center counter. In-ground gunite pool, hot tub, expansive lawns and perennial gardens.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:Range, Wall Oven, Dishwasher, Microwave, Countertop Range;Foundation:Poured Concrete;Construction:Frame;Exterior:Other (See Remarks);Exterior Features:--;Insulation:--;Electric:110 Volts, Circuit Breakers, 200 Amps;Interior Features:Cable Available;Hot Water:Natural Gas, Tank;",Call ShowingTime at 888-627-2775,(978) 692-3280,SLD,Colonial,01720,1,"Forced Air, Gas",R.J. Grey Jr,935000,MA,Janet Qin,42.5183,AB High,Acton,,Canterbury Hill Rd,http://media.mlspin.com/photo.aspx?mls=71000104,12,Keller Williams Realty-Merrimack,2/26/2010,3,36836,Choice of five,12 Canterbury Hill Rd,71000104,974900,12
,SF,56,69,55,,-71.4204,,2149,6/18/2015,4,2.5,"Well maintained spacious colonial in highly desired Robins Park Neighborhood near Acton center. Come see this 8 room, 4 bedroom,  2.5 bath home on .47 acre flat lot with 2 car attached garage. Many updates including new exterior paint, new 200 amp electrical service, 3 yr old septic, 3 yr old furnace and 14 yr old roof. New granite kitchen countertops with undermount stainless steel sink and breakfast bar. Hardwood throughout first and second floors, stairway and hallway. Floor plan flows from kitchen to dining room to living room with wood burning fireplace. Generously sized rooms have great closet space. Finished basement offers additional living space with a fireplace and walkout access.  Large deck off the kitchen overlooks beautiful flat yard great for entertaining family and friends. Refrigerator, washer and dryer are included.. There is a neighborhood pool, Wheeler Recreation Area Pool under $500 per family for the summer.  Electric $80 per month and heat $250 per month avg.","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Microwave, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Deck - Wood;Insulation:Full;Electric:220 Volts, 200 Amps;Interior Features:Cable Available;Hot Water:Oil, Tankless;","Lock Box, Sign, Call ShowingTime at 888-627-2775",(978) 840-9000,SLD,Colonial,01720,1,"Hot Water Baseboard, Oil",Acton,530900,MA,Apple Country Team,42.4777,Acton/Boxboro,Acton,,Alcott Street,http://media.mlspin.com/photo.aspx?mls=71860265,8,Keller Williams Realty North Central,9/23/2015,2,20507,Acton,8 Alcott Street,71860265,550000,8
