,PROPTYPE,DTO,DOM,AGE,COOLING,lng,AREA,SQFT,LISTDATE,BEDS,BATHS,REMARKS,OTHERFEATURES,SHOWINGINSTRUCTIONS,OFFICEPHONE,STATUS,STYLE,ZIP,LEVEL,HEATING,JUNIORHIGHSCHOOL,SOLDPRICE,STATE,AGENTNAME,lat,HIGHSCHOOL,CITY,EXPIREDDATE,STREETNAME,PHOTOURL,HOUSENUM1,OFFICENAME,SOLDDATE,GARAGE,LOTSIZE,ELEMENTARYSCHOOL,ADDRESS,MLSNUM,LISTPRICE,HOUSENUM2
,SF,50,50,10,,-71.2125,,2000,4/10/2013,3,2.5,"Newer colonial with large,open floor plan & hardwood floors throughout first floor.Gorgeous kitchen w birch cabinets,granite counters,tile floors and stainless steel appliances.3 spacious bedrooms,master bedroom with full bath and walk in closet. First floor laundry w half bath. Walk up attic for future living area.Spacious 1st floor family room to walkout onto large patio overlooking private,level yard.Large mudroom connects garage to home.Great opportunity for young home at affordable price!","Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Slab;Construction:Frame;Exterior:Clapboard, Vinyl;Exterior Features:Patio, Professional Landscaping;Insulation:Full;Electric:--;Interior Features:Walk-up Attic;Hot Water:Natural Gas, Tankless;","Call List Office, Lock Box, Appointment Required",(781) 272-1900,SLD,Colonial,01803,1,"Forced Air, Gas",MSMS,540000,MA,Beverlee Vidoli,42.5065,BHS,Burlington,,Carey Ave,http://media.mlspin.com/photo.aspx?mls=71507975,8,"Vidoli & Assoc., Inc. REALTORS®",7/10/2013,1,21780,Francis Wyman,8 Carey Ave,71507975,569900,8
,SF,102,102,54,,-71.2156708529412,,1568,7/23/2005,3,2,"Great Starter Home. Three generous size bedrooms, two full bath Cape with a Contemporary Addition on a dead-end street. Open Floor plan, Hard Wood Floors throughout, a porch & a walkout basement. Contemporary Addition with Cathedral ceilings, a ceiling fan & wrap-around windows has lots of day light. Professionally landscaped level back yard. Located within a walking distance to the bus stop 350 and 352 to Boston. Will save a lot of $$$ on gas! Great value in Burlington!","Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl;Appliances:Range, Dishwasher, Disposal, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch, Gutters, Professional Landscaping;Insulation:Full;Electric:110 Volts;Interior Features:--;Hot Water:--;",Call ShowingTime at 888-627-2775,(781) 270-4770,SLD,Cape,01803,1,Forced Air,Marshall Simond,384000,MA,Sonia Mirkin,42.5168518235294,BHS,Burlington,,Sedalia Road,http://media.mlspin.com/photo.aspx?mls=70230031,33,EXIT Premier Real Estate,11/15/2005,0,7405,Pine Glenn,33 Sedalia Road,70230031,388000,33
,SF,179,207,37,,-71.1800329,,2912,10/31/2008,5,3.5,"3 FLOORS OF LIVING SPACE! Impeccable Colonial w/ Farmer's Porch and Circular Drive, NEWER ROOF, FURNACE AND VINYL SIDING! A separate 1 bedroom suite w/ kitchen on 1st floor is a perfect in-law or office set up. The main house boasts 4 large bedrooms, beautiful livingroom, dining room, bright kitchen and familyroom. Lower level has a huge game room w/ wet bar, den & exercise room and walk out. Enjoy a Gorgeous yard from 3 season porch and 16'x 20'deck. ONE OF BURLINGTON'S FINEST HOMES TO BEHOLD","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame, Brick;Exterior:Vinyl, Brick;Exterior Features:Porch, Porch - Enclosed, Deck, Patio, Pool - Above Ground, Gutters, Storage Shed, Professional Landscaping, Decorative Lighting, Fenced Yard;Insulation:Full;Electric:220 Volts, 200 Amps;Interior Features:Central Vacuum, Cable Available, Wetbar;Hot Water:Natural Gas;","Lock Box, Call ShowingTime at 888-627-2775",(781) 272-0500,SLD,Colonial,01803,1,"Hot Water Baseboard, Gas",MARSHALL SIMOND,530000,MA,Rose Manni,42.487652,BHS OR TECH,Burlington,,Mountain Rd,http://media.mlspin.com/photo.aspx?mls=70841688,48,"Showcase Of Homes, REALTORS®",5/28/2009,0,20086,MEMORIAL,48 Mountain Rd,70841688,559900,48
,SF,6,24,52,,-71.1923,,2741,3/18/2015,5,3.5,"Soaring ceilings and dramatic walls of windows invite mother nature inside this meticulously designed and maintained Contemporary, multi-level home in the sought after Fox Hill school district. This one of a kind, 9 Room, 5 bedroom, 3 1/2 bath, w/2 car garage, offers a unique open floor plan with many quality upgrades including, custom built kitchen w/granite, 1st floor family room addition off an oversized dining room w/fireplace, a couple steps up lead to an enormous living room w/cathedral ceilings, overlooking the professionally landscaped w/irrigation, fenced in 1/2 acre lot. The third floor offers 4 private oversized bedrooms starting with a master suite w/master bath & generous walk- in closet, gorgeous hardwood floors throughout, 200 amp circuit breakers, two heating & central air conditioning units, the lower level has potential for an au pair suite w/full bath and including the custom built cabinets. This truly is a one of a kind home built to entertain your growing family.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer, Vent Hood;Foundation:Poured Concrete;Construction:Frame;Exterior:Wood;Exterior Features:Deck - Wood;Insulation:--;Electric:200 Amps;Interior Features:--;Hot Water:Natural Gas;","Call List Agent, Accompanied Showings, Appointment Required",(781) 272-5001,SLD,"Contemporary, Multi-Level",01803,2,"Forced Air, Gas",Marshall,630000,MA,Dawn Thyne Naddaff,42.5203,Burlington,Burlington,,Hart St,http://media.mlspin.com/photo.aspx?mls=71802901,20,Austin Realty Group,5/14/2015,2,20000,Fox Hill,20 Hart St,71802901,634900,20
,SF,49,92,45,,-71.1853390354685,,2266,8/25/2005,4,2,"Absolutely Mint condition oversized 9 room, 4 bedroom, 2 Bath Split Level in the lovely foxhill school district. The many features include a fully applianced gourmet kitchen addition with Oak cabinets and breakfast island. Newer roof, windows,heating and central air conditioning units, cedar siding,stairs, Walkways and patio. front to back fireplaced familyroom with recessed lighting,recently remodeled office with high speed internet connection and phone service, Prof. landscaped 1/2 acre lot.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Wood, Shake;Exterior Features:Deck, Patio, Gutters;Insulation:Full;Electric:Circuit Breakers, 100 Amps;Interior Features:Security System;Hot Water:Natural Gas;",Call List Office,(781) 272-2070,SLD,Split Entry,01803,1,"Forced Air, Gas",Marshall simond,465000,MA,Michael Austin,42.51043607287,BHS,Burlington,,Locust,http://media.mlspin.com/photo.aspx?mls=70247769,84,Prudential Suburban REALTORS &reg;,11/15/2005,0,20038,Fox Hill,84 Locust,70247769,469900,84
,SF,18,30,59,,-71.2075,,1598,6/25/2014,3,2.5,"Burlington at it's best! This bright and beautiful Gambrel Cape is located near the Lexington town line on a sprawling lot abutting conservation land, yet minutes to major routes. The main level features beautiful newer Pergo flooring, recessed lights, a formal dining room, and a cozy fire-placed living room. The sunny kitchen leads out to the spacious deck which overlooks the private fenced-in backyard and mature perennial gardens. This home has been meticulously maintained, thoughtfully updated, and has a newer roof, oil tank, windows, deck, and hot water heater.  Additional features include spacious bedrooms, plenty of storage, and additional living space in the partially finished basement.","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Laminate;Appliances:Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck, Fenced Yard;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;","Accompanied Showings, Call ShowingTime at 888-627-2775",(877) 973-3346,SLD,Cape,01803,1,"Hot Water Baseboard, Oil",Marshal Simon,414000,MA,Eileen Lorway,42.4722,Burlington HS,Burlington,,Muller Rd,http://media.mlspin.com/photo.aspx?mls=71704606,71,Redfin Corp.,8/29/2014,0,20125,Memorial,71 Muller Rd,71704606,414000,71
,SF,219,237,55,,-71.2223,,1344,4/8/2011,4,1,"New Price! Move right into this freshly painted 4 Br full dormered Cape sitting on lovely lot.This home features beautiful h/w floors on 1st floor w/ formal DR, fireplaced LR, brand  new SS appliances in updated kitchen and 1st floor bedroom or den. Upstairs offers front to back master,+ 2 good size BR, brand new carpeting and piped in BA ready to finish Updates include new furnace, blown-in insulatiion in attic, repointed chimney, windows, Arch. roof, 6 panel doors,stained deck.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wall to Wall Carpet, Hardwood;Appliances:Range, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck;Insulation:Blown In;Electric:100 Amps;Interior Features:Cable Available;Hot Water:Electric;","Call List Agent, Lock Box, Appointment Required",(781) 729-5505,SLD,Cape,01803,1,"Hot Water Baseboard, Oil",Marshall Simmon,329900,MA,Paula Fico,42.5074,Burlington High,Burlington,,Francis Wyman Road,http://media.mlspin.com/photo.aspx?mls=71213014,111,RE/MAX Leading Edge,12/29/2011,0,23050,Francis Wyman,111 Francis Wyman Road,71213014,329900,111
,SF,7,8,79,,-71.1726024928044,,988,5/1/2006,2,1,"Sunfilled Cozy 2 Bedroom Ranch in Move-in Condition with many recent updates. New Heat & Central Air. New windows, Roof & Carpeting. New Hot water heater. New expanded driveway. Oversized Immaculate landscaped yard with Deck. Updated Maple Kitchen Cabinets with seperate Dining area with Cathederal Ceilings. Laundry located on first floor mudroom. Great opportunity to own your first home.","Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Refrigerator;Foundation:Concrete Block, Fieldstone;Construction:Frame;Exterior:Aluminum;Exterior Features:Deck, Gutters, Storage Shed;Insulation:Full;Electric:Circuit Breakers;Interior Features:--;Hot Water:Natural Gas;","Call List Office, Lock Box, Appointment Required",(617) 923-7778,SLD,Ranch,01803,1,"Forced Air, Oil",Marshall,320000,MA,Ari Koufos,42.4946073257518,Burlington,Burlington,,Hampden Ave,http://media.mlspin.com/photo.aspx?mls=70377508,22,Realty Executives,6/23/2006,0,5000,Memorial,22 Hampden Ave,70377508,329000,22
,SF,69,277,8,,-71.1843129612826,,2800,8/7/2008,4,2.5,"NEW CONSTUCTION 2800 sf colonial many extras hardwood and tile through out entire house. Cherry cabinets, granite counters, central vac, security, two heating systems, jacuzzi in master bath, gas fireplace in the giant 24x24 family room, maintnence free deck with trex decking and vinyl rails. A MUST SEE.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck;Insulation:Full, Fiberglass;Electric:200 Amps;Interior Features:Central Vacuum, Security System, Other (See Remarks);Hot Water:Natural Gas;","Owner, Appointment Required",(978) 287-4657,SLD,Colonial,01803,1,"Forced Air, Gas",,570000,MA,Mark Cirignano,42.5022816797467,,Burlington,,Winn Street,http://media.mlspin.com/photo.aspx?mls=70803499,137,"OmegaListings.com, Inc.",10/15/2008,2,20001,,137 Winn Street,70803499,599900,137
,SF,5,31,56,,-71.2268,,1214,4/17/2015,3,1,"Expanded ranch with 1st floor heated sunroom w ceramic floor and large deck overlooks the gorgeous level fenced lot with lots of privacy! hardwood floors throughout the main level . Bright and sunny newer kitchen with stainless steel appliances, recessed lighting and granite countertops. Lovely living room with large bay window, brick fireplace with sconces and recessed lighting has open floor plan to dining room and sunroom. Newer central air. Great for entertaining. Updated ceramic tile bath . Kingsize Master bedroom.  Lower level has family room with large brick fireplace and hearth. Lots of storage !! 1 car garage under . Easy access to highways.This home is waiting for you to make it your own!!","Basement:Yes;Fireplaces:2;Roof:Wood Shingles;Floor:Tile, Hardwood;Appliances:Range, Dishwasher, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Deck, Storage Shed;Insulation:--;Electric:--;Interior Features:Security System, Cable Available;Hot Water:--;","Lock Box, Appointment Required, Call ShowingTime at 888-627-2775, Pets on Premises",(781) 272-1900,SLD,Ranch,01803,1,"Hot Water Baseboard, Oil",Marshall Simond,400000,MA,Beverlee Vidoli,42.5144,BHS,Burlington,,Francis Wyman Rd,http://media.mlspin.com/photo.aspx?mls=71819311,66,RE/MAX Realty Experts,5/18/2015,1,20000,Francis Wyman,66 Francis Wyman Rd,71819311,379900,66
