,PROPTYPE,DTO,DOM,AGE,COOLING,lng,AREA,SQFT,LISTDATE,BEDS,BATHS,REMARKS,OTHERFEATURES,SHOWINGINSTRUCTIONS,OFFICEPHONE,STATUS,STYLE,ZIP,LEVEL,HEATING,JUNIORHIGHSCHOOL,SOLDPRICE,STATE,AGENTNAME,lat,HIGHSCHOOL,CITY,EXPIREDDATE,STREETNAME,PHOTOURL,HOUSENUM1,OFFICENAME,SOLDDATE,GARAGE,LOTSIZE,ELEMENTARYSCHOOL,ADDRESS,MLSNUM,LISTPRICE,HOUSENUM2
,SF,1,71,4,,-71.3494,,3100,9/13/2011,4,2.5,"One of two lots available at Finigan Way, Concord's newest subdivision of 20 homes.  Offering an attractive floor plan and quality finishes.  This home is to be built.  Please contact agents to arrange a showing.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Vacuum System - Rough-in, Other (See Remarks);Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Deck;Insulation:Full;Electric:Circuit Breakers;Interior Features:--;Hot Water:Natural Gas;","Call List Agent, Appointment Required, Sign",(978) 369-6453,SLD,Colonial,01742,1,"Forced Air, Gas",CMS,955000,MA,Kimberly D. Comeau,42.4603,CCHS,Concord,,Finigan Way,http://media.mlspin.com/photo.aspx?mls=71286785,11,Barrett and Company,5/25/2012,2,13832,Thoreau,Lot 11 Finigan Way,71286785,959900,Lot 11
,SF,6,28,50,,-71.3916,,1198,1/23/2013,4,2,"Charming with expansion possibilities! This sunny updated 4bdr, 2bath home features an open floor plan with a new granite kitchen.    The property has a nice level lot with a lovely brick patio.  Wonderful location and walking distance to Willard school and White pond.      New septic system!    Just Move-in!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Hardwood;Appliances:Range, Dishwasher, Microwave, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Porch, Patio, Storage Shed;Insulation:--;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Tank;",Call List Agent,(978) 610-6369,SLD,Raised Ranch,01742,2,"Forced Air, Gas",Sanborn/Peabody,449000,MA,Jeanne Burton,42.4307,CCHS,Concord,,Tracy St,http://media.mlspin.com/photo.aspx?mls=71475203,10,William Raveis R.E. & Home Services,3/8/2013,0,7500,Willard,10 Tracy St,71475203,449000,10
,SF,143,144,63,,-71.3278704894095,,1702,1/24/2006,3,1.5,"***NEW PRICE for this charming expanded Cape in one of Concord's great Family Neighborhoods. Located on a quiet cul-de-sac only 1.3 miles to town center. Modern kitchen and baths. 2-car attached garage with loft up above. Hardwood floors throughout. Fire-placed living room, and a sun-filled family room with wood-burning stove, sliding glass doors and cathedral ceilings. Gorgeous half acre level yard. Close to Great Meadows NWR.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood, Vinyl;Exterior Features:--;Insulation:Partial;Electric:Circuit Breakers, 100 Amps;Interior Features:--;Hot Water:Oil;","Call List Agent, Lock Box, Appointment Required",(617) 570-0099,SLD,Cape,01742,1,"Hot Water Radiators, Oil",,499000,MA,Caroline Holland,42.4673243760517,,Concord,,Ash Street,http://media.mlspin.com/photo.aspx?mls=70320132,66,Prudential Prime Properties,8/14/2006,2,21780,,66 Ash Street,70320132,529000,66
,SF,5,5,62,,-71.3828,,3109,2/24/2015,3,2.5,"On a quiet lane this charming and sunny single family home is just minutes from both West Concord and Historic Concord Centers with restaurants, shopping, revolutionary and literary history all easily accessible – a great location with easy access to Commuter Rail, Airport and Highways. Great Schools, Hospital, Golf Clubs, thriving Restaurants, Library, Museums, access to rivers and Minute Man Park make this a great place to live. Completely renovated inside and out, the home is beautifully appointed with open floor plan for family living, a separate living room ideal for entertaining guests and an elegant ground floor master suite that overlooks the courtyard garden. An office, screen porch, powder room/laundry complete the first floor. On the second floor are two family bedrooms and family bath. A “Club House” is an ideal area for sleepovers! On the lower level is a newly finished area, work shop and cedar closet. A new 2-car detached garage is adjacent to the courtyard.","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Marble, Hardwood;Appliances:Range, Dishwasher, Microwave, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Wood;Exterior Features:Porch, Porch - Enclosed, Porch - Screened, Deck, Patio, Gutters, Professional Landscaping, Sprinkler System, Decorative Lighting, Garden Area;Insulation:Full;Electric:Circuit Breakers;Interior Features:Cable Available, French Doors;Hot Water:Electric;","Call List Agent, Appointment Required",(978) 610-6369,SLD,Cape,01742,1,"Forced Air, Propane",Concord Middle,1020000,MA,Susan Revis,42.4553,CCHS,Concord,,Macarthur Rd,http://media.mlspin.com/photo.aspx?mls=71794689,31,William Raveis R.E. & Home Services,4/10/2015,2,14792,Willard,31 Macarthur Rd,71794689,899900,31
,SF,21,21,115,,-71.3608,,2826,4/29/2013,4,2,"Potential Galore! This 1900's home is a diamond in the rough and is part of a 8.85 acre property. It is reminiscent of the Arts & Crafts era and its character and charm are waiting to be revived. Sunny rooms, walk up attic with two additional rooms (not included in room count) and sidewalks to center and river frontage are all inherent to this property. Subdivision possibilities exist.","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Range;Foundation:Fieldstone;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch;Insulation:Unknown;Electric:Fuses, Knob & Tube Wiring;Interior Features:Walk-up Attic;Hot Water:Natural Gas, Tank;","Call List Agent, Accompanied Showings, Appointment Required, Sign",(978) 369-6453,SLD,Other (See Remarks),01742,1,"Steam, Oil, Gas",Peabody/Sanborn,1787500,MA,Amy Barrett,42.4696,CCHS,Concord,,Lowell Road,http://media.mlspin.com/photo.aspx?mls=71516171,445,Barrett Sotheby's International Realty,10/22/2013,4,385506,Alcott,445 Lowell Road,71516171,2169000,445
,SF,41,55,0,,-71.3534,,4670,6/18/2015,4,3.5,"Amazing new construction. One of a kind custom built colonial home located within walking distance to town, the train station and Crosby's. This expansive home has an open floor plan from the well appointed kitchen to the cathedral ceiling family room. Bosch appliances, gas cooktop, microwave, double oven, dishwasher, refrigerator, granite countertops, wide hardwood floors throughout the first and second floor. The family room has a center gas fireplace with views of the back yard. The large dining room is off of the kitchen adjacent the living room separated by decorative columns.  This home is appointed with high quality finishes. Extra wide stairway that leads to the second floor. 4 large bedrooms to include a master bedroom suite with a gorgeous  master bath with a soaking tub and two walk in closets.Third floor finished walkup attic with a full bath for a separate suite. Paver patio off of the kitchen slider. Central Vac, Security System. Easy access to Rte 2 and town soccer field","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Dishwasher, Microwave, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Porch, Patio, Professional Landscaping, Screens;Insulation:Full, Fiberglass, Blown In;Electric:220 Volts, 200 Amps;Interior Features:Security System, Cable Available, Walk-up Attic, Finish - Earthen Plaster;Hot Water:Propane Gas, Tank;","Lock Box, Sign, Call ShowingTime at 888-627-2775",(978) 840-9000,SLD,Colonial,01742,1,"Forced Air, Propane",Sanborn/Peabody,1543500,MA,Apple Country Team,42.4496,CCHS,Concord,,Bruce Road,http://media.mlspin.com/photo.aspx?mls=71860236,84,Keller Williams Realty North Central,8/18/2015,2,52694,Willard,84 Bruce Road,71860236,1599900,84
,SF,132,145,63,,-71.3814,,1498,12/14/2011,3,1.5,"This is a FannieMae HomePath property. Purchase this property for as little as 3% down! Property is approved for HomePath Mortgage & HomePath Renovation Mortgage Financing. Spacious Cape is set on an acre of land abutting woods. Modern kitchen,fireplaced living room All information is gathered from public record and should be verified by buyer. Buyer to perform any/all due diligence.",Basement:Yes;Fireplaces:1;Roof:--;Floor:--;Appliances:--;Foundation:Poured Concrete;Construction:--;Exterior:Vinyl;Exterior Features:--;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;,Call ShowingTime at 888-627-2775,(781) 769-5700,SLD,Cape,01742,,"Hot Water Baseboard, Oil",,310000,MA,David J. Oliveri,42.4191,,Concord,,Fitchburg Tpke,http://media.mlspin.com/photo.aspx?mls=71319566,471,Prudential Prime Properties,6/21/2012,2,41382,,471 Fitchburg Tpke,71319566,319900,471
,SF,64,64,111,,-71.3479956774193,,3212,9/28/2007,5,2.5,"Ideally located in center of town in the coveted Alcott School district, this early 1900's home retains much original detail with numerous updates to provide comfortable living spaces throughout. The five spacious bedrooms, 2.5 baths and 3200 sq. ft. of living space are in top condition. There are gorgeous period appointments of the era, fully renovated kitchen, two staircases, bow windows, pocket doors and so much more. The .31A parcel has large shade trees and a private fenced in yard","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Wall Oven, Dishwasher, Microwave, Countertop Range;Foundation:Fieldstone, Brick;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Porch, Patio, Fenced Yard;Insulation:--;Electric:200 Amps;Interior Features:Cable Available, Walk-up Attic;Hot Water:Tank;","Call List Agent, Accompanied Showings, Appointment Required, Sign",(978) 369-1000,SLD,"Colonial, Antique",01742,1,"Hot Water Baseboard, Oil",Sanborn/Peabody,1209800,MA,Brigitte Senkler,42.4564167741935,Conc/Carl Reg,Concord,,Everett Street,http://media.mlspin.com/photo.aspx?mls=70656016,50,Coldwell Banker Residential Brokerage - Concord,12/18/2007,2,13503,Alcott,50 Everett Street,70656016,1292900,50
,SF,41,138,22,,-71.4026335313897,,5472,4/28/2009,5,4.5,"Smart Home System controls this house at the touch of a button - from home or PDA!   Never lose power w/ a natural gas generator. Experience the performance of your Viessmann  radiant/baseboard heating system. Gourmet chef's kitchen w/ granite, professional appliances, dual sinks, & pantry w/additional sink.  Open layout to family room w/wood stove and sliders to mahogany deck.  Spacious master w/ private deck, his/her walk-in closets, & sitting area. Large in-law suite w/ private entrance!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch - Enclosed, Deck, Patio, Professional Landscaping, Sprinkler System;Insulation:--;Electric:200 Amps;Interior Features:Central Vacuum, Security System, Cable Available;Hot Water:Tankless;","Lock Box, Call ShowingTime at 888-627-2775",(781) 899-1650,SLD,"Colonial, Contemporary",01742,1,"Hot Water Baseboard, Radiant, Gas",,1020000,MA,The Tom and Joanne Team,42.4467868,,Concord,,Range Rd,http://media.mlspin.com/photo.aspx?mls=70909974,160,Prudential Wilmot Whitney,10/30/2009,2,102802,,160 Range Rd,70909974,1049900,160
,SF,43,54,76,,-71.3312,,3867,6/12/2013,5,3.5,"The Ridge! This 1939 5 bedroom family home sits on almost 1 acre of land and enjoys the benefits of a fabulous neighborhood. Hardwood floors throughout 1st floor, FR w vaulted skylit ceiling has French doors to private deck and is directly open to the kitchen. DR w pretty china cabinet, LR w walk-in bay and fp. Master suite, lg 2nd flr bonus room w beamed ceil & 3 additional rooms on 2nd flr. Guest suite/home office on 3rd. Cons trails nrby, easy commuting access, sidewalks to Concord Center.","Basement:No;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave, Refrigerator, Washer, Dryer;Foundation:Slab;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Porch - Screened, Deck, Storage Shed;Insulation:Unknown;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available;Hot Water:Tank;","Call List Agent, Sign",(978) 369-6453,SLD,Colonial,01742,1,"Hot Water Baseboard, Oil",Peabody/Sanborn,1239550,MA,Amy Barrett,42.461,CCHS,Concord,,Independence Road,http://media.mlspin.com/photo.aspx?mls=71540761,273,Barrett Sotheby's International Realty,10/15/2013,2,34848,Alcott,273 Independence Road,71540761,1297000,273
,SF,235,251,4,,-71.3371,,4780,8/3/2011,5,4.5,"This exciting new construction located close to Concord center and overlooking the American Mile, offers formal and informal spaces with striking detail.The 1st floor is highlighted by the custom kitchen, family room with FP, romantic screen porch and amazing mudroom.Up the turned stairs are 3 family bedrooms, all with attached baths, laundry with window and the spacious master suite.Additional family space is available in the walk out lower level with private entrance,5th bdrm and rec room.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Microwave, Refrigerator - ENERGY STAR, Dishwasher - ENERGY STAR, Vacuum System;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Porch - Enclosed, Patio, Professional Landscaping, Sprinkler System;Insulation:Full, Foam;Electric:Circuit Breakers;Interior Features:Central Vacuum, Security System;Hot Water:Tank;","Call List Agent, Appointment Required, Sign",(978) 369-6453,SLD,Colonial,01742,1,"Forced Air, Gas",CMS,1542500,MA,Kimberly D. Comeau,42.4613,CCHS,Concord,,Revolutionary Road,http://media.mlspin.com/photo.aspx?mls=71270427,127,Barrett and Company,6/15/2012,2,26880,Alcott,127 Revolutionary Road,71270427,1642000,127
