,PROPTYPE,DTO,DOM,AGE,COOLING,lng,AREA,SQFT,LISTDATE,BEDS,BATHS,REMARKS,OTHERFEATURES,SHOWINGINSTRUCTIONS,OFFICEPHONE,STATUS,STYLE,ZIP,LEVEL,HEATING,JUNIORHIGHSCHOOL,SOLDPRICE,STATE,AGENTNAME,lat,HIGHSCHOOL,CITY,EXPIREDDATE,STREETNAME,PHOTOURL,HOUSENUM1,OFFICENAME,SOLDDATE,GARAGE,LOTSIZE,ELEMENTARYSCHOOL,ADDRESS,MLSNUM,LISTPRICE,HOUSENUM2
,SF,31,31,16,,-71.4694,,2256,2/27/2012,4,2.5,"Updated Center Entrance Colonial located in a private setting at the end of a cul-de-sac.  Relax and read a book next to the fireplace or entertain friends on the new composite deck that overlooks the flat fenced yard.  A comfortable home with wonderful flow.  The tastefully done large finished basement with mud room offers an extra 500 sq/ft +/- of living area. Additional attic storage.  Updates include central air, security system, new stainless steel appliances and freshly painted interior.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet, Hardwood;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck - Composite, Gutters, Fenced Yard;Insulation:--;Electric:--;Interior Features:Security System, Walk-up Attic, French Doors;Hot Water:--;","Lock Box, Appointment Required, Call ShowingTime at 888-627-2775",(781) 944-6060,SLD,Colonial,01886,1,"Forced Air, Gas",,549000,MA,Mark Nelson,42.606,,Westford,,Dempsey Way,http://media.mlspin.com/photo.aspx?mls=71344129,12,"RE/MAX Heritage, LLC",5/18/2012,2,56802,,12 Dempsey Way,71344129,569900,12
,SF,20,35,35,,-71.4064,,2476,5/13/2015,3,2.5,"Fantastic inside and out! This house has it all for entertaining or an active family. Great Room has 18 foot white cedar cathedral ceiling (never fades), skylights, gas FP and wet bar. Sliders to patio and pool. Two more family spaces for library or office, each features wall of built-in shelves, one with FP. Kitchen is spacious with antique brick accents, 4 burner gas cooktop. DR has built in china cabinet. House is wired for sound. Master bdrm has separate dressing area. Functional lower level mostly finished includes large cedar closet, lots of storage and room to work-out or hangout. Home is set back on a level lot with horseshoe driveway, 2 car garage and extra parking. Beautifully landscaped. Heated Gunite pool, maintenance free deck, cabana and shed complete this private paradise. Conservation land behind and across the street with hiking trails. Convenient commuter location and close to shopping.   A must see, this house is move-in ready","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Laminate, Hardwood;Appliances:Range, Dishwasher, Microwave, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Wood;Exterior Features:Deck - Composite, Patio, Pool - Inground Heated, Cabana, Storage Shed, Professional Landscaping, Decorative Lighting, Fenced Yard, Outdoor Shower, Stone Wall;Insulation:--;Electric:--;Interior Features:Cable Available, Wired for Surround Sound;Hot Water:Natural Gas;",Other (See Special Showing Instructions),(978) 443-7300,SLD,Gambrel /Dutch,01886,1,"Central Heat, Forced Air, Hot Water Baseboard, Gas",,535000,MA,David Dowd,42.6097,,Westford,,Lowell Rd,http://media.mlspin.com/photo.aspx?mls=71835655,124,Berkshire Hathaway HomeServices Stephan Real Estate,6/21/2015,2,94961,,124 Lowell Rd,71835655,549000,124
,SF,6,7,115,,-71.4818,Forge Village ,1150,5/13/2013,3,2,"Beloved family home perfect for first-time buyers or downsizing! Front-to-back LR and kitchen with dining area in kitchen; first floor has additional room.   Upstairs has three ample BR and full bath; the other bath is on first level.  Lovely lot, great for gardening and activities.  Walk to town beach nearby. Detached garage has storage; some cosmetics and updating needed. Live in the Town of Westford with its great schools, community spirit, shopping, access to highways and rural character!","Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Vinyl, Wall to Wall Carpet, Hardwood;Appliances:Range, Refrigerator, Washer, Dryer;Foundation:Poured Concrete, Fieldstone;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch - Enclosed, Fenced Yard;Insulation:Full;Electric:Circuit Breakers, 100 Amps;Interior Features:--;Hot Water:Natural Gas;","Call List Agent, Lock Box",(781) 893-0808,SLD,Colonial,01886,1,"Forced Air, Gas",Blanchard,221000,MA,Linda Cantillon,42.5802,Westford Acad.,Westford,,Pine Street,http://media.mlspin.com/photo.aspx?mls=71524367,10,Coldwell Banker Residential Brokerage - Waltham,7/2/2013,1,11500,Robinson,10 Pine Street,71524367,225000,10
,SF,0,0,5,,-71.4293,,3265,11/18/2010,4,2.5,"Welcome Home to Laughton Farms; an exciting new Westford community that blends beautiful homesites with a traditional neighborhood design.This community features basketball and tennis courts for recreation and natural walking trails along restored riverfront conservation space. Choose from one of our plans, or custom build the home of your dreams and choose from a long list of options including the latest green technologies, either way you won't want to miss this beautiful new community!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Deck;Insulation:Full;Electric:Circuit Breakers, 200 Amps;Interior Features:--;Hot Water:Natural Gas;",Call ShowingTime at 888-627-2775,(978) 649-2220,SLD,Colonial,01886,1,Central Heat,Stoneybrook,767000,MA,Dennis Page,42.5936,WestfordAcademy,Westford,,Boxwood Road,http://media.mlspin.com/photo.aspx?mls=71163921,0  2,RE/MAX Prestige,6/3/2011,3,25533,Abbot,0 Lot 2 Boxwood Road,71163921,767000,0 Lot 2
,SF,34,36,75,,-71.4147,,1264,8/23/2012,3,1,"What an opportunity to live in Convenient Westford location.  Ranch style cottage on 10,000 sq' lot.  Views of the golf course from the front yard.  3 bedrooms, fireplaced living room, enclosed porch.  Needs rehab.  This is a HomePath Property.  Home is approved for HomePath Renovation Financing. Contracts due back within 3 days of verbal acceptance.","Basement:Yes;Fireplaces:1;Roof:--;Floor:--;Appliances:--;Foundation:Poured Concrete, Concrete Block, Fieldstone;Construction:--;Exterior:Vinyl;Exterior Features:Porch - Enclosed, Deck;Insulation:--;Electric:Circuit Breakers;Interior Features:--;Hot Water:--;","Lock Box, Appointment Required, Sign, Call ShowingTime at 888-627-2775",(978) 686-1954,SLD,Ranch,01886,1,"Forced Air, Gas",,120000,MA,Linda Kody,42.6207,,Westford,,Emerson Rd,http://media.mlspin.com/photo.aspx?mls=71426074,3,"Kody & Company, Inc.",10/12/2012,0,10019,,3 Emerson Rd,71426074,149900,3
,SF,200,541,28,,-71.4926,Forge Village ,4024,5/6/2011,4,2.5,"Move right in to this immaculate Colonial located in a sought after neighborhood. Features include an eat in kitchen with granite, tile & stainless appliances; updated baths w/ granite & tile; formal living & dining room w/ hardwood floors; spacious family room w/ fireplace; four season sunroom w/ mahogany floors that leads to a large deck for entertaining; new roof & septic system; professional landscaping & finished lower level that adds 1000+ SF of additional living space.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Laminate, Hardwood;Appliances:Range, Dishwasher, Microwave, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Deck;Insulation:Full;Electric:200 Amps;Interior Features:Cable Available;Hot Water:Natural Gas, Tank;","Lock Box, Appointment Required, Sign, Other (See Special Showing Instructions)",(978) 369-6453,SLD,Colonial,01886,1,"Hot Water Baseboard, Gas",Blanchard,510000,MA,Todd Nelson,42.5876,Westford,Westford,,Village View Rd,http://media.mlspin.com/photo.aspx?mls=71228079,53,"J M Barrett & Co., Inc.",1/3/2012,2,23611,Miller-Day,53 Village View Rd,71228079,525000,53
,SF,112,124,39,,-71.4274,,1728,12/2/2009,3,2,"This warm and inviting home is not only in a great neighborhood, but it also has plenty of updates. Be sure to check out the new roof, newer furnace, newer hot water heater & all new windows. Plus a large fireplaced living room, a Den that could be a fourth bedroom and a freshly painted eat in kitchen, the large dining room has chair rails & shadow boxes. Upstairs has a front to back master bedroom, plus a 2nd bedroom has a walk in closet & walk up attic for extra storage. Nice flat back yard.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:Range, Dishwasher;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Storage Shed;Insulation:--;Electric:--;Interior Features:Cable Available;Hot Water:Natural Gas;",Call ShowingTime at 888-627-2775,(978) 692-9292,SLD,Gambrel /Dutch,01886,1,"Forced Air, Gas",,332500,MA,Leonard Lochrie,42.6093,Wfrd Academy,Westford,,Willow Rd,http://media.mlspin.com/photo.aspx?mls=71006896,12,RE/MAX Prestige,5/14/2010,0,10019,Nabnaset,12 Willow Rd,71006896,339900,12
,SF,4,22,27,,-71.4128776750556,,1844,4/13/2009,3,1.5,First time Home Buyers take advantage with the stimulus plan tax credit on this charming home nicely sited on a large well landscaped lot with wonderful southern exposure. Classic floor plan. Great center location. Priced below assessed value. Do not miss this opportunity.,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Deck, Storage Shed;Insulation:--;Electric:Circuit Breakers;Interior Features:--;Hot Water:Natural Gas, Tank;","Lock Box, Appointment Required, Sign",(978) 369-3999,SLD,Cape,01886,1,"Hot Water Baseboard, Gas",Stony Brook,349800,MA,Marguerite Widell,42.6053556419953,Westford Acad,Westford,,Lowell Road,http://media.mlspin.com/photo.aspx?mls=70901795,8,Hammond Residential,6/1/2009,0,15246,Nab/Abbott,8 Lowell Road,70901795,349800,8
,SF,60,84,23,,-71.4906487073382,,1980,10/17/2008,3,2.5,"The best of  both worlds can be found in this well cared for and well maintained home. A combination of traditional and contemporary are nicely blended making for a warm and welcoming home. The open downstairs floor plan is great for the gathering of friends and family with its free flowing floor plan.  The master bdrm offers both a full bath and a large walk-in closet. The owners have put a lot of care into updating this property. ALSO AVAIL. TO RENT @ $2,100 PER MONTH YR LEASE.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Porch, Deck, Covered Patio/Deck, Gutters;Insulation:Full;Electric:--;Interior Features:Cable Available;Hot Water:Natural Gas, Tank;","Lock Box, Appointment Required, Sign, Call ShowingTime at 888-627-2775",(978) 263-8887,SLD,"Colonial, Contemporary",01886,1,"Forced Air, Gas",,419000,MA,Joseph Shimer,42.6025885724882,Westford Acad.,Westford,,Lorden Dr,http://media.mlspin.com/photo.aspx?mls=70836260,6,ERA Morrison Real Estate,1/30/2009,2,50094,,6 Lorden Dr,70836260,427000,6
,SF,40,196,29,,-71.4147047883678,,2900,10/16/2005,4,3,Gorgeous Hicks built 8 rm. Col. set some 300ft.  back on hill with beautifully landscaped yard. Convenient to local shopping. This house sits on over 3.0 acres. Enjoy the outside deck with a gazebo & hot tub. The kitchen comes with cherry cabinets and center island. Large master bedroom with master bath/whirlpool tub. Walk-up attic for easy storage. Finished basement with game room and additional 4th bedroom/walk-in closet. Home is ready for 30 day closing. Owner/broker.,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Deck, Hot Tub/Spa, Gazebo;Insulation:Full;Electric:200 Amps;Interior Features:Security System, Cable Available;Hot Water:Electric;","Call List Office, Call List Agent, Lock Box",(978) 692-5787,SLD,Colonial,01886,1,Hot Water Baseboard,,555000,MA,Gregory Butterworth,42.5789888824265,,Westford,,Tadmuck Rd.,http://media.mlspin.com/photo.aspx?mls=70279205,39,Robert M. Hicks Realty Corp.,1/13/2006,2,150717,,39 Tadmuck Rd.,70279205,565000,39
