,PROPTYPE,DTO,DOM,AGE,COOLING,lng,AREA,SQFT,LISTDATE,BEDS,BATHS,REMARKS,OTHERFEATURES,SHOWINGINSTRUCTIONS,OFFICEPHONE,STATUS,STYLE,ZIP,LEVEL,HEATING,JUNIORHIGHSCHOOL,SOLDPRICE,STATE,AGENTNAME,lat,HIGHSCHOOL,CITY,EXPIREDDATE,STREETNAME,PHOTOURL,HOUSENUM1,OFFICENAME,SOLDDATE,GARAGE,LOTSIZE,ELEMENTARYSCHOOL,ADDRESS,MLSNUM,LISTPRICE,HOUSENUM2
,SF,37,37,95,,-71.1609672270383,,1655,1/8/2006,3,1,"Absolutely charming 3br col enhanced w/arched doorway, columns, french doors, built ins & more yet important updates done. Replacement windows! Updated kitchen! Gleaming hdwd floors! Updated bath w/tile flr and pedestal sink! Fp liv rm w/columns leading to sunsplashed office! Spacious master br! Finished walk up attic w/storage is included in gla. Fenced in yard! Prime location! This home sparkles - won't last!","Basement:Yes;Fireplaces:1;Roof:--;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal;Foundation:Concrete Block, Fieldstone;Construction:--;Exterior:Shingles, Wood;Exterior Features:Storage Shed, Fenced Yard;Insulation:--;Electric:--;Interior Features:Security System;Hot Water:Natural Gas;",Call List Agent,(508) 303-3434,SLD,Colonial,01801,1,"Steam, Gas",Kennedy,351000,MA,Donna Coffin,42.50520665,Woburn High,Woburn,,Newbridge Ave,http://media.mlspin.com/photo.aspx?mls=70311942,12,"Distinctive Realty, Inc.",3/24/2006,1,4500,Linscott Rumfor,12 Newbridge Ave,70311942,359900,12
,SF,28,83,63,,-71.1647,Central Square ,1229,5/16/2012,4,1,"Pride of ownership is reflected in this meticulously maintained home.  This 6 room, 4 bedroom Cape is in a nice Central Square location.  Updated windows and heating system.  Hardwood floors throughout.  1 bedroom does not have heat.  Lower level family room with bar area.  Large level lot.  Shed. Easy access to major routes.","Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Hardwood;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:--;Insulation:--;Electric:Fuses;Interior Features:--;Hot Water:--;","Call List Office, Lock Box, Appointment Required, Sign",(781) 933-0005,SLD,Cape,01801,1,"Hot Water Baseboard, Oil",Kennedy,294900,MA,Maryellen Maher,42.4969,WMHS,Woburn,,Ellen Road,http://media.mlspin.com/photo.aspx?mls=71385097,8,Century 21 Crowley - Braese,8/7/2012,0,8500,Wyman,8 Ellen Road,71385097,294900,8
,SF,83,283,70,,-71.1553518112634,,2488,8/17/2006,5,2.5,"Wonderful large Col. w/old world charm but completely updated w/today’s modern amenities.  Remodeled apprx. 10 yrs ago w/grt rm addition open to kitchen, master bedrm addition w/bath & walkin closet, all new ceilings on 2nd flr, jacuzzi bath, c/a, beautiful hw flrs & overszd garg.  Fireplaced liv rm w/nat. wdwrk, half wall w/columns & builtin cabs between liv rm/din rm.  Dining rm features builtin window seat, corner cabinet & plate rail.  Large enclosed 3 seasn porch. 2 driveways.  Private yd","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch - Enclosed, Fenced Yard;Insulation:--;Electric:--;Interior Features:--;Hot Water:Natural Gas;","Call List Office, Lock Box, Appointment Required, Sign",(781) 933-0005,SLD,Colonial,01801,1,"Hot Water Baseboard, Gas",Kennedy,425000,MA,Eileen Doherty,42.5073218,Woburn Sr. High,Woburn,,School Street,http://media.mlspin.com/photo.aspx?mls=70443018,59,CENTURY 21 Crowley,12/7/2006,1,6972,Lincsott,59 School Street,70443018,439900,59
,SF,35,80,6,,-71.1475,,2264,9/27/2013,4,2.5,"Charm, warmth and traditional elegance are the first impressions as this gracious foyer greets your guests! This 4 year old CE colonial is in a newer 15 lot subdivision known as Forest Park Estates. Features an open floor plan, great for entertaining, upgraded vanities w/granite, family sized kitchen with 2 tier center island, custom columns btwn LR & DR, crown mldgs and more. Master bedroom ensuite, w/master bath and walk-in closet. Custom blinds throughout. Finished playroom in lower level, plumbed with sink, makes a great place for a wet bar! Lush landscaping, well manicured gardens & sprinkler system has been added to this home.  Excel commuter access to Rtes 129/93.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck, Professional Landscaping, Sprinkler System;Insulation:Fiberglass;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available;Hot Water:Natural Gas, Tank;","Call List Office, Lock Box, Appointment Required, Sign",(781) 933-0005,SLD,Colonial,01801,1,"Forced Air, Gas",Kennedy,570000,MA,Eileen Doherty,42.5019,Woburn Sr. High,Woburn,,Callahan Dr,http://media.mlspin.com/photo.aspx?mls=71589899,5,Century 21 Crowley - Braese,12/11/2013,2,12153,Linscott,5 Callahan Dr,71589899,579900,5
,SF,88,88,105,,-71.168312963178,,1484,8/21/2006,2,1,"This home is awaiting your decorating touch to make it your own. You will have a great palette to work with as this home has many features that are usually not found in a ranch style home.There is a formal entry way,high ceilings, a walk up attic for future expansion, newer roof and large well located lot. Just steps to the Mill Pond reservoir where you can fish and enjoy many walking trails.  It is also walking distance to shops, rest. & public trans.",Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:Range;Foundation:Fieldstone;Construction:Frame;Exterior:Vinyl;Exterior Features:Patio;Insulation:Unknown;Electric:--;Interior Features:Walk-up Attic;Hot Water:--;,"Call List Agent, Accompanied Showings, Appointment Required, Sign",(781) 942-1500,SLD,Ranch,01801,1,"Forced Air, Oil",Kennedy,280000,MA,Veronica McManus,42.51217145,Woburn Memorial,Woburn,,Poole St,http://media.mlspin.com/photo.aspx?mls=70451212,55,Carlson GMAC Real Estate,12/26/2006,0,13930,Altavesta,55 Poole St,70451212,359000,55
,SF,5,74,125,,-71.1549,,2577,4/17/2015,4,2.5,"Beyond the stately front porch awaits a gracious, sun-filled 4 BR colonial!Located across from Horn Pond conservation area, this home is the perfect mix of turn-of-the-century charm and modern conveniences.The welcoming foyer opens to a large LR with FP, a formal DR with bay windows, and a comfortable den.Overlooking tiered gardens and a fenced-in back yard the gourmet E-I-K features a butler’s pantry with wet bar, wall oven, SS appliances, granite and plenty of cabinet space.A screened 3-season porch is off the kitchen.Upstairs, the master bedroom includes a fireplace and spacious sitting area.Bay windows in 2 of the remaining 3 bedrooms offer a seasonal view of Horn Pond.The home has hardwood floors throughout, large closets,gas heat, original molding and solid core doors, as well as  a 2-car detached garage and a shed.The sunny LL includes a FR, an exercise area, a laundry, and a full bath, plus an unfinished workroom. Lovingly updated, this home reflects Pride of Ownership!","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Wall Oven, Dishwasher, Disposal, Microwave, Countertop Range, Refrigerator, Washer, Dryer, Vent Hood;Foundation:Fieldstone;Construction:Frame;Exterior:Shingles, Asbestos;Exterior Features:Porch, Porch - Enclosed, Patio, Gutters, Storage Shed, Professional Landscaping, Decorative Lighting, Screens, Fenced Yard, Stone Wall;Insulation:Mixed;Electric:Circuit Breakers, 100 Amps, 200 Amps;Interior Features:Cable Available, Walk-up Attic;Hot Water:Natural Gas, Tank;","Call List Office, Lock Box, Appointment Required, Sign",(781) 933-7200,SLD,Colonial,01801,1,"Steam, Gas",Joyce,748000,MA,Lorraine Malloy,42.4727,Woburn,Woburn,,ARLINGTON ROAD,http://media.mlspin.com/photo.aspx?mls=71819279,68,J. Mulkerin Realty,6/30/2015,2,12196,White,68 ARLINGTON ROAD,71819279,748000,68
,SF,61,124,5,,-71.1846,,2492,2/15/2010,4,2.5,"MAKE YOUR MOVE NOW AND GET ALL YOUR INSIDE CHOICES! This is your OPPORTUNITY to have everything EXACTLY how you dream it! This is the second home available in the brand new Moreno Drive subvision in West Woburn, only 2 minutes away from Lexington! Open concept, huge master bath! Large great room overlooking cul de sac! This home has it all.. Don't wait!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Plywood;Appliances:Disposal, Dishwasher - ENERGY STAR, Range - ENERGY STAR;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck;Insulation:Full, Fiberglass;Electric:220 Volts;Interior Features:Cable Available;Hot Water:Propane Gas;","Call List Office, Call List Agent, Accompanied Showings, Appointment Required",(781) 933-0999,SLD,Colonial,01801,1,Central Heat,Joyce,641978.51,MA,Jess D' Elia,42.465,Woburn Memorial,Woburn,,Moreno,http://media.mlspin.com/photo.aspx?mls=71032851,1,"Lawton Real Estate, Inc",5/28/2010,2,12162,Reeves,1 Moreno,71032851,639000,1
,SF,13,24,63,,-71.1523,,1987,5/9/2011,3,2,"WOW - Too much house to imagine at this price!!! Beautiful private yard with a new deck for summertime enjoyment. Fireplaced living room, separate dining room, along with a completely renovated family room gives all the space you need. Three big bedrooms with built in's on second floor along with a room off of master to be used as a nursery or home office. Full bath on each level.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Dishwasher;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck;Insulation:--;Electric:Circuit Breakers;Interior Features:--;Hot Water:Oil;","Call List Office, Call List Agent, Lock Box, Appointment Required, Sign",(781) 933-0999,SLD,Cape,01801,1,"Hot Water Baseboard, Electric Baseboard, Oil",Kennedy,315000,MA,Mary L. Lawton,42.4793,Woburn Memorial,Woburn,,Fryeburg,http://media.mlspin.com/photo.aspx?mls=71229464,5,"Lawton Real Estate, Inc",6/23/2011,1,17859,Wyman,5 Fryeburg,71229464,319900,5
,SF,24,75,59,,-71.1594,,1330,10/6/2010,3,2,"WOW! Looks can be deceiving! Prepare to be blown away when you open the door! All new w/wide open flr plan, cathedral 7 vaulted ceilings, cherry wood flrs & more. Georgeous maple kit w/granite, stainl appl, built-in wine racks & island that seats 6! Rec lights, under cab lts, pendant lts, ceil fans, this home has it all! Liv rm has sep sitting area w/stone frplc. This home has been rebuilt from the inside - out, with quality wkmanship & materials. 23 X 14 maintain free deck. Unlike all others!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles, Rubber;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Concrete Block, Irregular;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck, Storage Shed, Professional Landscaping, Fenced Yard, Deck - Composite;Insulation:Full;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Natural Gas;","Call List Office, Lock Box, Appointment Required, Sign",(781) 933-0005,SLD,Ranch,01801,1,"Hot Water Baseboard, Gas",,377000,MA,Eileen Doherty,42.4941,,Woburn,,Pilgrim Rd,http://media.mlspin.com/photo.aspx?mls=71147545,5,Century 21 Crowley - Braese,12/29/2010,0,7318,Wyman,5 Pilgrim Rd,71147545,389900,5
,SF,34,79,60,,-71.1732,,1133,5/18/2012,3,1,"Here's a hot one in a neighborhood in demand! 3 Bedroom westside ranch with first floor den addition and attached garage. Fireplaced living room, gleaming hardwood floors, freshly painted interior, new roof, updated heating system and electric service. Sellers have left you to plan the kitchen of your dreams!.  Maintainence free vinyl siding.  Enjoy the good weather in a nice backyard with 2 patios. Have the home you've always wanted for a price you can't beat!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood;Appliances:Range, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Patio, Gutters;Insulation:Unknown;Electric:Circuit Breakers, 100 Amps;Interior Features:Cable Available;Hot Water:Oil, Tankless;","Call List Office, Lock Box, Appointment Required, Sign",(781) 933-0005,SLD,Ranch,01801,1,"Hot Water Baseboard, Oil",Joyce,285000,MA,Eileen Doherty,42.4668,Woburn High,Woburn,,Day Cir,http://media.mlspin.com/photo.aspx?mls=71385121,37,Century 21 Crowley - Braese,7/26/2012,1,10000,Reeves,37 Day Cir,71385121,299900,37
