,PROPTYPE,DTO,DOM,AGE,COOLING,lng,AREA,SQFT,LISTDATE,BEDS,BATHS,REMARKS,OTHERFEATURES,SHOWINGINSTRUCTIONS,OFFICEPHONE,STATUS,STYLE,ZIP,LEVEL,HEATING,JUNIORHIGHSCHOOL,SOLDPRICE,STATE,AGENTNAME,lat,HIGHSCHOOL,CITY,EXPIREDDATE,STREETNAME,PHOTOURL,HOUSENUM1,OFFICENAME,SOLDDATE,GARAGE,LOTSIZE,ELEMENTARYSCHOOL,ADDRESS,MLSNUM,LISTPRICE,HOUSENUM2
,SF,4,13,60,,-71.2416348662163,,1129,10/2/2009,3,1,"Highly Desirable Lexington Line!! Immaculate sunfilled ranch home featuring bright E-I-K, fireplaced living room, formal dining room, three spacious bedrooms, hardwood flooring (under carpeting), updated ceramic bath, central air, updated heating system, lower level family room, workshop/storage room, large yard and more!! Walk to public transportation and shops!! Easy access to Rte 128, Rte 2, Mass Pike & Storrow drive!!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Gutters, Professional Landscaping, Sprinkler System;Insulation:Full;Electric:100 Amps;Interior Features:--;Hot Water:Electric;","Lock Box, Call ShowingTime at 888-627-2775",(781) 893-0808,SLD,Ranch,02452,1,"Forced Air, Oil",Kennedy Middle,390000,MA,Dave DiGregorio,42.4148695499218,Waltham High,Waltham,,Essex Street,http://media.mlspin.com/photo.aspx?mls=70983680,32,Coldwell Banker Residential Brokerage - Waltham,10/30/2009,0,9840,Northeast,32 Essex Street,70983680,399900,32
,SF,14,21,38,,-71.2404,,2744,4/29/2013,4,3,"PRESTIGIOUS PIETY CORNER LOCALE!  Sensational Split Level Home featuring huge Fireplaced Livingroom, Modern Kitchen with Stainless Steel Appliances open to formal diningroom with sliders to large deck, Master bedroom suite with private tile bath, Stunning Finished Walk-out Lower level Fireplaced family room, bedroom, and bath (Ideal for In-Law or Home Office) with sliders to patio, huge 1/3 acre fenced yard & inground pool, Central AC, New 2012 roof, newly painted interior, 2 CAR GARAGE, & more!","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood;Appliances:Range, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl, Brick;Exterior Features:Patio, Pool - Inground, Fenced Yard;Insulation:--;Electric:Circuit Breakers, 200 Amps;Interior Features:Security System;Hot Water:Electric;","Lock Box, Appointment Required, Call ShowingTime at 888-627-2775",(781) 893-0808,SLD,Split Entry,02451,1,"Forced Air, Oil",Kennedy,601000,MA,Hans Brings,42.3941,Waltham,Waltham,,LINCOLN TERRACE,http://media.mlspin.com/photo.aspx?mls=71516165,4,Coldwell Banker Residential Brokerage - Waltham,6/21/2013,2,15551,,4 LINCOLN TERRACE,71516165,629900,4
,SF,3,139,55,,-71.2485289,,1300,2/24/2006,3,1.5,"NICE 3 BEDROOMS RANCH IN QUIET AREA NEAR LEXINGTON LINE, VERY GOOD CONDITION AND READY TO MOVE IN TO,FEAT. KITCHEN DININGROOM COMBINATION , NEWER BATHROOM, GLEAMING HARDWOOD FLOORS SEMIFINISHED LOWER LEVEL, BEAUTIFUL DECK OVERLOOKING WOODS, FENCED BACKYARD 2 FIREPLACES.LOTS OF PRIVACY.","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck;Insulation:--;Electric:200 Amps;Interior Features:Cable Available;Hot Water:Electric;",Call List Agent,(781) 354-1581,SLD,Ranch,02451,1,Electric Baseboard,,410000,MA,Vincenzo Talarico,42.4114855,WALTHAM,Waltham,,HARDY POND ROAD,http://media.mlspin.com/photo.aspx?mls=70336521,180,Blue Sky Realty,3/27/2006,0,7841,MACARTHUR,180 HARDY POND ROAD,70336521,399900,180
,SF,19,19,20,,-71.2487,,1604,3/18/2010,3,2.5,"Pristine young center entrance Colonial in the highly desirable Highlands locale featuring modern island kitchen, fireplaced diningroom, formal living room with wainscotting, Master bedroom suite with Master tile bath and walk-in closet, recesssed lighting, gleaming hardwood floors, Central A/C, huge yard, rear deck, 1-car garage AND MORE!!! Convenient to peaceful Prospect Hill Park and public transportation!!!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Porch, Deck;Insulation:Full, Foam;Electric:Circuit Breakers, 200 Amps;Interior Features:Security System;Hot Water:Electric;","Lock Box, Appointment Required, Call ShowingTime at 888-627-2775",(781) 893-0808,SLD,Colonial,02451,1,"Forced Air, Oil",Kennedy,452000,MA,Hans Brings,42.3852,Waltham,Waltham,,TOMLIN STREET,http://media.mlspin.com/photo.aspx?mls=71049226,14,Coldwell Banker Residential Brokerage - Waltham,5/18/2010,1,7475,Plympton,14 TOMLIN STREET,71049226,469900,14
,SF,76,80,22,,-71.2489,,1296,10/21/2011,3,1.5,"HIGHLY DESIRABLE LINCOLN HEIGHTS LOCALE! OPPORTUNITY KNOCKS! METICULOUS YOUNG SUNFILLED COLONIAL featuring newer maple E-I-K, large sundrenched living room w/bay window, three spacious bedrooms, ready to finish lower level, ample storage, deck, beautiful rear yard and more! Walk to popular MacArthur elementary school, park, shops and public transportation! Easy access to Rte 128, Rte 2 and Mass Pike!","Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck, Gutters, Professional Landscaping, Screens;Insulation:Full;Electric:Circuit Breakers;Interior Features:--;Hot Water:Oil;","Lock Box, Call ShowingTime at 888-627-2775",(781) 893-0808,SLD,"Colonial, Garrison",02451,1,"Hot Water Baseboard, Oil",Kennedy Middle,325000,MA,Dave DiGregorio,42.4021,Waltham High,Waltham,,MILNER STREET,http://media.mlspin.com/photo.aspx?mls=71303183,76,Coldwell Banker Residential Brokerage - Waltham,2/24/2012,0,3500,MacArthur,76 MILNER STREET,71303183,344900,76
,SF,8,8,85,,-71.2503,,769,4/16/2012,2,1,Property is 4 rooms 2 bedrooms. Has a dettached garage.  Location location is what this property offers. This property is being sold as is condition cash buyer or rehab only this will not quilify for conventional loans,Basement:Yes;Fireplaces:1;Roof:--;Floor:--;Appliances:--;Foundation:Concrete Block;Construction:--;Exterior:--;Exterior Features:--;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;,Call ShowingTime at 888-627-2775,(781) 891-1600,SLD,Bungalow,02451,1,Steam,,220000,MA,Team Rocco and Lorrie,42.3831,,Waltham,,Bryant ST,http://media.mlspin.com/photo.aspx?mls=71368720,12,RE/MAX Leading Edge,6/8/2012,1,5000,,12 Bryant ST,71368720,190900,12
,SF,188,203,24,,-71.2222,Pigeon Hill ,3233,5/24/2011,4,3,"Pigeon Hill! Looking for a home with an in-law unit? Pride of ownership shows in this spectacular home perfect for entertaining & large families! Beautiful eat-in cherry kitchen with granite & center island, fire-placed living-room, large formal dining room, great sunroom that opens to a beautiful deck, large bedrooms, hardwood floors, walk-up attic, central-air, full walk-out basement set up perfect for in-law space, private yard, 2 car garage, central vac, manicured grounds and much more!","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Brick;Exterior Features:Deck, Patio, Covered Patio/Deck, Balcony, Gutters, Storage Shed;Insulation:--;Electric:Circuit Breakers, 200 Amps;Interior Features:Central Vacuum, Security System, Cable Available, Walk-up Attic, Whole House Fan;Hot Water:--;","Call List Agent, Accompanied Showings, Appointment Required",(781) 893-0808,SLD,Raised Ranch,02452,1,"Hot Water Baseboard, Oil",,795000,MA,Adriano Varano,42.4004,,Waltham,,Raffaele Dr,http://media.mlspin.com/photo.aspx?mls=71237654,60,Coldwell Banker Residential Brokerage - Waltham,2/8/2012,2,13163,,60 Raffaele Dr,71237654,829900,60
,SF,14,19,55,,-71.2461,,1368,10/27/2014,2,1,"HIGHLY DESIRABLE N.WALTHAM LOCALE! WELL CARED FOR RANCH HOME featuring bright E-I-K, sunfilled living room w/bay window, formal dining, full bath w/walk-in-shower, hardwood flooring, lower level playroom/den, ample storage, new roof and gutters, new heating system, relaxing side porch, cute rear yard perfect for gardening, new driveway and more! Walk to park, shops and public transportation! Perfectly located near Rte 128, Rte 2 and Mass Pike!","Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood;Appliances:Range, Dishwasher;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch - Enclosed, Gutters, Professional Landscaping, Screens;Insulation:Unknown;Electric:Circuit Breakers;Interior Features:--;Hot Water:Tank;","Lock Box, Call ShowingTime at 888-627-2775",(781) 893-0808,SLD,Ranch,02451,1,"Forced Air, Oil",Kennedy Midde,326000,MA,Dave DiGregorio,42.4072,Waltham High,Waltham,,SEMINOLE AVENUE,http://media.mlspin.com/photo.aspx?mls=71761943,160,Coldwell Banker Residential Brokerage - Waltham,12/19/2014,0,3200,MacArthur,160 SEMINOLE AVENUE,71761943,325000,160
,SF,7,26,65,,-71.2202,,1358,8/5/2013,3,1.5,"Pride of Ownership! Come see for yourself this lovely, 3 bedroom ranch. Meticulously cared for, this home welcomes you in as soon as you pull up to the curb. Corner lot, large patio, central air, EIK, formal dining room, 4 year young totally re-done family room, wood burning fireplace and a huge partially finished basement make this home a true gem. See attached list of recent improvements. Within a 5 min drive to shops, and highway. Not to be missed!!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood, Wood Laminate;Appliances:Range, Dishwasher, Disposal, Refrigerator, Freezer, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Patio, Gutters, Fenced Yard, Garden Area;Insulation:Fiberglass;Electric:--;Interior Features:Security System, Cable Available;Hot Water:Electric, Tank;",Call List Agent,(617) 969-9000,SLD,Ranch,02452,1,"Forced Air, Oil",Kennedy,438800,MA,Adam Shamus,42.405,Waltham High,Waltham,,Temple Rd,http://media.mlspin.com/photo.aspx?mls=71565337,157,Keller Williams Realty,10/30/2013,0,9571,Northeast,157 Temple Rd,71565337,419000,157
,SF,7,7,59,,-71.2195,,2107,9/3/2014,4,2,"Welcome Home to this Expanded Ranch situated on a mature, professionally landscaped 10Ksf corner lot in the Bentley/Gann Academy locale! Enjoy Single Level Living at its Best with Central AC! Immaculate direct entry garage to the inviting open floor plan. Gas fireplaced LR for those cozy winter nights, updated Gourmet kitchen with Cherry cabinets, granite and SS appliances, perfect for entertaining + Dining room, cozy sitting area & Picture windows make it bright & cheery. Gleaming HDWD flrs thruout. Relax in your Private MBR Suite w/Calif Closets, granite topped double sinks, Jacuzzi, glassed shower & laundry. 3 more BRS in other wing with updated full bath. Retreat to your 337sf finished basement entertainment room + full bar, great for gatherings! Bonus 2nd laundry room W/D & storage space galore. Extensively renovated withjavascript:__doPostBack('Mstr$cph$A1','') all the bells and whistles!  Nothing to do but move in and enjoy!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer, Freezer - Upright;Foundation:Concrete Block;Construction:Brick;Exterior:Vinyl, Brick;Exterior Features:Deck, Patio, Professional Landscaping, Sprinkler System, Fenced Yard, Integrated Pest Management, Garden Area, Solar Powered Area Lighting, Stone Wall;Insulation:Partial, Blown In, Mixed, Cellulose - Fiber, Cellulose - Sprayed, Spray Foam;Electric:200 Amps;Interior Features:Cable Available;Hot Water:Natural Gas;",Call ShowingTime at 888-627-2775,(617) 576-3800,SLD,Ranch,02452,1,"Hot Water Baseboard, Gas",,590000,MA,Terrie Hayden,42.4029,,Waltham,,Augustus Road,http://media.mlspin.com/photo.aspx?mls=71737371,3,RE/MAX Destiny,10/24/2014,1,10641,Northeast Elem,3 Augustus Road,71737371,549900,3
,SF,46,46,90,,-71.2460402571435,,1196,4/13/2009,3,1.5,"JUST REDUCED Colonial on the Newton line located on ""THE ISLAND"" close to Rt.30,128,& 95. This house features a beautiful 2 yr.old updated open style kitchen/dining room with maple cabinets, granite counter tops, and new appliances.  Newly refinished hardwood floors, natural woodwork, working fireplace in livingroom, updated main bath with ceramic floor, newer siding, roof, and replacement windows, slider to large deck,fenced in backyard, sprinkler system, and det. garage with storage.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet, Laminate;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer;Foundation:Concrete Block;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Deck, Sprinkler System, Fenced Yard;Insulation:Unknown;Electric:220 Volts;Interior Features:Cable Available, Walk-up Attic;Hot Water:Electric;","Call List Agent, Lock Box, Appointment Required",(781) 899-1050,SLD,Colonial,02353,1,"Hot Water Radiators, Oil",McDevitt,380000,MA,Dianne Lombardi,42.3598257428565,WHS,Waltham,,Park Street,http://media.mlspin.com/photo.aspx?mls=70901791,34,ERA Kirsch Real Estate,7/15/2009,1,4050,Stanley,34 Park Street,70901791,415000,34
,SF,99,254,55,,-71.246,Piety Corner ,3404,8/3/2011,4,2,"Unique opportunity to own a  Beautiful Home in Piety Corner, offering an Indoor Heated Pool, (35x22) Half acre of Land and Finished basement. Recent updates include: Furnace, Exterior and some Interior painting, Bow windows in Dining room and Living Room, Some recent Hardwood Floors, Hot water tank, Central Air and Partial roof. Private, Cozy backyard setting with deck. The home offers 2 garages with plenty of parking and storage.","Basement:Yes;Fireplaces:2;Roof:Wood Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Disposal, Microwave, Washer, Dryer;Foundation:Poured Concrete;Construction:--;Exterior:Wood;Exterior Features:Deck, Storage Shed;Insulation:--;Electric:--;Interior Features:Security System, Cable Available, Intercom, Indoor Pool;Hot Water:Oil;","Call List Agent, Lock Box, Appointment Required, Call ShowingTime at 888-627-2775",(508) 879-0555,SLD,Ranch,02451,,"Hot Water Baseboard, Oil",,427000,MA,Charlene Locke,42.3922,,Waltham,,Worcester Ln,http://media.mlspin.com/photo.aspx?mls=71270433,222,Century 21 Commonwealth,11/22/2011,4,24540,,222 Worcester Ln,71270433,475000,222
,SF,3,3,85,,-71.2638,,1278,3/9/2013,3,1,"Recently updated Dutch colonial in highly desirable Cedarwood neighborhood.  New SS kitchen with granite countertops, hardwood floors throughout, updated 200 amp electrical service, new natural gas hot water tank, new roof 2010, fresh exterior paint, new composite deck overlooking flat yard with patio.  Garage with work shop and storage.  Close to 128, Mass Pike, and commuter rail.  Great commuter location.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood;Appliances:--;Foundation:Fieldstone;Construction:Frame;Exterior:Shingles;Exterior Features:Deck - Composite, Patio;Insulation:--;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available;Hot Water:Natural Gas, Tank;",Owner,(978) 794-5525,SLD,Colonial,02453,1,"Steam, Gas",McDevitt,475000,MA,Christine Bernardini,42.3705,Waltham,Waltham,,Thornton Road,http://media.mlspin.com/photo.aspx?mls=71491622,77,"Christine M. Bernardini, Esq.",5/14/2013,1,6969,Stanley,77 Thornton Road,71491622,478000,77
,SF,206,214,1,,-71.247,,2000,8/2/2013,3,3.5,"NEW CONSTRUCTION Colonial with Top Quality High End Finishes including crown moldings, columns, archways, wainscoting, gourmet granite kitchen w/stainless steel appliances & columned entrance, fireplaced livingroom, formal dining room, sliders to rear patio, 3 Bdrm suites each with private tile baths, central A/C, 1 CAR GARAGE, 2nd flr laundry, & MORE!  Convenient to parks, public transportation and major routes! Boston Magazine's Top Ranked McArthur School.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck, Sprinkler System;Insulation:Full;Electric:--;Interior Features:Cable Available;Hot Water:Natural Gas;","Lock Box, Appointment Required, Call ShowingTime at 888-627-2775",(781) 893-0808,SLD,Colonial,02451,1,"Forced Air, Gas",Kennedy,570000,MA,Hans Brings,42.3986,Waltham,Waltham,,GREGORY STREET,http://media.mlspin.com/photo.aspx?mls=71563953,35,Coldwell Banker Residential Brokerage - Waltham,4/10/2014,1,6500,MacArthur,35 GREGORY STREET,71563953,574900,35
,SF,16,93,65,,-71.2472,,954,2/24/2014,2,1,"Not a shortsale,Not bank owned, Why pay rent, Move right in and relax in this maintenance free slab ranch with a With a huge 14 X 20 work-shop or storage shed.This a great starter home for a growing family. Vinyl siding and Hardwood floors thru-out with a fenced in back yard. Fully applianced kitchen with Granite Counter and stainless steel appliances.This house is in excellent location North Waltham,near pond and playground,just minutes from Rt 128,the Mass Pike,and public transportation! Just unpack and move-in ready for a quick closing.",Basement:No;Fireplaces:0;Roof:--;Floor:--;Appliances:--;Foundation:Slab;Construction:--;Exterior:Aluminum;Exterior Features:--;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;,Call ShowingTime at 888-627-2775,(617) 803-1901,SLD,Ranch,02451,,"Hot Water Baseboard, Oil",,290000,MA,Mohammad Abouchleih,42.4047,,Waltham,,Mokema Ave,http://media.mlspin.com/photo.aspx?mls=71636237,45,First Realty,4/30/2014,0,4950,,45 Mokema Ave,71636237,299000,45
,SF,1,1,10,,-71.2448343648393,,1600,11/1/2005,3,2.5,"Desirable North Waltham Locale!! New construction single family home featuring Lg. gourmet granite kitchen with stainless steel appliances, formal dining room, exotic hardwood flooring throught, faux finished walls, private master suite, central air, direct entry garage, deck, storage, and more!! Walk to shops and public transportation!!","Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Deck, Gutters, Professional Landscaping, Screens;Insulation:Full;Electric:100 Amps;Interior Features:--;Hot Water:Natural Gas;","Call List Office, Call List Agent, Lock Box",(781) 893-0808,SLD,Colonial,02451,1,"Forced Air, Gas",McDevitt,489000,MA,Dave DiGregorio,42.4008487028105,Waltham,Waltham,,Hillcrest Street,http://media.mlspin.com/photo.aspx?mls=70287420,8,Coldwell Banker Residential Brokerage - Waltham,10/13/2006,1,5000,MaCarthur,8 Hillcrest Street,70287420,489900,8
,SF,2,15,77,,-71.2648,Cedarwood ,2894,9/2/2010,4,2.5,"Highly Desirable Cedarwood Community!!! Pristine Colonial featuring a large fireplaced living room, beautiful new family room addition that opens to fenced-in yard, large island kitchen open to dining-room, hardwood floors, walk up attic, 2nd floor office, finished basement used as au-pair suite, 1-car garage AND MORE!!! Top Ranked neighborhood according to Boston Magazine!!!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:--;Foundation:Poured Concrete, Concrete Block;Construction:Frame;Exterior:Shingles;Exterior Features:Patio;Insulation:--;Electric:Circuit Breakers, 100 Amps;Interior Features:Cable Available, Walk-up Attic, French Doors;Hot Water:Natural Gas, Tank;","Call List Agent, Accompanied Showings, Appointment Required",(781) 893-0808,SLD,Colonial,02453,1,"Hot Water Baseboard, Hot Water Radiators, Oil",McDevitt,565000,MA,Adriano Varano,42.369,Waltham,Waltham,,Florence Rd,http://media.mlspin.com/photo.aspx?mls=71131198,271,Coldwell Banker Residential Brokerage - Waltham,10/29/2010,1,7238,Stanley,271 Florence Rd,71131198,574900,271
,SF,3,3,95,,-71.2474,Prospectville ,1296,1/20/2011,3,1.5,"Desirable Highlands Locale! Beautifully maintained Village Colonial featuring a charming farmer's porch, a younger oak kitchen, formal living room & dinning room with built in hutch, 1st floor familyroom, hardwood floors, pull down attic storage, younger heating system, new 2008 roof, deck, fenced yard, 1 car garage, and more! Steps to Peaceful Propect Hill Park and public transportation!","Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood, Stone / Slate;Appliances:Range, Dishwasher, Disposal, Refrigerator;Foundation:Concrete Block, Fieldstone;Construction:Frame;Exterior:--;Exterior Features:Porch, Deck;Insulation:Full;Electric:Circuit Breakers, 100 Amps;Interior Features:--;Hot Water:Oil;","Lock Box, Appointment Required, Call ShowingTime at 888-627-2775",(781) 893-0808,SLD,Colonial,02451,1,"Steam, Oil",Kennedy,370000,MA,Hans Brings,42.3849,Waltham,Waltham,,GALEN STREET,http://media.mlspin.com/photo.aspx?mls=71180351,46,Coldwell Banker Residential Brokerage - Waltham,3/31/2011,1,4350,Plympton,46 GALEN STREET,71180351,369900,46
