,PROPTYPE,DTO,DOM,AGE,COOLING,lng,AREA,SQFT,LISTDATE,BEDS,BATHS,REMARKS,OTHERFEATURES,SHOWINGINSTRUCTIONS,OFFICEPHONE,STATUS,STYLE,ZIP,LEVEL,HEATING,JUNIORHIGHSCHOOL,SOLDPRICE,STATE,AGENTNAME,lat,HIGHSCHOOL,CITY,EXPIREDDATE,STREETNAME,PHOTOURL,HOUSENUM1,OFFICENAME,SOLDDATE,GARAGE,LOTSIZE,ELEMENTARYSCHOOL,ADDRESS,MLSNUM,LISTPRICE,HOUSENUM2
,SF,9,20,135,,-71.1268,,2215,5/11/2015,4,1,"Great Victorian with an inviting front porch. This spacious 4+bedrooms has been in the family for many years and is now looking for a new owner to restore it to its former beauty. Beautiful woodwork, front and back stairways, warm and inviting wood floors on the first floor , streaming sunlight from large windows . There is a charming  screened porch off the kitchen ( a comfortable  place for your morning coffee). A perfect opportunity to live in Winchester and all it has to offer!!.","Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Refrigerator;Foundation:Fieldstone, Irregular;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Porch - Screened;Insulation:--;Electric:Circuit Breakers;Interior Features:--;Hot Water:Tank;","Lock Box, Key in Office, Appointment Required, Sign, Call ShowingTime at 888-627-2775",(781) 729-7290,SLD,Victorian,01890,1,"Steam, Gas",McCall,735000,MA,Tina Maloy,42.4664,WHS,Winchester,,Clematis Street,http://media.mlspin.com/photo.aspx?mls=71835653,12,Coldwell Banker Residential Brokerage - Winchester,6/30/2015,0,5400,Muraco,12 Clematis Street,71835653,659000,12
,SF,134,134,58,,-71.141404,,1762,7/10/2009,3,2,"LOCATION, LOCATION, LOCATION!!!  Wonderful 3 bedroom 2 bath split level home located on a cul-de sac and convenient to public amenities, shopping and the Wedgemere train. This home features hardwood floors, C/A, newer roof, updated 200 Amp service, sprinkler and alarm system, two car garage, a large yard and more!  Your personal touches await this Wnchester value.","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles;Exterior Features:Porch, Covered Patio/Deck, Sprinkler System;Insulation:Unknown;Electric:Circuit Breakers, 200 Amps;Interior Features:Security System, Cable Available;Hot Water:Natural Gas, Tank;","Call List Agent, Lock Box",(617) 924-9111,SLD,Split Entry,01890,1,"Central Heat, Hot Water Baseboard, Gas",McCall Middle,520000,MA,Thomas Scanlan,42.446645,Winchester High,Winchester,,Ginn Road,http://media.mlspin.com/photo.aspx?mls=70945452,21,"Area Homes Realty, Inc.",12/21/2009,2,12040,Ambrose,21 Ginn Road,70945452,535000,21
,SF,198,295,198,,-71.135586,,4000,4/12/2005,6,4,"The Symmes House, this historic brick ended Federal residence is a Winchester landmark. Exquisite detail throughout. Gracious sunfilled rooms. Au-pair with separate entrance. This is a rare opportunity. Walk to town center, commuter rail and schools.","Basement:Yes;Fireplaces:5;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl;Appliances:Range, Dishwasher, Disposal;Foundation:Fieldstone;Construction:Frame, Brick;Exterior:Clapboard, Shingles;Exterior Features:Porch, Deck;Insulation:--;Electric:--;Interior Features:--;Hot Water:Natural Gas;","Call List Office, Lock Box, Key in Office, Sign",(781) 729-7290,SLD,Colonial,01890,1,"Central Heat, Steam, Gas",McCall,965000,MA,Dorothea Feffer,42.442827,Winchester,Winchester,,Main Street,http://media.mlspin.com/photo.aspx?mls=70172683,230,Coldwell Banker Residential Brokerage - Winchester,4/7/2006,2,17115,Lincoln,230 Main Street,70172683,1079000,230
,SF,241,251,49,,-71.1545199356491,,3744,9/9/2005,4,2.5,"Prime Myopia Hill neighborhood! Come enjoy this very private setting. This exceptionally maintained colonial has plenty to offer today's family with a much desired 1st floor family room, 4 generously sized bedrooms including master suite w/walk-in closet, gleaming hdwd floors, beautiful fireplaced living room, finished lower level w/ fireplace, 2car garage and c/a. Sit & enjoy the enclosed jalousied sun porch or venture to your brick patio and view your largely wooded & serene yard. Perfect!","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range, Wall Oven, Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch - Enclosed, Patio, Gutters, Professional Landscaping, Sprinkler System;Insulation:--;Electric:--;Interior Features:Security System, Cable Available;Hot Water:Natural Gas;","Call List Office, Lock Box, Appointment Required",(781) 729-7777,SLD,Colonial,01890,1,"Hot Water Baseboard, Gas",McCall,1035000,MA,Maureen Olivier,42.4398110322273,Winchester High,Winchester,,McCall Road,http://media.mlspin.com/photo.aspx?mls=70255960,39,Century 21 Fortin,7/11/2006,2,25997,Ambrose,39 McCall Road,70255960,1099000,39
,SF,6,19,163,,-71.1432,,3740,3/8/2011,4,3.5,"Waterfront carriage house converted into a magical single family home in 1977. This historical home has the original barn ceilings in 2 rooms. Meticulously maintained and thoughtfully expanded and renovated. Open floor plan and sun filled throughout. Hardwood floors. Master bedroom suite with water views and cathedral ceilings. Walk out lower level is finished with guest suite, 2nd family room, mudroom, full bath, and laundry room. Rare find, proximity to town & waterfront make this home a gem.","Basement:Yes;Fireplaces:3;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator, Vent Hood;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Deck, Covered Patio/Deck, Gutters, Professional Landscaping, Sprinkler System, Screens;Insulation:Full, Unknown;Electric:Circuit Breakers;Interior Features:Security System, Cable Available, Whole House Fan;Hot Water:Natural Gas, Tank;","Call List Office, Lock Box, Key in Office, Appointment Required, Pets on Premises",(781) 729-7900,SLD,"Colonial, Victorian",01890,1,"Forced Air, Hot Water Baseboard, Gas",McCall,1450000,MA,Anne Spry,42.4527,WHS,Winchester,,Grassmere Ave,http://media.mlspin.com/photo.aspx?mls=71196696,15,Waterfield Sotheby's International Realty,4/29/2011,1,15240,Ambrose,15 Grassmere Ave,71196696,1500000,15
,SF,154,154,29,,-71.1430091912612,,3162,9/13/2007,4,4.5,"Great expanded Dutch Colonial w/4Bedrooms, 4.5 Baths, finished lower level family room, new 2 car attached garage, new kitchen & exceptional storage space, office or potential business with separate front door.  Near town forest & short distance to center and commuter rail.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator, Freezer;Foundation:Concrete Block;Construction:Modular;Exterior:Vinyl;Exterior Features:Deck, Gutters, Hot Tub/Spa, Decorative Lighting, Screens;Insulation:Full, Fiberglass;Electric:110 Volts, 220 Volts, 200 Amps;Interior Features:Cable Available;Hot Water:Electric, Tank;","Call List Agent, Lock Box, Appointment Required",(781) 729-5505,SLD,"Colonial, Gambrel /Dutch",01890,1,"Electric Baseboard, Electric",Mc Call,690000,MA,Maria Freda,42.4370315336642,Winchester High,Winchester,,Grove St,http://media.mlspin.com/photo.aspx?mls=70647837,82,RE/MAX Leading Edge,5/16/2008,2,10005,Ambrose,82 Grove St,70647837,729900,82
,SF,81,81,84,,-71.1555,,2581,4/30/2010,4,3,Royal Barry Wills cottage nestled in the woods on Myopia Hill.  Close to Winchester Country Club.  Interior has fresh decor and newly refinished hardwood floors.   SITE PLAN IS AVAILABLE .,"Basement:Yes;Fireplaces:1;Roof:Wood Shingles, Shake;Floor:Wall to Wall Carpet, Hardwood;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator;Foundation:Poured Concrete;Construction:Frame, Stone/Concrete;Exterior:Shingles, Wood, Stone;Exterior Features:Porch, Professional Landscaping;Insulation:Unknown;Electric:220 Volts, Circuit Breakers, 100 Amps;Interior Features:--;Hot Water:Oil, Tank;","Call List Office, Call ShowingTime at 888-627-2775",(781) 729-5505,SLD,"Gambrel /Dutch, Cottage",01890,1,"Steam, Oil",MC CALL,950000,MA,Caci/Randazzo Team,42.4387,WINCHESTER HIGH,Winchester,,Fernway,http://media.mlspin.com/photo.aspx?mls=71073827,7,RE/MAX Leading Edge,8/23/2010,2,30097,AMBROSE,7 Fernway,71073827,989900,7
,SF,80,265,93,,-71.1508455038899,,2984,2/16/2008,5,3.5,"Classic 1920's Colonial in coveted Flats, completely updated w/today's lifestyle in mind. Gracious foyer leads to living room featuring handsome fireplace, lovely French doors to charming sun room and bookcase-lined fam room/study. Gourmet kitchen w/granite counters/island, gorgeous maple cabinets, top-of-the-line appliances, wine bar. Gleaming hrdwd fls, period details thruout. Master suite w/custom bath plus 3rd Fl suite w/bath. Generous closets, 2nd Fl laundry, deck.  Close to town, train.","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet, Marble;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator, Freezer, Washer, Dryer;Foundation:Other (See Remarks);Construction:Frame;Exterior:Stucco;Exterior Features:Porch, Deck, Gutters, Professional Landscaping, Fenced Yard;Insulation:Partial;Electric:Circuit Breakers, 200 Amps;Interior Features:Walk-up Attic;Hot Water:Natural Gas;","Call List Office, Lock Box, Key in Office, Appointment Required",(781) 729-7900,SLD,Colonial,01890,1,"Hot Water Radiators, Steam, Gas",McCall,1018000,MA,Laura P. McCaughey,42.4525136977641,Winchester High,Winchester,,Cabot Street,http://media.mlspin.com/photo.aspx?mls=70713380,48,Waterfield Sotheby's International Realty,5/16/2008,2,11503,,48 Cabot Street,70713380,1050000,48
,SF,7,16,89,,-71.1260085578726,,1728,5/13/2009,3,1.5,"Much larger than it appears: 8 room Colonial in sought after Muraco Schl district! From the moment you step thru the door, this charming home will steal your heart!  Formal din & liv rms, roomy eatin kchn overlking cozy lightfilled family rm and a great 3 season porch for dining al fresco on those warm summer evenings. The 2nd flr features 3 very generous bdrms and a great office/study w/extra closet space everywhere!!  Cental AC and newer tilt-in windows! Just steps to the Fells!  Don't wait!","Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:Range, Dishwasher, Disposal;Foundation:Concrete Block;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch - Enclosed;Insulation:--;Electric:Circuit Breakers;Interior Features:Security System;Hot Water:Natural Gas, Tank;","Lock Box, Appointment Required, Call ShowingTime at 888-627-2775",(781) 729-5505,SLD,Colonial,01890,1,"Hot Water Baseboard, Oil",,515000,MA,Don Coughlin,42.4623359130023,,Winchester,,Lebanon Street,http://media.mlspin.com/photo.aspx?mls=70918183,36,RE/MAX Leading Edge,9/18/2009,0,4751,Muraco,36 Lebanon Street,70918183,499900,36
,SF,6,6,83,,-71.1355,,3739,9/3/2014,3,3.5,"A classic center entrance colonial located steps from train, town and Lincoln School! Lovely in its traditional style and thoughtfully updated with the best of systems and style. Large formal living room with fireplace and spacious dining room offer great entertaining space. Updated kitchen with granite counters and stainless appliances, including Viking gas range, overlooking a beautiful bluestone patio. Grand family room space with lots of windows and wet bar, built in cabinets and french doors opening to the yard. Professionally designed and maintained, the yard also features koi pond, play space and outdoor kitchen attached to two car, heated garage. Three spacious bedrooms, including grand master bedroom- with many custom built in cabinets and TWO walk in closets as well as ensuite bathroom. Large basement with playroom, oversized storage room, cedar closet and half bath. Systems include Buderis furnace, upgraded electric, french drain system and new generator. Welcome home!","Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Refrigerator - ENERGY STAR, Dryer - ENERGY STAR, Washer - ENERGY STAR;Foundation:Poured Concrete;Construction:Frame, Brick;Exterior:Clapboard, Brick;Exterior Features:Patio, Gutters, Professional Landscaping, Sprinkler System, Decorative Lighting, Fenced Yard;Insulation:--;Electric:220 Volts;Interior Features:Security System;Hot Water:Natural Gas;","Call List Office, Accompanied Showings, Appointment Required",(781) 729-9030,SLD,Colonial,01890,1,"Hot Water Radiators, Gas",McCall,1063000,MA,Karen S. Garrett,42.4421,WHS,Winchester,,Everell Rd,http://media.mlspin.com/photo.aspx?mls=71737395,3,Better Homes and Gardens Real Estate - The Shanahan Group,11/7/2014,2,10072,Lincoln School,3 Everell Rd,71737395,999000,3
