"MLS_NUM","ADDR_LAT","ADDR_LON"
"70248031","42.6649","-71.1319"
"70380577","42.3577","-71.3706"
"70640263","42.3474","-71.2984"
"70661101","42.4465","-71.2278"
"70671396","42.4146","-71.3248"
"70849963","42.4199","-71.303"
"70861783","42.412","-71.32"
"70871737","42.4403","-71.3265"
"70883234","42.4269","-71.2811"
"70892964","42.4219","-71.2811"
"70905776","42.4146","-71.3191"
"70914700","42.4297","-71.3023"
"70954772","42.4528","-71.3121"
"70971999","42.4136","-71.2794"
"70972215","42.4025","-71.3159"
"70972217","42.4003","-71.3167"
"70973954","42.4107","-71.3518"
"70992159","42.458","-71.2952"
"70992838","42.4001","-71.3171"
"71001727","42.412","-71.3603"
"71014825","42.4068","-71.3374"
"71022383","42.4107","-71.3518"
"71024109","42.413","-71.3605"
"71033866","42.4232","-71.2901"
"71034818","42.398","-71.3191"
"71036176","42.4055","-71.339"
"71042288","42.4239","-71.2877"
"71042561","42.4229","-71.309"
"71048168","42.4459","-71.3094"
"71049882","42.4184","-71.2898"
"71051347","42.4106","-71.3572"
"71052944","42.4418","-71.3235"
"71056932","42.4146","-71.3248"
"71067224","42.4129","-71.3237"
"71070205","42.4414","-71.2988"
"71083202","42.4031","-71.3365"
"71083619","42.412","-71.3604"
"71084642","42.4411","-71.2988"
"71089245","42.4423","-71.3265"
"71090840","42.4296","-71.3023"
"71111080","42.4097","-71.358"
"71111207","42.4217","-71.2993"
"71119936","42.4114","-71.3348"
"71133494","42.4333","-71.333"
"71138693","42.4138","-71.2778"
"71049885","42.4319","-71.2988"
"71060936","42.4108","-71.3577"
"71061028","42.411","-71.3564"
"71081310","42.4466","-71.3115"
"71090343","42.4095","-71.2983"
"71090724","42.403","-71.3411"
"71096908","42.4461","-71.313"
"71104272","42.4146","-71.3248"
"71117311","42.4173","-71.3516"
"71128553","42.4424","-71.3279"
"71133345","42.418","-71.3001"
"71138762","42.4119","-71.3602"
"71144161","42.4221","-71.281"
"71144684","42.458","-71.2971"
"71150743","42.458","-71.2971"
"71157440","42.4217","-71.2993"
"71160819","42.4142","-71.3254"
"71161855","42.4015","-71.2888"
"71174480","42.4217","-71.2993"
"71176232","42.4153","-71.3463"
"71183659","42.4111","-71.3571"
"71187756","42.4017","-71.2861"
"71190367","42.4455","-71.3255"
"71200687","42.4117","-71.3601"
"71204156","42.4154","-71.2985"
"71208183","42.4088","-71.298"
"71208444","42.408","-71.3435"
"71211556","42.4041","-71.313"
"71212025","42.3972","-71.3239"
"71215856","42.4438","-71.2759"
"71217034","42.4028","-71.3189"
"71223533","42.4111","-71.3553"
