MLSNUM	STATUS	LISTPRICE	SOLDPRICE	LISTDATE	SOLDDATE	EXPIREDDATE	DOM	DTO	ADDRESS	CITY	STATE	ZIP	AREA	BEDS	BATHS	SQFT	AGE	LOTSIZE	AGENTNAME	OFFICENAME	OFFICEPHONE	SHOWINGINSTRUCTIONS	REMARKS	STYLE	LEVEL	GARAGE	HEATING	COOLING	ELEMENTARYSCHOOL	JUNIORHIGHSCHOOL	HIGHSCHOOL	OTHERFEATURES	PROPTYPE	STREETNAME	HOUSENUM1	HOUSENUM2	PHOTOURL	
70198537	SLD	399000	389000	5/22/2005	9/20/2005		75	75	182 Lowell St	Arlington	MA	02474		3	1	1152	63	8272	Loraine Murtagh	Coldwell Banker Residential Brokerage - Winchester	(781) 729-7290	Call List Office, Lock Box, Sign	Classic Cape with curb appeal, just a short walk to Arlington Reservoir. Fireplaced living room with lovely mantel, hardwood floors, tilt-in windows. Newer neutral ceramic tile bath. First floor bedroom or family room. Master bedroom with big walk-in closet. Eat-in kitchen awaits your touch. Gas heat and central air.  Noce big backyard for gardening or play.	Cape	1	0	Forced Air, Gas					Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Wood, Vinyl;Exterior Features:Gutters;Insulation:Unknown;Electric:--;Interior Features:Cable Available;Hot Water:Natural Gas;	SF	Lowell St	182	182	http://media.mlspin.com/photo.aspx?mls=70198537	
70225654	SLD	399900	385000	7/15/2005	9/20/2005		21	21	67 North Union	Arlington	MA	02474		3	2	1456	115	5406	K. Calandrella / T. Griffin	Bowes Pennell & Thompson GMAC	(781) 648-3500	Call List Office, Lock Box, Key in Office, Appointment Required	Convenient East Arlington location - steps to public transportation, shops, School. Nice, bright updated kitchen with plenty of cabinet and counter space and first floor laundry. First floor family room/den has adjacent full bath - could be used as in-law if needed. Updated heat and electric. Covered, tiled, patio and large level yard provide plenty of outdoor living and entertaining space. Open House Saturday, July 30, 12-1:30.	Farmhouse	1	0	Central Heat, Forced Air, Gas		Thompson	Ottoson	Arlington	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher, Compactor, Refrigerator, Washer, Dryer;Foundation:Fieldstone, Brick;Construction:Frame;Exterior:Vinyl;Exterior Features:Covered Patio/Deck, Gutters, Storage Shed, Screens, Fenced Yard;Insulation:Unknown;Electric:Circuit Breakers, 100 Amps;Interior Features:--;Hot Water:Tank;	SF	North Union	67	67	http://media.mlspin.com/photo.aspx?mls=70225654	
70202510	SLD	569000	565000	6/2/2005	9/21/2005		57	57	176 Mount Vernon St	Arlington	MA	02476		3	2	2269	88	5079	Judy Weinberg	Coldwell Banker Residential Brokerage - Arlington	(781) 648-6500	Call List Office, Lock Box, Appointment Required	The one you've been waiting for! This classic side entrance colonial in the Brackett School district abuts Skyline Park on one side, and offers views of Boston from another. Two decks, a front screen porch, and a beautiful garden make for outdoor living at its best. The spacious and private 3rd floor master suite has a balcony for your morning coffee. This house has been meticulously maintained with a long list of improvements, including new windows.	Colonial	1	1	Steam, Oil		Brackett	Ottoson	Arlington	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Refrigerator, Washer, Dryer;Foundation:Concrete Block;Construction:Frame;Exterior:Asbestos;Exterior Features:Porch - Enclosed, Deck;Insulation:--;Electric:Circuit Breakers, 100 Amps;Interior Features:--;Hot Water:Natural Gas, Tank;	SF	Mount Vernon St	176	176	http://media.mlspin.com/photo.aspx?mls=70202510	
70206176	SLD	599000	588000	6/8/2005	9/21/2005		8	8	37 Coolidge Road	Arlington	MA	02476		3	1.5	1664	86	6849	Susan Rudd	Coldwell Banker Residential Brokerage - Arlington	(781) 648-6500	Lock Box, Appointment Required, Call ShowingTime at 888-627-2775	Charming Colonial in Brackett school location! Fireplaced living room, natural wood work, dining room, 1st floor family room with sliders to beautiful landscaped yard, 3rd floor den/office/retreat with skylights, could be 4th bedroom (electric heat), many updates, Great location near Robins Farm, transportation, shops and restaurants.	Colonial	1	1	Electric Baseboard, Hot Water Radiators, Gas		Brackett	Ottoson	Arlington High	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Concrete Block, Fieldstone;Construction:Frame;Exterior:Shingles;Exterior Features:Deck, Patio, Screens;Insulation:--;Electric:--;Interior Features:Security System, Walk-up Attic;Hot Water:Natural Gas;	SF	Coolidge Road	37	37	http://media.mlspin.com/photo.aspx?mls=70206176	
70206677	SLD	409000	393500	5/19/2005	9/21/2005		64	61	48 Silk Street	Arlington	MA	02474		2	1	973	77	5212	John Roche	Coldwell Banker Residential Brokerage - Arlington	(781) 648-6500	Call List Office, Lock Box, Appointment Required	Charming Dutch colonial, 2+ bdrms, eat-in kitchen, firplcd living room w/ window seat, 1 updated bath, large, flat landscaped yard, room for expansion.  Newer motor for oil burner system, replacement windows.  In desirable E. Arlington neighborhood, walk to school, park and bus.  Great public transportation.  Convenient to Rtes. 93, 2 and 128.	Gambrel /Dutch	1	0	Hot Water Baseboard, Oil		Thompson	Ottoson	Arlington High	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl, Wall to Wall Carpet;Appliances:Range, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles;Exterior Features:Porch, Screens, Fenced Yard;Insulation:Partial;Electric:Circuit Breakers, 100 Amps;Interior Features:Cable Available;Hot Water:Oil;	SF	Silk Street	48	48	http://media.mlspin.com/photo.aspx?mls=70206677	
70227115	SLD	434900	422000	7/18/2005	9/21/2005		22	22	20 Bow St	Arlington	MA	02474		2	1	1114	89	7442	Sally Elkind	Carlson GMAC Real Estate	(781) 861-8100	Call List Agent	Charming and inviting Colonial w/high ceilings, 1st floor office/sunroom, modern kitchen and spacious skylit bath. Close to bike trail and shopping.	Colonial	1	0	Hot Water Radiators, Steam, Gas		Pierce	Ottoson	Arlington	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Concrete Block;Construction:Frame;Exterior:Shingles;Exterior Features:Deck, Storage Shed;Insulation:--;Electric:Circuit Breakers;Interior Features:Security System;Hot Water:Tank;	SF	Bow St	20	20	http://media.mlspin.com/photo.aspx?mls=70227115	
70209705	SLD	459000	460000	6/15/2005	9/22/2005		49	49	4 Martin St	Arlington	MA	02474		3	1	1269	125	3704	Ho Na Diana Lin	Weichert REALTORS &reg;	(781) 860-0111	Call List Agent, Lock Box, Appointment Required, Sign	Move right into this freshly painted, well kept, hard wood floor and original moulding throughout Colonial. 2003 New Roof. Spacious remodeled kitchen with sky light, built in china cabinet in dining room.  Walk up attic provides plenty of storage.  Well situated on a quiet, recently paved cul-de-sac.  Come see it and you'll love it.	Colonial	1	1	Hot Water Baseboard, Oil		Stratton	Ottoson	Arlington High	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range, Dishwasher, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood, Vinyl;Exterior Features:Porch, Patio;Insulation:Full;Electric:100 Amps;Interior Features:Walk-up Attic;Hot Water:Natural Gas;	SF	Martin St	4	4	http://media.mlspin.com/photo.aspx?mls=70209705	
70215039	SLD	434900	428200	6/23/2005	9/22/2005		62	61	91 Richfield	Arlington	MA	02474		3	1	1152	75	6038	K. Calandrella / T. Griffin	Bowes Pennell & Thompson GMAC	(781) 648-3500	Call List Office, Lock Box, Key in Office, Appointment Required	Wonderful Morningside/Bishop School loc.for this 3 bedroom Cape. Freshly painted inter. Large kit/dining area with sliders to a raised flagstone patio and lovely yard.  Newly enclsd. sunroom also has sliders to the yard. Spac.fp liv rm, hdwd floors, finished family room in bsmnt with second fireplace,new furnace, garage under with interior access. Upstairs bedroom needs cosmetics. Also large, insul., unfinished space for 4th bdrm/office/storage.Great curb appeal!	Cape	1	1	Central Heat, Gas		Bishop	Ottoson	Arlington	Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher;Foundation:Poured Concrete;Construction:Frame;Exterior:--;Exterior Features:Patio, Gutters;Insulation:Partial;Electric:Fuses, 60 Amps/Less;Interior Features:--;Hot Water:Natural Gas, Tank;	SF	Richfield	91	91	http://media.mlspin.com/photo.aspx?mls=70215039	
70222126	SLD	575000	555000	7/8/2005	9/26/2005		12	12	160 Westminster Ave	Arlington	MA	02474		3	1.5	1338	133	10000	Christopher Sanders	Coldwell Banker Residential Brokerage - Arlington	(781) 648-6500	Call List Office, Lock Box, Key in Office, Appointment Required	Charming "Eastlake" style victorian on beautifully landscaped 10k sq.ft. lot listed in National Register of Historic Places. Many improvements & updates enhance the wonderful folk cottage character.  Lovely woodwork, wood floors, & decorative detail throughout.  Large deck overlooks pretty yard. The Arlington Reservoir & beach, bike path, shops & buses are nearby.  A gem!	Victorian	1	0	Central Heat, Hot Water Radiators, Gas		Pierce			Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:Wall Oven, Dishwasher, Disposal, Refrigerator;Foundation:Fieldstone;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch, Deck, Fenced Yard;Insulation:Partial, Blown In;Electric:Circuit Breakers;Interior Features:--;Hot Water:Natural Gas, Tank;	SF	Westminster Ave	160	160	http://media.mlspin.com/photo.aspx?mls=70222126	
70169275	SLD	549000	532500	4/5/2005	9/28/2005		70	70	11 Princeton Road	Arlington	MA	02474		2	1	960	54	6380	Robert Shaw	Coldwell Banker Residential Brokerage - Arlington	(781) 648-6500	Call List Office, Lock Box, Key in Office, Appointment Required, Sign	Charming 2 bedroom, 1 bath home with flexible floor plan allowing for 2nd Bedroom or dining room - situated directly on the banks of Spy Pond.  Fireplaced living room, dining room, new kitchen with granite counters, slate floor, and marble backsplash.  Enjoy all seasons from this wonderful waterfront home. Buy now and you'll be barbecuing on your deck in no time!	Ranch	1	1	Hot Water Baseboard, Gas		Hardy	Ottoson	AHS,ACHS	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Dishwasher, Disposal, Refrigerator;Foundation:Poured Concrete, Concrete Block;Construction:Frame;Exterior:Shingles;Exterior Features:Deck, Fenced Yard;Insulation:--;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available;Hot Water:Natural Gas, Tank;	SF	Princeton Road	11	11	http://media.mlspin.com/photo.aspx?mls=70169275	
70183557	SLD	429900	420000	5/2/2005	9/28/2005		108	108	28 Beacon Street	Arlington	MA	02474		2	1	1484	161	4800	Louise Ivers	Coldwell Banker Residential Brokerage - Arlington	(781) 648-6500	Call List Office, Lock Box	Charming Circa 1854 Antique Colonial with bright and spacious kitchen, beautiful Oak floors, and a wonderful 3-season screened porch leading to a lovely yard. Walk to bus and East Arlington shops, restaurants, and theatre.	Colonial, Antique	1	0	Hot Water Radiators		Thompson	Ottoson	Arlington	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range;Foundation:Brick;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch - Enclosed, Gutters;Insulation:Partial;Electric:100 Amps;Interior Features:--;Hot Water:Natural Gas, Tank;	SF	Beacon Street	28	28	http://media.mlspin.com/photo.aspx?mls=70183557	
70198767	SLD	439000	436000	5/26/2005	9/28/2005		82	82	109 SPRING ST	Arlington	MA	02476		3	3	1892	43	6476	Helen Friel	RE/MAX Urban Homes / Arlington	(781) 643-0430	Call List Agent, Lock Box, Sign	Privacy surrounds Jason Heights 8rm Raised Ranch steps to Menotomy Rocks Park! Exceptionally sunfilled rooms features a view of nature from most every window. Beautiful wood floors, updated baths, Central Air, heated driveway, 2car garage, 2 fireplaces, newer windows and roof. Dog lovers dream - a fenced yard plus a short walk to one of the nicest parks in Arlington!	Raised Ranch	1	2	Hot Water Baseboard, Gas		Bishop			Basement:No;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Aluminum, Brick;Exterior Features:--;Insulation:--;Electric:Circuit Breakers;Interior Features:--;Hot Water:--;	SF	SPRING ST	109	109	http://media.mlspin.com/photo.aspx?mls=70198767	
70240404	SLD	419900	423000	8/11/2005	9/28/2005		15	12	2 Yerxa Rd	Arlington	MA	02474		2	1	1520	60	7818	Brian Greeley	Bowes Pennell & Thompson GMAC	(781) 648-3500	Call List Office, Lock Box, Key in Office, Appointment Required	Move right in to this perfect starter home or condo alternative.  Two bedrooms were combined to create enormous master bedroom.  Smaller second bedroom or family room on first floor. Third bedroom or office on lower level. Seasonal views of Boston. Spacious, private yard and one car garage under.	Ranch	1	1	Forced Air, Gas		Stratton	Ottoson	Arlington	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:Range, Microwave, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:--;Insulation:Full;Electric:220 Volts, Circuit Breakers;Interior Features:Cable Available;Hot Water:Natural Gas;	SF	Yerxa Rd	2	2	http://media.mlspin.com/photo.aspx?mls=70240404	
70158267	SLD	675500	645000	3/16/2005	9/30/2005		104	104	255 RIDGE	Arlington	MA	02474		3	2.5	2530	30	7980	Bill Kafkas	Cape Real Estate	(978) 851-7283	Call List Office, Lock Box, Sign	CUSTOM-BUILT CONTEMPORARY IN A VERY NICE NEIGHBORHOOD, "MORNINGSIDE"!  OPEN-CONCEPT WITH  SKYLITES, CATHEDRAL CEILINGS INCLUDING IN MASTER BEDROOM. BALCONY OVERLOOKING LIVING ROOM.  TWO CUSTOM BUILT BRICK FIREPLACES.   LARGE FAMILY ROOM ON THE 1ST LOWER LEVEL. WALK OUT.   EXCELLENT LANDSCAPING.   A FEW MINUTES FROM BOSTON AND ROUTE 128/95.  EASY TO SHOW.  CALL FOR AN APPOINTMENT.	Contemporary	1	1	Electric Baseboard		BISHOP			Basement:No;Fireplaces:2;Roof:--;Floor:--;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles;Exterior Features:Porch, Deck;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;	SF	RIDGE	255	255	http://media.mlspin.com/photo.aspx?mls=70158267	
