MLSNUM	STATUS	LISTPRICE	SOLDPRICE	LISTDATE	SOLDDATE	EXPIREDDATE	DOM	DTO	ADDRESS	CITY	STATE	ZIP	AREA	BEDS	BATHS	SQFT	AGE	LOTSIZE	AGENTNAME	OFFICENAME	OFFICEPHONE	SHOWINGINSTRUCTIONS	REMARKS	STYLE	LEVEL	GARAGE	HEATING	COOLING	ELEMENTARYSCHOOL	JUNIORHIGHSCHOOL	HIGHSCHOOL	OTHERFEATURES	PROPTYPE	STREETNAME	HOUSENUM1	HOUSENUM2	PHOTOURL	
70170829	SLD	884500	855000	4/10/2005	10/28/2005		38	38	5 Doris Road	Bedford	MA	01730		4	2.5	2800	10	12800	Cheryl Major	RE/MAX Walden Country, Inc.	(978) 371-9990	Call List Agent	Lovely 2800 sf colonial ready for your family! Mahogany front deck, central vac, alarm, whirlpool in master bath, surround sound speakers in ceilings, built-in entertainment corner in fam room, corner fireplace in fam room, cherry cabinets in kit, maple vanities, Viking stove and hood.  Hardwood throughout except in second floor baths where floors are ceramic tile.  Granite countertops with generous breakfast bar in kitchen. Butler's pantry with granite countertops and extra beverage refrig.	Colonial	1	2	Central Heat, Gas		Davis/Lane	J.Glenn Middle	BHS	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Compactor;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch, Patio;Insulation:--;Electric:220 Volts, Circuit Breakers, 200 Amps;Interior Features:Central Vacuum, Security System, Cable Available, Walk-up Attic;Hot Water:Natural Gas;	SF	Doris Road	5	5	http://media.mlspin.com/photo.aspx?mls=70170829	
70215068	SLD	654900	640000	6/23/2005	11/1/2005		95	62	50 Wilson Road	Bedford	MA	01730		4	2.5	2186	64	44368	Lorraine Griecci	RE/MAX Walden Country, Inc.	(781) 275-7777	Call List Office, Lock Box, Sign	On acre lot w/ trees & random gardens, a pretty Cape home with 2186 sq.ft. of living space.  This home has it all, 4 bedrms, 2.5 baths. F-T-B Livingrm has a frplc,  pretty window seat & sliders to deck.  Newly refinished hrdwd on 1st flr.  Great mudroom w/ built-ins for outerwear gear.  The 1st flr Master has cathedral ceiling, double closets and full bath.  3 bdrms on the 2nd flr w/ full bath.  Bsmt has a 2nd frplc & many possibilities. 2 car attached garage w/ openers & flrd storage space.	Cape	1	2	Forced Air, Oil		Davis Lane	JGMS	Bedford	Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Compactor, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles;Exterior Features:Deck, Patio, Gutters, Storage Shed;Insulation:Unknown;Electric:Circuit Breakers;Interior Features:Central Vacuum, Cable Available;Hot Water:Natural Gas, Tank;	SF	Wilson Road	50	50	http://media.mlspin.com/photo.aspx?mls=70215068	
70247983	SLD	539900	529000	8/26/2005	11/4/2005		74	32	114 PAGE ROAD	Bedford	MA	01730		4	2	1816	55	35800	Bobbi Tornheim	RE/MAX Walden Country, Inc.	(781) 861-7300	Call List Agent, Lock Box, Appointment Required	What a delightful place to be!  Super clean, custom, expanded four plus bedroom Cape offers amazing space and alternatives.  Sunny, cathedral family room off elegantly designed new kitchen with granite and maple. Path out backyard connects to cul-de-sac neighborhood. Kickball yard. Full, walk out basement, 2 sheds, extra deep crawlspace under FR for storage.  Walk to Wedgewood Swim and Tennis Club(waiting list).	Cape		0	Central Heat, Forced Air		Davis/Job Lane	John Glenn	Bedford High	Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Range, Wall Oven, Dishwasher, Disposal, Countertop Range;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles;Exterior Features:Deck, Storage Shed, Barn/Stable;Insulation:Fiberglass;Electric:Circuit Breakers;Interior Features:--;Hot Water:Natural Gas;	SF	PAGE ROAD	114	114	http://media.mlspin.com/photo.aspx?mls=70247983	
70100781	SLD	899000	850000	10/5/2004	11/14/2005		267	267	28A GOULD ROAD	Bedford	MA	01730		6	3.5	3932	22	72749	Debbie Spencer	RE/MAX Walden Country, Inc.	(781) 861-7300	Call List Agent, Lock Box, Go Direct, Appointment Required	Young and inspiring center entrance Colonial with character and quality, including 9 foot ceilings, wonderful light, large open floor plan and gorgeous land. This magnificent 4 bedroom home has over 3900 sq. ft. of fabulous living space on 3 levels. Lower level has a legal in-law or au-pair space ideal for a home office. This space offers the same character and quality as the rest of the home, all on wooded acre plus private lot.	Colonial	1	2	Central Heat, Forced Air, Gas		Davis/Lane	Bedford	Bedford	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Deck, Professional Landscaping;Insulation:Full;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Natural Gas, Tank;	SF	GOULD ROAD	28	28A	http://media.mlspin.com/photo.aspx?mls=70100781	
70246289	SLD	525000	505000	8/23/2005	11/14/2005		51	23	467 Old Billerica Road	Bedford	MA	01730		4	2	1902	56	62480	Gail Busch	Coldwell Banker Residential Brokerage - Bedford	(781) 275-7111	Call List Office, Lock Box, Sign	Exceptionally spacious cape set well back & bound in front by low stone wall is sited on wooded 1.43 acres, close to major commuting rts.  Warm & inviting living rm w/fireplace, eat-in kit, dining rm w/large picture window, full bath & 2 additional rms. with closets on 1st fl, plus 3 bedrooms & full bath on 2nd fl, hardwood on both levels.  A home of substance with great potential & flexibility of space.  NOT A DRIVE BY!	Cape	1	1	Hot Water Baseboard, Oil		Davis/Lane	John Glenn	Bedford	Basement:Yes;Fireplaces:1;Roof:--;Floor:--;Appliances:Wall Oven, Dishwasher, Disposal, Countertop Range;Foundation:Poured Concrete;Construction:--;Exterior:Shingles;Exterior Features:--;Insulation:--;Electric:Fuses;Interior Features:Cable Available;Hot Water:--;	SF	Old Billerica Road	467	467	http://media.mlspin.com/photo.aspx?mls=70246289	
70260911	SLD	459000	443000	9/15/2005	11/15/2005		190	22	112 PAGE ROAD	Bedford	MA	01730		3	1	1498	60	30010	Debbie Spencer	RE/MAX Walden Country, Inc.	(781) 861-7300	Call List Agent, Lock Box, Go Direct, Sign	One of a kind! Unique and a pleasure to call home this contemporary Cape has an open and appealling floor plan on a large level well landscaped yard. This home features a vaulted fireplaced livingroom skylit kitchen and formal diningroom on the first. The second level offers 3 bedrooms and a full bath. There is a fabulous walk-out familyroom w/woodstove with immediate access to a private brick patio. This unique home also has rough plumbing for future 1/2 bath. A gardeners delight!!	Cape, Contemporary	1	0	Hot Water Baseboard, Gas		Davis/Lane	John Glenn	Bedford	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range, Dishwasher, Disposal;Foundation:Concrete Block;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Patio;Insulation:--;Electric:Circuit Breakers, 100 Amps;Interior Features:Security System, Cable Available;Hot Water:Natural Gas, Tank;	SF	PAGE ROAD	112	112	http://media.mlspin.com/photo.aspx?mls=70260911	
70211569	SLD	599900	590000	6/16/2005	11/18/2005		209	113	212 South Road	Bedford	MA	01730		6	4	3220	50	15000	Stephen Stratford	Carlson GMAC Real Estate	(781) 861-8100	Call List Agent, Lock Box, Sign	Expanded Gambrel Cape w/over 3200 sf. of beaut. finished living space on three levels that flows like a Colonial. Bright & open floor plan designed for both comfort & elegance. Gracious LR w/fireplace flanked by built-ins, updated eat-in kit. overlooks spac. FR, 1st fl. bedroom & full bath, 2nd Floor offers five BR's & 2 full baths, playroom or office space w/ 2nd kit. Walk-out lower level beaut. finished w/lg. rec. rm w/ fp, wet bar, full bath. 3 season porches& deck overlook MM Bike Path.	Cape	1	0	Hot Water Baseboard, Electric Baseboard, Gas, Electric		Davis/Lane	John Glenn	Bedford	Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave, Indoor Grill, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles;Exterior Features:Porch, Porch - Enclosed, Deck, Covered Patio/Deck, Fenced Yard;Insulation:Unknown;Electric:Circuit Breakers;Interior Features:Wetbar;Hot Water:Natural Gas, Electric;	SF	South Road	212	212	http://media.mlspin.com/photo.aspx?mls=70211569	
70265119	SLD	598000	600000	9/11/2005	11/21/2005		26	16	8 Independence Road	Bedford	MA	01730		4	2.5	1900	33	15573	Madeline Chen	RE/MAX Walden Country, Inc.	(781) 861-7300	Call List Office, Call List Agent, Lock Box, Appointment Required, Sign	Classic Garrison Colonial in desirable neighborhood. Comfort and space abound with easy flow of floor plan and everything you've ever dreamed to have. Formal living and dining rooms, E-I kitchen; spacious fireplcd famlyrm with coat closet, laundry area, 1/2 bath & open to deck. Walk up attic for future expansion. Many recent imprvmnts incl.new roof, gleaming HW flrs throughout, 2 ceramic tiled baths, System 2000 boiler & hot water tank, garage doors & opnrs. Close to Center, Rt.128 & bike path.	Garrison	1	2	Hot Water Baseboard, Oil, Wood		Davis/Lane	John Glenn	Bedford High	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Concrete;Appliances:Range, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame, Stone/Concrete;Exterior:Wood;Exterior Features:Deck, Gutters, Screens, Fenced Yard;Insulation:Full, Fiberglass;Electric:110 Volts, 220 Volts, Circuit Breakers, 100 Amps;Interior Features:Cable Available, Walk-up Attic;Hot Water:Oil, Tank;	SF	Independence Road	8	8	http://media.mlspin.com/photo.aspx?mls=70265119	
70270979	SLD	399900	388000	10/2/2005	11/23/2005		97	23	19 Hume Rd	Bedford	MA	01730		3	1.5	1400	115	8865	Laurie Cadigan	J M Barrett & Co., Inc.	(978) 369-6453	Call List Agent	Washed in sunshine and neutral colors, this charming and totally renovated 3 bedroom home will steal your heart!  Open floor plan, skylights and hardwood floors - characteristics make this a very special offering.  A newly finished four season sun room for relaxation or entertaining opens to a private yard and patio perfect for summer grilling and sipping Chardonnay.  The location is so convenient to commuting routes, the best of restaurants and shopping, yet nestled in a neighborhood.	Colonial	1	0	Hot Water Baseboard, Gas		Bedford	Bedford	BEDFORD HIGH	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Range, Dishwasher;Foundation:Poured Concrete;Construction:Frame;Exterior:--;Exterior Features:Patio, Storage Shed;Insulation:Unknown;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Natural Gas;	SF	Hume Rd	19	19	http://media.mlspin.com/photo.aspx?mls=70270979	
70167127	SLD	529900	504000	4/4/2005	11/29/2005		207	185	23 Burlington Rd	Bedford	MA	01730		5	3	2300	62	53270	Linda Dube	Vidoli & Assoc., Inc. REALTORS®	(781) 272-1900	Call List Office, Lock Box	BRAND NEW ROOF on ranch portion of house.  Two Kitchens, five-bedroom ranch with a two car heated garage on over an acre of land!! Anderson windows, legal in law apartment with sliders in bedroom and fully applianced galley kitchen.  Family room w/bar, storage areas and work benches in basement.	Ranch	1	2	Hot Water Baseboard					Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck, Storage Shed;Insulation:Full;Electric:220 Volts;Interior Features:--;Hot Water:Natural Gas;	SF	Burlington Rd	23	23	http://media.mlspin.com/photo.aspx?mls=70167127	
