MLSNUM	STATUS	LISTPRICE	SOLDPRICE	LISTDATE	SOLDDATE	EXPIREDDATE	DOM	DTO	ADDRESS	CITY	STATE	ZIP	AREA	BEDS	BATHS	SQFT	AGE	LOTSIZE	AGENTNAME	OFFICENAME	OFFICEPHONE	SHOWINGINSTRUCTIONS	REMARKS	STYLE	LEVEL	GARAGE	HEATING	COOLING	ELEMENTARYSCHOOL	JUNIORHIGHSCHOOL	HIGHSCHOOL	OTHERFEATURES	PROPTYPE	STREETNAME	HOUSENUM1	HOUSENUM2	PHOTOURL	
70254267	SLD	499900	510000	9/7/2005	10/27/2005		5	5	21 Simon Willard Rd.	Acton	MA	01720		3	2	1955	45	21039	Joan Meyer	Acton Real Estate Co., LLC	(978) 263-1166	Call List Office, Owner, Lock Box, Sign	What's there not to like!! This home has been totally redone all in the past 2 years. New kit,appliances, bath,new doors, refin.hwd flrs,refaced fp in LR,custom mantel,paint inside and out, prof. landscape & the list goes on. Enjoy the warm summer days on the expansive deck or relax inside the heated sunroom and enjoy the view of the perennial garden and yard. This home is located in Acton center and inside a neighborhood too!!!	Split Entry		2	Central Heat, Hot Water Baseboard		Choice of 5	R. J. Grey	ABRHS	Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles;Exterior Features:Porch - Enclosed, Deck, Gutters, Professional Landscaping;Insulation:Full;Electric:--;Interior Features:Central Vacuum, Cable Available, Whole House Fan;Hot Water:Natural Gas, Tank;	SF	Simon Willard Rd.	21	21	http://media.mlspin.com/photo.aspx?mls=70254267	
70256903	SLD	599900	590000	9/9/2005	10/27/2005		10	10	80 Alcott Street	Acton	MA	01720		4	2.5	1922	57	24100	Joan Meyer	Acton Real Estate Co., LLC	(978) 263-1166	Call List Office, Lock Box, Sign	Robbins Park - Wonderfully maintained Porter Jenks garrison colonial. Great family home with large porch for entertaining w/brick bar-b-que and lovely yard for gardening. Newish corian counter tops in kitchen open to fireplaced family room. Attached garage. Dining room with 2 built-in china cabinets. Front to back fireplaced living room w/large picture window overlooking private backyard. Basement includes heated pine paneled rec rm w/fireplace & brick wall,sm den/office w/blt-ins. Improv list.	Colonial, Garrison	1	2	Hot Water Baseboard, Gas		Choice of 5	R. J. Grey	ABRHS	Basement:Yes;Fireplaces:3;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet, Laminate;Appliances:Range, Dishwasher, Microwave, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles;Exterior Features:Porch - Enclosed;Insulation:Unknown;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available, Walk-up Attic;Hot Water:Natural Gas, Tank;	SF	Alcott Street	80	80	http://media.mlspin.com/photo.aspx?mls=70256903	
70213891	SLD	659000	633750	6/21/2005	10/28/2005		108	97	7 Woodchester Drive	Acton	MA	01720		4	2.5	2772	43	20250	Pamela DeGemmis	Coldwell Banker Residential Brokerage - Acton	(978) 263-3303	Call List Office, Appointment Required	Spacious colonial in mint condition in fabulous Acton neighborhood! New septic just completed,recently renovated,eat-in kitchen with granite and hardwood floors. New bath on 2nd floor, other baths updated, new roof, flat, long driveway recently replaced. The family Room has cathedral ceilings, bay window and brick hearth fireplace. Light, bright, cheerful,great for entertaining.	Colonial	1	2	Hot Water Baseboard		Choice of 5	R.J. Grey Jr.	Acton/Boxb.	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch - Enclosed;Insulation:Fiberglass, Blown In;Electric:--;Interior Features:Cable Available;Hot Water:Oil;	SF	Woodchester Drive	7	7	http://media.mlspin.com/photo.aspx?mls=70213891	
70256484	SLD	519000	519000	9/9/2005	10/28/2005		3	3	13 Juniper Ridge Rd	Acton	MA	01720		4	1.5	1930	59	23595	Sandra Hersh	ERA Morrison Real Estate	(978) 263-8887	Call ShowingTime at 888-627-2775	Gracious colonial located in popular West Acton neighborhood. Pristine condition offering formal living & dining rms, eat-in kitchen & inviting family room on 1st floor. 4 bdrms on the 2nd floor and a brand new bath. Finished lower level with full bath adds 378 sq ft of additional living space. Lots of shiny hardwood floors. An inviting 2-tier deck was added off of the family room. A great yard with lots of curb appeal. Perfect for the family waiting to make the move to Acton.	Colonial	1	1	Forced Air, Gas		Choice	R.J. Grey	A/B Regional	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl, Wall to Wall Carpet, Other (See Remarks);Appliances:Wall Oven, Dishwasher, Countertop Range, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Deck;Insulation:--;Electric:Circuit Breakers;Interior Features:--;Hot Water:Natural Gas;	SF	Juniper Ridge Rd	13	13	http://media.mlspin.com/photo.aspx?mls=70256484	
70178337	SLD	1290000	1000000	4/22/2005	11/1/2005		42	42	737-741 Main Street	Acton	MA	01720		3	2	3030	195	144401	Joan Meyer	Acton Real Estate Co., LLC	(978) 263-1166	Call List Office, Owner, Lock Box, Sign	House on 3.31 developable acres. Approval not required. One lot has 5 BR perc already done. Own North Acton Station Master's house. 1820 farmhouse with bedroom loft and family room in remodeled barn.  New kitchen, lots of closets, full basement and attic, large deck. Beautiful views from every window.  Abuts conservation land. Lot very private with mature trees. Close to Nara Park and commuter routes. Title 5 approved on house. See listing broker for more information.	Antique	1	0	Forced Air, Hot Water Radiators, Oil, Gas		Choice of 5	R. J. Grey	ABRHS	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer;Foundation:Granite;Construction:Frame, Post & Beam;Exterior:Clapboard, Wood;Exterior Features:Porch, Deck;Insulation:Unknown;Electric:220 Volts, 100 Amps;Interior Features:Security System, Walk-up Attic;Hot Water:Oil, Natural Gas, Tankless;	SF	Main Street	737741	737-741	http://media.mlspin.com/photo.aspx?mls=70178337	
70256001	SLD	724900	710000	9/9/2005	11/1/2005		83	7	5 Badger Circle	Acton	MA	01720		4	2.5	2672	28	23000	Vidya Kulkarni	Acton Real Estate Co., LLC	(978) 263-1166	Appointment Required, Call ShowingTime at 888-627-2775	Location,loc.loc.Well Maint hip roof colonial with a paledian window on a  Cul-de-sac in Northbriar, near 123-acre Nashoba Brook conservation and within bike riding dist to NARA Park. Lg.tiled kitchen w/ jenn-aire & new countertops, cath-ceil fireplaced familyroom, hrdwds on entire 1st floor. Beaut landscaped lot with mature peren.  Lovely priv deck, brick patio, fini LL.w/1000 addt'l sf. NEW LAYER OF ROOF TO BE DONE BEFORE CLOSING.MUST CALL MA PASS FOR CONFIRMED APPOINMENT.	Colonial	1	2	Central Heat, Forced Air, Oil		Choice of 5	R.J.Grey	ActonBoxboroRHS	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Wall Oven, Dishwasher, Microwave, Countertop Range, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Deck, Patio, Gutters, Professional Landscaping;Insulation:--;Electric:200 Amps;Interior Features:Cable Available;Hot Water:Electric;	SF	Badger Circle	5	5	http://media.mlspin.com/photo.aspx?mls=70256001	
70245124	SLD	509900	490000	8/20/2005	11/2/2005		54	42	416 Main St	Acton	MA	01720		4	2	1588	70	64469	Jennifer Lynch	Westford Real Estate, Inc.	(978) 692-4884	Call List Office, Lock Box, Appointment Required, Sign	Lots of room in this charming Cape on 1 1/2 acres in Acton Center!! Featuring 4 bedrooms, 2 full baths, fireplaced livingroom, spacious eat-in kitchen with new cabinets, counters and appliances. Beautiful hardwood and tile floors, screened porch and mudroom. Other recent improvements include windows, furnace, roof, exterior paint, flooring and more. Enjoy sitting on the deck in this private back yard with many mature plantings.	Cape	1	1	Forced Air, Electric Baseboard, Gas		Acton Public	Acton Public	Acton Public	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave;Foundation:Concrete Block;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Porch - Enclosed, Deck, Gutters, Screens;Insulation:Unknown;Electric:200 Amps;Interior Features:Cable Available;Hot Water:Natural Gas, Tank;	SF	Main St	416	416	http://media.mlspin.com/photo.aspx?mls=70245124	
70253103	SLD	1025000	1010000	9/6/2005	11/3/2005		17	9	12 Marshall Path	Acton	MA	01720		4	3.5	3228	19	34636	Anne Marie DeCesar	Coldwell Banker Residential Brokerage - Acton	(978) 263-3303	Call List Office	Pristine Victorian only nine years young at Marshall Crossing, a cul-de-sac location. Ten rooms, four bedrooms, 3.5 baths with first floor office/au-pair with adjoining full bath, granite and corian kitchen, fabulous 2-story family room with gas fireplace. Finished lower level,adds an additional 975 sq.ft., has two rooms game/TV room and exercise room. A beautiful mahogany front porch and back deck overlooking level private yard.	Victorian	1	2	Forced Air, Gas		Acton	R.J. Grey Jr.	ABRHS	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Dishwasher, Microwave, Countertop Range, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Other (See Remarks);Exterior Features:Porch, Deck, Gutters, Professional Landscaping, Sprinkler System, Screens;Insulation:Fiberglass;Electric:220 Volts;Interior Features:Central Vacuum;Hot Water:Natural Gas, Tank;	SF	Marshall Path	12	12	http://media.mlspin.com/photo.aspx?mls=70253103	
70252115	SLD	449900	429900	9/2/2005	11/9/2005		27	27	4 Kelley Rd	Acton	MA	01720		4	2	1437	55	26675	Paula Berg	Pilgrim Hill Realty	(617) 630-0043	Owner, Accompanied Showings	Hop off the Commuter Rail or Route 2 to this friendly neighborhood minutes from great schools, playground, shopping, restaurants and conservation land. Open, spacious layout. Updated eat-in kitchen has built-in china cabinet, and opens to back deck,or enjoy dinner in screened three-season room. Living room boasts built-in bookcases and oversized picture window. Complete bath renovation in 2002. Private full in-law apt on lower level walks out to nice back yard. A joy to show your buyers!	Ranch	1	1	Hot Water Baseboard, Oil		Acton	Acton	Acton	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range, Wall Oven, Dishwasher, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Porch - Enclosed, Deck, Patio, Gutters, Professional Landscaping, Screens;Insulation:Fiberglass;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available;Hot Water:Electric, Tankless;	SF	Kelley Rd	4	4	http://media.mlspin.com/photo.aspx?mls=70252115	
70249426	SLD	549000	520000	8/29/2005	11/14/2005		43	32	31 Hosmer	Acton	MA	01720		4	2	2364	74	40922	Nancy O Brien	Coldwell Banker Residential Brokerage - Acton	(978) 263-3303	Call List Office	There's nothing like the charm of a Cape!! This 8 room, 4 bedroom, 2 bath sparkling home offers classic style and neutral colors throughout.  Warmth and sophistication!!	Cape	1	3	Hot Water Baseboard, Hot Water Radiators, Oil		Choice of 5	RJ Grey	ABRHS	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Microwave, Refrigerator, Washer, Dryer;Foundation:Concrete Block;Construction:Frame;Exterior:Shingles;Exterior Features:Deck, Storage Shed;Insulation:Full, Fiberglass;Electric:Circuit Breakers;Interior Features:--;Hot Water:--;	SF	Hosmer	31	31	http://media.mlspin.com/photo.aspx?mls=70249426	
