MLSNUM	STATUS	LISTPRICE	SOLDPRICE	LISTDATE	SOLDDATE	EXPIREDDATE	DOM	DTO	ADDRESS	CITY	STATE	ZIP	AREA	BEDS	BATHS	SQFT	AGE	LOTSIZE	AGENTNAME	OFFICENAME	OFFICEPHONE	SHOWINGINSTRUCTIONS	REMARKS	STYLE	LEVEL	GARAGE	HEATING	COOLING	ELEMENTARYSCHOOL	JUNIORHIGHSCHOOL	HIGHSCHOOL	OTHERFEATURES	PROPTYPE	STREETNAME	HOUSENUM1	HOUSENUM2	PHOTOURL	
70228109	SLD	344900	344900	7/20/2005	10/27/2005		54	54	1 Marion Rd	Burlington	MA	01803		3	1	1296	55	14375	Vinh Huynh	RE/MAX Aegis Capital Realty	(617) 786-8896	Call List Office, Call List Agent, Lock Box, Appointment Required	Cosy single family home located on conservation land in burlington marion road. Quiet neighborhood, great for family with children, plenty of parking space for your guest. Easy access to Rt3 and 128. Nice deck overlooking a spacious backyard. This 1 level home features 3 bedrooms, 1 bathroom, hardwood flooring and a fireplace. *Move in condition*. Winter is coming, act fast!!	Ranch	1	0	Forced Air, Oil					Basement:Yes;Fireplaces:1;Roof:Tile;Floor:Wood;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck;Insulation:--;Electric:110 Volts, Circuit Breakers, 60 Amps/Less;Interior Features:--;Hot Water:--;	SF	Marion Rd	1	1	http://media.mlspin.com/photo.aspx?mls=70228109	
70201012	SLD	409900	390000	6/1/2005	10/28/2005		124	122	23 Holly St	Burlington	MA	01803		4	2	1650	56	20038	Maura Lowe	Coldwell Banker Residential Brokerage - Tewksbury	(978) 851-3731	Call List Office, Lock Box	7 rm, 4br, 2 bath tri-level located in sought after residential neighborhood. First floor features eat-in kitchen w/plenty of cabinets, garbage disposal & living room w/fireplace. Sliders lead to deck overlooking private fenced in 1/2 acre lot. Upper level features 4 bedrooms, full bath & attic. Hardwood floors throughout. LL needs TLC & features family room, 3/4 bath, laundry & walk out. Minutes to public transportation, shopping and major routes. In Law potential. Priced to sell "As Is"	Multi-Level	1	0	Hot Water Baseboard, Oil		Pine Glen	Marshall Simond	Burlington	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range, Dishwasher, Disposal, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Wood;Exterior Features:Deck, Storage Shed, Fenced Yard;Insulation:Full;Electric:110 Volts;Interior Features:Cable Available;Hot Water:Electric;	SF	Holly St	23	23	http://media.mlspin.com/photo.aspx?mls=70201012	
70264938	SLD	519900	519000	9/22/2005	10/28/2005		28	7	11 Winnmere Avenue	Burlington	MA	01803		4	2	1966	13	6098	Lisa O Brien	Vaillancourt Realty Group, Inc.	(978) 369-2892	Call ShowingTime at 888-627-2775	Better than new! Contemporary Split Entry  on corner lot in n'hood location w/many features. Showcase cherry kitchen with granite countertops, hardwood flooring, recessed lighting and eat-in area. Cathedral ceiling living room with hardwood flooring, recessed lighting. 2 full baths w/ ceramic tile flooring. Spectacular front to back family room/ playroom on first level w/ recessed lighting, fireplace and walk-out. 4th bedroom on first level. Fenced yard, immac landscaping. Don't miss this one!	Contemporary, Split Entry	2	1	Forced Air, Oil					Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Covered Patio/Deck, Professional Landscaping, Fenced Yard;Insulation:--;Electric:--;Interior Features:Cable Available;Hot Water:Oil;	SF	Winnmere Avenue	11	11	http://media.mlspin.com/photo.aspx?mls=70264938	
70170614	SLD	399900	363000	4/9/2005	10/31/2005		152	152	14 Old Colony Rd	Burlington	MA	01803		4	2.5	2415	61	20038	Daniel Fabbri	Century 21 Advance Realty	(781) 395-2121	Call List Office, Lock Box, Appointment Required, Sign	Hurry-exp ranch in area of sim homes. Main home built 1954. Typical of this era. 3 brs, full bath, EIK w/din area&lg LR. All rms have hw frs. This portion is dated&could use a new kit&bath&some TLC to bring back to life. The 25x25 addition-added in 1996 & runs off rear of home.Added space features a big formal DR, c/t bath w/jac tub, huge rear MBR all w/hw flrs. Lower level-huge 25x25 fam rm w/ct flr & 1/2bath. Gar in rear was w/shop. Addition needs fin touchs to complete. Abuts c/land. 20k lot	Ranch	1	1	Forced Air, Oil					Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl;Appliances:Range;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Screens;Insulation:Mixed;Electric:100 Amps;Interior Features:Cable Available;Hot Water:Natural Gas;	SF	Old Colony Rd	14	14	http://media.mlspin.com/photo.aspx?mls=70170614	
70249018	SLD	489900	482000	8/28/2005	10/31/2005		19	19	1 Wildwood Lane	Burlington	MA	01803		5	1.5	2044	35	20200	Michael Austin	Prudential Suburban REALTORS &reg;	(781) 272-2070	Call List Office, Appointment Required	Recently remodeled 9 room, 5 bedroom Split Level. The many features include an inviting floor plan the boast gleaming white oak hardwood floors, ceramic tile baths. The kitchen opens to a formal living room and dining room that steps out to an enclosed porch which overlooks the private 1/2 acre lot. The lower level with 8' plus ceilings has been remodeled to include removal of all paneling and redone with blueboard and plaster, gorgeous new carpets.Central Air and so much more.Fox Hill School	Split Entry	1	0	Forced Air, Oil		Fox Hill	Marshall Simond	BHS	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range;Foundation:Poured Concrete;Construction:Frame;Exterior:Masonite;Exterior Features:Porch - Enclosed;Insulation:Fiberglass;Electric:--;Interior Features:--;Hot Water:--;	SF	Wildwood Lane	1	1	http://media.mlspin.com/photo.aspx?mls=70249018	
70257123	SLD	399900	395000	9/10/2005	10/31/2005		33	33	19 Morrison Road	Burlington	MA	01803		2	1.5	1401	60	20038	Michael Austin	Prudential Suburban REALTORS &reg;	(781) 272-2070	Call List Office, Lock Box, Appointment Required	Well maintained 6 Room Ranch.The many features include newer new-pro windows, vinyl siding, heating system, gleaming hardwood floors, finished family room in the lower level with 1/2 bath. Spacious kitchen with natural wood cabinets, sliding door off the dining room steps out to an oversized deck overlooking a flat level 1/2 acre at the end of a cul de sac.	Ranch	1	1	Hot Water Baseboard, Oil		Francis Wyman	Marshall	BHS	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:--;Insulation:Fiberglass;Electric:100 Amps;Interior Features:--;Hot Water:Tankless;	SF	Morrison Road	19	19	http://media.mlspin.com/photo.aspx?mls=70257123	
70259674	SLD	439900	432110	9/13/2005	10/31/2005		8	8	6 Luther Rd	Burlington	MA	01803		3	2	1643	58	20038	Ted Naddaff	Prudential Suburban REALTORS &reg;	(781) 272-2070	Call List Office, Lock Box	Beautiful fully dormered 3 bedroom Cape. This home has hardwood floors up and down, finished basement with familyroom and office. New roof and replacement windows. Detached 2 car garage, wood burning fireplace in living room. Huge deck overlooking well landscaped fenced yard. Located in a great neighborhood on a quiet cul-de-sac. Open House Sunday Sept. 18th 12:00-3:00.	Cape	1	2	Hot Water Baseboard, Electric Baseboard, Oil		Francis Wyman	Marshall Simons	Burlington High	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Wall Oven, Dishwasher, Disposal, Countertop Range, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Deck, Gutters, Professional Landscaping, Fenced Yard;Insulation:Full, Fiberglass;Electric:--;Interior Features:--;Hot Water:Oil;	SF	Luther Rd	6	6	http://media.mlspin.com/photo.aspx?mls=70259674	
70212834	SLD	519900	500000	6/20/2005	11/3/2005		153	84	21 Arnold Ter	Burlington	MA	01803		4	2.5	2380	55	20038	Ted Naddaff	Prudential Suburban REALTORS &reg;	(781) 272-2070	Call List Office	Large Custom Cape with huge great room addition, located in a great family neighborhood on a dead end street. This home has a 1st floor master bedroom suite, 30 x 20 greatroom w/ vaulted ceiling and large windows, hardwood throughout, updated kitchen with granite counter tops, new gas heating system and central air, gas fireplace, 2 and 1/2 ceramic tile baths. This is a beautiful and large home which is handicap accessable and offers inlaw potential. Very private lot.	Cape	1	0	Forced Air, Gas		Pine Glen	Marshal Simons	Burlington High	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Disposal, Microwave, Freezer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Deck;Insulation:Fiberglass;Electric:--;Interior Features:--;Hot Water:Natural Gas;	SF	Arnold Ter	21	21	http://media.mlspin.com/photo.aspx?mls=70212834	
70249179	SLD	339900	325000	8/26/2005	11/4/2005		24	24	9 Sunset Dr	Burlington	MA	01803		3	1.5	1677	59	29185	June Tabaldi	Century 21 North Shore	(781) 272-1515	Call List Office, Lock Box, Appointment Required, Sign	Great starter home, hardwood floors, new furnace and new 200 amp electric. Three bedrooms, lower level with kitchenette, family room, one bedroom and ¾ bath. Walkout basement.  Large level lot.  Tree house in back yard.  Needs TLC.  Selling “as is”	Ranch	1	0	Hot Water Baseboard, Oil					Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:--;Insulation:--;Electric:200 Amps;Interior Features:--;Hot Water:--;	SF	Sunset Dr	9	9	http://media.mlspin.com/photo.aspx?mls=70249179	
70228595	SLD	539900	507000	7/16/2005	11/11/2005		99	99	3 Tami Ln	Burlington	MA	01803		5	2	2562	54	20473	Doreen Youden	Century 21 Travis R. E.	(978) 667-2121	Call List Office, Key in Office	Beautiful expanded ranch located on a quiet dead end street.  Perfect for the growing family. Close to bus line and all major highways. Professionally maintained inground pool, with it's own water pump, recently re-plastered, with a new heater. Newer kitchen, bathrooms and master bedroom addition with deck off the master bedroom and living room, new furnace and hot water heater. This house is a must see!	Ranch	1	0	Forced Air, Gas				Burlington High	Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave, Countertop Range, Refrigerator, Freezer, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Deck, Pool - Inground, Cabana, Gutters, Storage Shed, Fenced Yard;Insulation:Full;Electric:220 Volts, Circuit Breakers;Interior Features:Cable Available;Hot Water:Natural Gas;	SF	Tami Ln	3	3	http://media.mlspin.com/photo.aspx?mls=70228595	
