MLSNUM	STATUS	LISTPRICE	SOLDPRICE	LISTDATE	SOLDDATE	EXPIREDDATE	DOM	DTO	ADDRESS	CITY	STATE	ZIP	AREA	BEDS	BATHS	SQFT	AGE	LOTSIZE	AGENTNAME	OFFICENAME	OFFICEPHONE	SHOWINGINSTRUCTIONS	REMARKS	STYLE	LEVEL	GARAGE	HEATING	COOLING	ELEMENTARYSCHOOL	JUNIORHIGHSCHOOL	HIGHSCHOOL	OTHERFEATURES	PROPTYPE	STREETNAME	HOUSENUM1	HOUSENUM2	PHOTOURL	
70180916	SLD	749000	737500	4/27/2005	10/31/2005		149	137	124 Hillcrest Road	Concord	MA	01742		4	2.5	2572	50	33840	Peggy Beresford	ERA Morrison Real Estate	(978) 263-8887	Call ShowingTime at 888-627-2775	Immaculately cared for Garrison Colonial in popular family sidewalked neighborhood. Beautifully decorated 9 rooms with finished lower level plus wonderful glassed 4-season solarium overlooking secluded and sunny heated pool, cabana and small fish pond. Spacious, fireplaced family room off bright, sunny kitchen. H/W floors throughout.Incredible, mature landscaping ..wonderful !!	Colonial, Garrison	1	2	Hot Water Baseboard, Gas		Thoreau		CCRHS	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher;Foundation:Poured Concrete;Construction:Frame, Brick;Exterior:Shingles, Brick;Exterior Features:Porch - Enclosed, Patio, Pool - Inground, Cabana, Storage Shed;Insulation:Full;Electric:Circuit Breakers;Interior Features:Security System, Walk-up Attic;Hot Water:Natural Gas, Tank;	SF	Hillcrest Road	124	124	http://media.mlspin.com/photo.aspx?mls=70180916	
70255716	SLD	1149900	1122500	9/8/2005	11/15/2005		283	40	25 Middle St	Concord	MA	01742		5	2.5	3340	195	8276	Gail Keane	J M Barrett & Co., Inc.	(978) 369-6453	Call List Office, Lock Box, Sign	DRAMATIC PRICE REDUCTION on this signature historic antique combines best of old and new!!  High ceilings, mellow wood floors, authentic paneling, large windows combined with updated kitchen and baths PLUS a great flowing floor plan!!  This home offers an unbeatable in-town location on quiet side street in heart of Concord Center...Immediate occupancy & in move-in condition!!  This home is not to be missed!	Colonial, Antique	1	1	Forced Air, Oil		Alcott	Peabody/Sanborn	CCHS	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Disposal, Washer, Dryer;Foundation:Fieldstone;Construction:Frame;Exterior:Clapboard, Aluminum, Vinyl;Exterior Features:Porch - Enclosed, Storage Shed, Professional Landscaping, Fenced Yard;Insulation:Unknown;Electric:200 Amps;Interior Features:--;Hot Water:--;	SF	Middle St	25	25	http://media.mlspin.com/photo.aspx?mls=70255716	
70254850	SLD	779900	751000	9/7/2005	11/16/2005		34	34	29 Southfield Circle	Concord	MA	01742		3	2	1956	62	17250	Alice Bennet	J M Barrett & Co., Inc.	(978) 369-6453	Call List Office, Lock Box, Go Direct	Heartwarming shingled expanded New England Cape on quiet child-safe street in one of Concord's most sought after neighborhoods. Easy walk to trains, shops, library & 2 parks. Architect designed w/spacious living rm, study & garage; extensive landscaping in front & back yards w/stonework & bluestone terrace in sunny fenced yard. Freshly painted, updated kit & breakfast rm opening to yard,din rm w/fp, 3-bdrms, 2 full baths. PERSONALITY PLUS IN A DYNAMITE LOCATION!	Cape	1	1	Central Heat, Forced Air, Hot Water Radiators, Oil		Willard	Sanborn/Peabody	Con/Carl Reg HS	Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Patio, Gutters, Professional Landscaping, Screens, Fenced Yard;Insulation:Unknown;Electric:Circuit Breakers;Interior Features:--;Hot Water:Oil, Electric, Tankless;	SF	Southfield Circle	29	29	http://media.mlspin.com/photo.aspx?mls=70254850	
70253494	SLD	525000	530000	9/6/2005	11/17/2005		3	3	24 Southfield Road	Concord	MA	01742		2	1	884	57	14811	Brigitte Senkler	Coldwell Banker Residential Brokerage - Concord	(978) 369-1000	Call List Office, Lock Box, Go Direct	Incredible opportunity! Walking distance to Concord Center, library, schools, parks and trains station.  An adorable cape on a .34 acres of level lawn with lots of privacy and potential in sought after Southfield neighborhood.  Sunny living room boasts hardwood floors and fireplace.  A generously sized kitchen leads to a screened in porch.  Unfinished second level offers a multitude of  possibilites.  Freshly painted throughout this is home is awaiting your final touches.	Cape	1	0	Hot Water Baseboard, Hot Water Radiators, Gas		Willard	Peabody/Sanborn	CCHS	Basement:No;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:Range, Dishwasher, Dryer;Foundation:Slab;Construction:Frame;Exterior:Wood;Exterior Features:Porch - Enclosed;Insulation:--;Electric:Circuit Breakers;Interior Features:Walk-up Attic;Hot Water:Natural Gas, Tank;	SF	Southfield Road	24	24	http://media.mlspin.com/photo.aspx?mls=70253494	
70263204	SLD	569900	569900	9/19/2005	11/18/2005		22	22	17 Orchard Rd	Concord	MA	01742		3	2	1500	65	11326	Kevin Mangiaracine	RE/MAX Walden Country, Inc.	(978) 371-9990	Call List Agent, Lock Box, Appointment Required, Sign	This adorable Cape is definitely NOT a drive by. Amazing, wide open first floor. Recently updated kitchen with Maple cabinets and granite counters. Hardwood floors through out. New Master Bath with whirlpool tub. Master Br has cathedral ceiling. A lot of home in what looks like a small package! Detached 1 car garage with lots of additional storage.	Cape	1	1	Hot Water Baseboard, Oil		WILLARD	Sanborn Peabody	CCHS	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Pool - Inground, Storage Shed;Insulation:Unknown;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Oil;	SF	Orchard Rd	17	17	http://media.mlspin.com/photo.aspx?mls=70263204	
70277432	SLD	335000	310000	10/12/2005	11/18/2005		17	5	225 Commonwealth Ave	Concord	MA	01742		2	1	1068	87	6970	Steve Zippin	RE/MAX Walden Country, Inc.	(978) 371-9990	Call List Agent, Lock Box	Great opportunity for sweat equity or for a contractor to add value.  Walk to W. Concord Village, Commuter Rail.  Easy access to major commuter routes.  Being sold in "as is condition".  House has had water in the basement.	Cape, Bungalow	1	1	Steam, Gas					Basement:No;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:--;Foundation:Fieldstone;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Porch;Insulation:Unknown;Electric:--;Interior Features:Walk-up Attic;Hot Water:--;	SF	Commonwealth Ave	225	225	http://media.mlspin.com/photo.aspx?mls=70277432	
70221753	SLD	400000	368000	7/8/2005	11/23/2005		87	87	25 Fox Lane	Concord	MA	01742		4	1.5	1356	56	27959	Joy Bonner	Coldwell Banker Residential Brokerage - Concord	(978) 369-1000	Call List Agent, Lock Box, Appointment Required, Sign	Large level lot.  Cathedral ceiling in living room, dining room and kitchen.  Sliders off dining room to deck.  Hardwood, tile and vinyl floors.  Carport. New 4 bedroom septic.  Being sold "as is".	Raised Ranch	2	1	Forced Air, Oil		Alcott	Concord Middle	CCHS	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles;Exterior Features:Deck;Insulation:Unknown;Electric:Fuses;Interior Features:--;Hot Water:Tankless;	SF	Fox Lane	25	25	http://media.mlspin.com/photo.aspx?mls=70221753	
70236999	SLD	899000	880000	8/4/2005	11/28/2005		99	89	11 BARTKUS FARM	Concord	MA	01742		4	3.5	4049	24	21710	David Divecchia	RE/MAX First Realty, Inc.	(617) 244-4499	Call List Agent, Accompanied Showings, Appointment Required	** $100K UNDER ASSESSMENT!!! $$ MILLON DOLLAR NEIGHBORHOOD!** TOWN'S BEST VALUE! SPACIOUS *10 RM., 4 BDRM. 3.5 BATH CONTEMP. COL. WITH OVER 4,000 sq.ft. of Great LIV. SPACE! THIS HOME FEAT: LIGHT & OPEN FLR. PLAN,3 FP's, CATH. CEIL.,  AND SO MUCH MORE! SITUATED ON  IN A PRIVATE CUL-DE-SAC, STEPS TO ESTABROOK WOODS WALKING TRAILS MAKE THIS PROPERTY TRULY ONE OF THE TOWN'S BEST BUY's! Wont last at this price!	Colonial, Contemporary	1	3	Forced Air, Oil		Thoreau		CCHS	Basement:Yes;Fireplaces:3;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Porch, Deck, Professional Landscaping, Sprinkler System;Insulation:--;Electric:Circuit Breakers, 200 Amps;Interior Features:Central Vacuum, Security System;Hot Water:--;	SF	BARTKUS FARM	11	11	http://media.mlspin.com/photo.aspx?mls=70236999	
70251767	SLD	499000	480000	9/2/2005	11/30/2005		32	32	457 Sudbury Street	Concord	MA	01742		2	1.5	1304	77	9410	Elizabeth Lansac	Prudential Ursula Stephan	(978) 443-7300	Call List Office, Owner	Wonderful Location! Lovely Cape in Village Setting! Formal Living Room and Dining Room! Walking distance to the center. Easy access to route 2. Lovely private back yard. One car garage. Move in condition. Shows very well.	Cape	1	1	Hot Water Baseboard					Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range, Dishwasher;Foundation:Other (See Remarks);Construction:Frame;Exterior:--;Exterior Features:--;Insulation:--;Electric:--;Interior Features:--;Hot Water:Natural Gas;	SF	Sudbury Street	457	457	http://media.mlspin.com/photo.aspx?mls=70251767	
70270575	SLD	469000	400000	9/30/2005	12/1/2005		29	7	94 Dover Street	Concord	MA	01742		3	2	1296	61	13125	Martin Powers	Prudential Prime Properties	(978) 369-4803	Call List Office, Lock Box, Sign	Three bedroom, two bath ranch in White's Pond area.  Oversized living room with fireplace, dining area with built ins and hardwood floors throughout. Screened in porch, one car detached garage on nice corner lot.  Walk to pond, Verrill Farm and Willard Elementary School.  Updated roof and vinyl replacement windows.	Ranch	1	1	Forced Air, Oil		Willard	Sanborn/Peabody	CCHS	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl;Appliances:--;Foundation:Concrete Block;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch - Enclosed;Insulation:Unknown;Electric:Fuses, 100 Amps;Interior Features:Cable Available;Hot Water:Tank;	SF	Dover Street	94	94	http://media.mlspin.com/photo.aspx?mls=70270575	
