MLSNUM	STATUS	LISTPRICE	SOLDPRICE	LISTDATE	SOLDDATE	EXPIREDDATE	DOM	DTO	ADDRESS	CITY	STATE	ZIP	AREA	BEDS	BATHS	SQFT	AGE	LOTSIZE	AGENTNAME	OFFICENAME	OFFICEPHONE	SHOWINGINSTRUCTIONS	REMARKS	STYLE	LEVEL	GARAGE	HEATING	COOLING	ELEMENTARYSCHOOL	JUNIORHIGHSCHOOL	HIGHSCHOOL	OTHERFEATURES	PROPTYPE	STREETNAME	HOUSENUM1	HOUSENUM2	PHOTOURL	
70178206	SLD	169900	143000	4/22/2005	10/28/2005		126	117	10 Edwards Avenue	Westford	MA	01886		1	1	576	91	12225	George Donnellan	Coldwell Banker Residential Brokerage - Westford	(978) 692-2121	Call List Office	Level 12,225 sf lot with seasonal cottage.  Neighborhood of larger year-round homes near Nabnassett Lake. 75 ft frontage by 163 ft deep rectangular lot.  Town Water. Perc and deep hole testing done.	Cottage	1	0	None					Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:Range;Foundation:Poured Concrete, Concrete Block;Construction:Modular;Exterior:Wood;Exterior Features:Porch - Enclosed, Storage Shed;Insulation:Unknown;Electric:Fuses;Interior Features:Cable Available;Hot Water:Electric;	SF	Edwards Avenue	10	10	http://media.mlspin.com/photo.aspx?mls=70178206	
70202367	SLD	589000	597500	6/2/2005	10/28/2005		4	4	23 Tallard Road	Westford	MA	01886		4	2.5	2781	33	56628	Pat Rioux	List For Less, Inc.	(877) 792-8114	Appointment Required, Call ShowingTime at 888-627-2775	Beaut. maintained 4BR 2.5BA colonial on 1.3 private acres in very desirable neighborhood at 23 Tallard Rd. Gorgeous 2-tiered 30' 3-season skylit sunroom   overlooking spacious back yard surrounded by woodlands. New roof, new thermal windows, recently painted. Bay window in LR. Gas log FP in family room w/French doors to sunroom. Kitchen w/breakfast area, new countertops & sliders to sunroom & adjoining mud/laundry/half bath area. Fin.lower level w/fam.rm/playroom. Must see to appreciate!	Colonial	1	2	Central Heat, Gas		Robinson	Blanchard	Westford Acad	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave, Water Treatment;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch - Enclosed, Deck, Gutters, Professional Landscaping, Screens, Fenced Yard;Insulation:Full, Fiberglass, Blown In;Electric:110 Volts, Circuit Breakers, 200 Amps;Interior Features:Central Vacuum, Security System, Cable Available, Walk-up Attic;Hot Water:Natural Gas, Tank;	SF	Tallard Road	23	23	http://media.mlspin.com/photo.aspx?mls=70202367	
70217063	SLD	519900	525500	6/28/2005	10/28/2005		2	2	24 Elm Rd	Westford	MA	01886		3	2.5	1876	10	20038	Paul Dunton	ERA Morrison Real Estate	(978) 614-1600	Sign, Call ShowingTime at 888-627-2775	New colonial to be built featuring hardwood floors, central a/c, master bedroom with walk in closet and master bath, walk up attic, 2 car attached garage.  Walking distance to beach.  New Home will be facing Hemlock Street, in the middle of the lot.	Colonial	1	2	Forced Air, Gas		Nab/Abbott	Stony Brook	Wesford Academy	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck;Insulation:Full;Electric:220 Volts, 200 Amps;Interior Features:Walk-up Attic;Hot Water:Natural Gas;	SF	Elm Rd	24	24	http://media.mlspin.com/photo.aspx?mls=70217063	
70220484	SLD	370000	365000	7/6/2005	10/28/2005		85	76	239 Concord Road	Westford	MA	01886		3	1	1454	57	30143.52	Leslie Thomas	Coldwell Banker Residential Brokerage - Westford	(978) 692-2121	Call List Office, Lock Box, Appointment Required, Sign	New roof being installed in August. This beautifully maintained Westford home is conveniently located!!!  Features include HW floors, new full bath w/C/T & 5' soaking tub/shower, Cath sunroom w/skylight & slider to deck, eat in kitchen w/pantry & sliders to a screened porch, fp'd LR, 3BR, LL playroom and 1 car attached garage. The lovely yard and close neighborhood proximity add to this homes' appeal !!!	Ranch	1	1	Hot Water Baseboard, Oil		Robinson/crist	Blanchard	Academy	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Wall Oven, Dishwasher, Countertop Range, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Porch - Enclosed, Deck, Storage Shed;Insulation:--;Electric:Circuit Breakers, 100 Amps;Interior Features:Cable Available;Hot Water:Tank;	SF	Concord Road	239	239	http://media.mlspin.com/photo.aspx?mls=70220484	
70239989	SLD	519000	515000	8/11/2005	10/28/2005		61	61	14 Boutwell Hill Rd	Westford	MA	01886		3	2.5	2176	29	23087	Joyce Murphy	RE/MAX Walden Country, Inc.	(781) 861-7300	Lock Box, Appointment Required, Sign, Call ShowingTime at 888-627-2775	Mint condtion Colonial in established neighborhood Cul-De-Sac. Set on landscaped level lot & framed with charming perennial gardens & brick walk. Enjoy all the updates, freshly painted inside and out, replacement windows & new roof. Lot abuts wooded common land.Title V certificate in hand. Easy to show	Colonial	1	2	Hot Water Baseboard, Oil				Wesford Academy	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Shingles, Wood;Exterior Features:Storage Shed, Professional Landscaping, Sprinkler System, Fenced Yard;Insulation:Full, Fiberglass, Blown In;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available;Hot Water:Oil, Tank;	SF	Boutwell Hill Rd	14	14	http://media.mlspin.com/photo.aspx?mls=70239989	
70226839	SLD	489900	472500	7/18/2005	11/1/2005		88	38	59 Main Street	Westford	MA	01886		3	1	2124	165	13068	Jorge Oslan	Sterling Stone R. E., Inc.	(978) 250-3900	Call List Office, Lock Box	Charming 1850 Colonial located in Westford Center. Enjoy the wrap around porch/walk to town common, library.Many fine period features including leaded glass, 5 fireplaces, built-ins.Lg. eat-in kitchen, tastefully decorated formal dining & living rm, ea. w/period fireplaces, study w/walk-out bay, family rm.w/fireplace & new w/w. 3 br, 2 w/fireplaces. Updates include refinished wood floors, ceilings, paint, wall paper, tile, carpet, newer roof & ext. paint. Well maintained period barn 2+cars.	Colonial	1	3	Central Heat, Forced Air, Hot Water Radiators		Nabnasset	Abbot	Stoneybrook	Basement:Yes;Fireplaces:5;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range;Foundation:Concrete Block, Fieldstone;Construction:--;Exterior:Clapboard;Exterior Features:Porch, Barn/Stable;Insulation:--;Electric:Circuit Breakers;Interior Features:Cable Available, Walk-up Attic;Hot Water:Tankless;	SF	Main Street	59	59	http://media.mlspin.com/photo.aspx?mls=70226839	
70136496	SLD	339900	337500	1/19/2005	11/4/2005		233	209	8 Wilson Lane	Westford	MA	01886		3	1	1326	65	10715	Paula Kowalczik	William Raveis R.E. & Home Services	(978) 692-1168	Call List Office, Lock Box, Appointment Required, Sign	Affordable Home & Desirable Westford schools!Spend the summer at the lake! Waterviews and beach access!! Completely remodeled!  New roof, new vinyl siding, and all new windows and doors.  New interior w/Fabulous kitchen w/stainless steel appliances and cherry stained maple cabinets. Lovely Eat-in Dining. Open floor plan for easy living. Third bedroom on 2nd floor offers great living space for the expanding family.Fireplaced Living room! Seller to help w/closing costs!!	Ranch	1	0	Hot Water Baseboard, Oil		Nabnasset/Abbot	Stony Brook	Academy	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wall to Wall Carpet;Appliances:Range, Dishwasher, Refrigerator;Foundation:Concrete Block;Construction:Frame;Exterior:Vinyl;Exterior Features:Storage Shed;Insulation:Unknown;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Electric;	SF	Wilson Lane	8	8	http://media.mlspin.com/photo.aspx?mls=70136496	
70204758	SLD	269900	260000	6/7/2005	11/4/2005		44	44	8 Boston Road	Westford	MA	01886		1	1	360	67	18476	Joan Morrison	RE/MAX Prestige	(978) 692-9292	Call List Office, Lock Box, Sign	This cozy three room doll house includes a full basement, 1 car garage and is set on an estate like setting in Westford Center.	Ranch	1	1	Hot Water Baseboard, Gas					Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Vinyl, Wall to Wall Carpet;Appliances:Range, Refrigerator;Foundation:Concrete Block;Construction:Frame;Exterior:Vinyl;Exterior Features:--;Insulation:Unknown;Electric:--;Interior Features:--;Hot Water:Natural Gas;	SF	Boston Road	8	8	http://media.mlspin.com/photo.aspx?mls=70204758	
70261082	SLD	649900	634300	9/16/2005	11/14/2005		3	3	39 Village View Rd.	Westford	MA	01886		4	2.5	3746	28	24394	Robert Weisenbloom	ERA Morrison Real Estate	(978) 392-9119	Lock Box, Call ShowingTime at 888-627-2775	A rare opportunity to own this 4 bedroom home in a beautiful sought after neighborhood. Huge fireplaced family room,sunroom, bonus study and central air! Amazing flower gardens, hot tub, large game room and workshop in the finished basement.  New septic system.  Newer roof, sun-room and remodeled basement.  Common area in the back and front of property.  Easy to show	Garrison	1	2	Hot Water Baseboard, Gas		Stony Brook,Day	Blanchard	Westford Aca.	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch - Enclosed, Deck, Hot Tub/Spa, Sprinkler System;Insulation:Full;Electric:--;Interior Features:--;Hot Water:Natural Gas;	SF	Village View Rd.	39	39	http://media.mlspin.com/photo.aspx?mls=70261082	
70233521	SLD	389900	387000	7/29/2005	11/15/2005		19	10	14 Jefferson Rd	Westford	MA	01886		3	1.5	1437	43	42253	Westford Team - Patrice & Beth	William Raveis R.E. & Home Services	(978) 692-1168	Call List Office, Lock Box, Appointment Required	Sunny & inviting, this three-bedroom split level home is located in lovely neighborhood near Carlisle line. Recent improvements include refinished hardwood floors, new vinyl windows, kitchen appliances, hot water heater & well pump. Three generous sized bedrooms plus additional room in lower level which could be used as guest room. Family room w/fireplace. Available for quick close if desired. Title V approved.	Split Entry	2	1	Forced Air, Gas		Rob./Crisafulli	Blanchard	Westfrd Academy	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck, Pool - Inground, Storage Shed;Insulation:Full;Electric:--;Interior Features:Cable Available, Whole House Fan;Hot Water:Natural Gas;	SF	Jefferson Rd	14	14	http://media.mlspin.com/photo.aspx?mls=70233521	
