MLSNUM	STATUS	LISTPRICE	SOLDPRICE	LISTDATE	SOLDDATE	EXPIREDDATE	DOM	DTO	ADDRESS	CITY	STATE	ZIP	AREA	BEDS	BATHS	SQFT	AGE	LOTSIZE	AGENTNAME	OFFICENAME	OFFICEPHONE	SHOWINGINSTRUCTIONS	REMARKS	STYLE	LEVEL	GARAGE	HEATING	COOLING	ELEMENTARYSCHOOL	JUNIORHIGHSCHOOL	HIGHSCHOOL	OTHERFEATURES	PROPTYPE	STREETNAME	HOUSENUM1	HOUSENUM2	PHOTOURL	
70241819	SLD	425000	405000	8/12/2005	10/28/2005		34	34	6 Winter Road	Woburn	MA	01801		3	1	1052	60	10500	Albert Earle	CENTURY 21 Crowley	(781) 933-0005	Call List Office, Lock Box, Sign	Pride of ownership is reflected throughout this beautifully maintained eight   room, three bedroom ranch.  Home features fireplaced living room w/builtins   and bay window, three season sun-porch, formal dining room and hardwood floors under wall to wall.  Lower level   family room not included in GLA.  Landscaped lot.  Two car garage.  A must see!!	Ranch	1	2	Hot Water Baseboard, Oil					Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:Range, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl, Brick;Exterior Features:Porch - Enclosed, Storage Shed, Professional Landscaping;Insulation:Fiberglass;Electric:Circuit Breakers, 100 Amps;Interior Features:--;Hot Water:--;	SF	Winter Road	6	6	http://media.mlspin.com/photo.aspx?mls=70241819	
70253112	SLD	395000	389500	9/6/2005	10/28/2005		23	6	18 Samoset Rd	Woburn	MA	01801		3	2	1162	58	16133	Lisa Luther	Realty World Advantage	(978) 667-1848	Call List Office, Appointment Required	Location! Location! 3 - 4 bedroom Ranch in great west side area. Cozy family room off kitchen. Spacious living room with fireplace.  Hardwood floors throughout. Wall was taken down to make large master bedroom, can be put back easily to make an extra bedroom, 11.5 x 8 and 11.5 x 11.6.  Lower level includes partial kitchen, full bath and 3 extra rooms.  Beautiful level back yard.	Ranch	1	0	Hot Water Baseboard, Oil		Reese	Joyce	Woburn	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:Dishwasher, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:--;Insulation:--;Electric:Circuit Breakers;Interior Features:--;Hot Water:Tankless;	SF	Samoset Rd	18	18	http://media.mlspin.com/photo.aspx?mls=70253112	
70241355	SLD	575000	575000	8/12/2005	10/31/2005		7	6	14 Highland Ave	Woburn	MA	01801		4	2	3923	125	21780	Eileen Doherty	CENTURY 21 Crowley	(781) 933-0005	Call List Office, Key in Office, Appointment Required, Sign	Magnificent Victorian boasting 10 1/2 ft. ceilings, fireplaces, front  vestibule with grand foyer & staircase. Double doors leading to 2 parlors on either side of foyer. French doors lead from front parlor to rear parlor. Rear staircase, 2 kitchens, walk in pantry, bedrooms w/passageways, 2 enclosed porches, walk up 3rd floor with huge 55 foot room plus 2 addtional bedrooms (unheated).  Mammoth 6 car barn w/2nd flr loft (needs work).   A little TLC will make this a truly one of a kind home!	Victorian	1	6	Oil		Shamrock	Joyce	WMHS	Basement:Yes;Fireplaces:3;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl, Wall to Wall Carpet;Appliances:Range;Foundation:Fieldstone, Brick;Construction:Frame;Exterior:Aluminum;Exterior Features:Porch - Enclosed, Barn/Stable;Insulation:Unknown;Electric:Fuses;Interior Features:Walk-up Attic;Hot Water:--;	SF	Highland Ave	14	14	http://media.mlspin.com/photo.aspx?mls=70241355	
70244670	SLD	319900	317500	8/19/2005	10/31/2005		183	35	19 Chestnut St	Woburn	MA	01801		4	2	1880	165	2970	Susanne Alexander	Prudential Preferred Realty	(781) 933-7200	Call List Office	SINGLE FAMILY HOME WITH INLAW SUITE ON SECOND FLOOR. GREAT LOCATION NEAR PUBLIC TRANSPORTATION AND WALKING DISTANCE TO PARK,LIBRARY AND TOWN AMENTITIES.	Colonial	1	0	Forced Air, Gas					Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Vinyl, Wall to Wall Carpet;Appliances:Dishwasher;Foundation:Fieldstone;Construction:Frame;Exterior:Shingles;Exterior Features:--;Insulation:--;Electric:Circuit Breakers, 200 Amps;Interior Features:--;Hot Water:Natural Gas;	SF	Chestnut St	19	19	http://media.mlspin.com/photo.aspx?mls=70244670	
70174246	SLD	199000	155000	4/15/2005	11/4/2005		141	130	3 Converse Place	Woburn	MA	01801		2	1	975	135	2900	Linda Covino	Realty Executives Northeast	(978) 657-7010	Call List Office, Call List Agent, Lock Box, Appointment Required	Contractors Special.  Home is on septic, needs to be hooked up to town sewer.  Home will be sold AS IS.  Walk to town center.	Cape	1	0	Forced Air, Gas					Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:--;Foundation:Fieldstone, Brick;Construction:Frame;Exterior:--;Exterior Features:--;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;	SF	Converse Place	3	3	http://media.mlspin.com/photo.aspx?mls=70174246	
70242023	SLD	459900	440000	8/12/2005	11/4/2005		35	34	30 Day Circle	Woburn	MA	01801		3	2	0	63	12400	Eileen Doherty	CENTURY 21 Crowley	(781) 933-0005	Call List Office, Appointment Required, Sign	West Woburn!!   Very deceiving, remodeled & expanded ranch in family neighborhd. Large livingrm w/glm hwd flrs & gas fireplace opens to updated kitch w/breakfast bar, vaulted ceilings, c.t. flr, bay window w/window seat, sliders to mahogany deck, decortv leaded glass cabinet, ct backsplash, rec. lites, all verlooking private back yard. 1st flr MBR addition, w/w & sliders deck.  Lower level offers kit, livrm, & 1/2 bdrms. w/ sept entry. Profes. manicured grounds, sprinkler  pool w/separate deck	Ranch	1	1	Forced Air, Oil		Reeves	Joyce	WMHS	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:Range, Dishwasher, Compactor, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Aluminum;Exterior Features:Deck, Patio;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;	SF	Day Circle	30	30	http://media.mlspin.com/photo.aspx?mls=70242023	
70247017	SLD	629000	620000	8/23/2005	11/4/2005		30	22	7 Washington Avenue	Woburn	MA	01801		4	2.5	2208	15	9735	Deborah Fogarty	Carlson GMAC Real Estate	(781) 861-8100	Call List Agent, Lock Box, Appointment Required, Sign	On the Winchester line, near Leland Park ! Tastefully decorated in todays colors, a wonderful 5 year old Colonial, 8 rooms, 4 Bedrooms, 2 1/2 baths large family room, with a 2 car garage, set on a professionally landscaped lot. This home is in a commuters dream location, 15 minutes to Boston. Upgrades include granite in kitchen and baths, security system, sprinkler system, central vac, C/A and an oversized mahogany deck and surround sound in family room. (Ignore Mapquest which is wrong)	Colonial	1	2	Central Heat, Oil				Woburn	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Deck, Professional Landscaping, Sprinkler System;Insulation:Full;Electric:200 Amps;Interior Features:Central Vacuum, Security System, Cable Available;Hot Water:Oil;	SF	Washington Avenue	7	7	http://media.mlspin.com/photo.aspx?mls=70247017	
70250482	SLD	429900	395000	8/31/2005	11/7/2005		51	51	58 Water St	Woburn	MA	01801		3	2	1380	125	7410	Gabrielle Hersee	Prudential Preferred Realty	(781) 933-7200	Call List Office, Lock Box, Go Direct, Appointment Required, Sign	3/4 BEDROOM,2 FULL BATH, older COLONIAL, w/Lg. EAT IN TILED KITCHEN, VINYL SIDED, HW, TILE, RUG flooring. NEW first floor BATH with TILE flooring. SUNROOM which backs up to HORN POND. Home has a lot of POTENTIAL, but NEEDS UPDATING.	Colonial	1	0	Hot Water Radiators, Oil					Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Wall Oven, Disposal;Foundation:Concrete Block, Fieldstone;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch - Enclosed, Deck, Storage Shed;Insulation:Unknown;Electric:100 Amps;Interior Features:Cable Available;Hot Water:Oil;	SF	Water St	58	58	http://media.mlspin.com/photo.aspx?mls=70250482	
70221206	SLD	549900	518000	7/6/2005	11/12/2005		117	117	72 Arlington Road	Woburn	MA	01801		4	2.5	3422	60	10000	Pam Dooley	Prudential Preferred Realty	(781) 933-7200	Call List Office	Custom built embankment ranch by original owners near Horn Pond.  Very well maintained 4 bedroom 2.5 baths, spacious bedroom, master bath finished lower level with kitchenette, bathroom, bedroom and fireplaced family room.  The formal living and dining have beautiful builtin bookcases and hutch. This home features a beautiful manicured lot with brick patio, 1 car garage, hardwwood floors, large eatin kitchen and 1st floor laundry. Enjoy 1st floor living pleasure to show	Raised Ranch	1	1	Hot Water Baseboard		Shamrock			Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame, Brick;Exterior:Vinyl, Brick;Exterior Features:Patio;Insulation:Full;Electric:Fuses;Interior Features:--;Hot Water:Oil;	SF	Arlington Road	72	72	http://media.mlspin.com/photo.aspx?mls=70221206	
70245257	SLD	324900	319900	8/21/2005	11/15/2005		75	75	10 emeline	Woburn	MA	01801		2	1	1008	63	9000	Eleanor McComiskey	Prudential Preferred Realty	(781) 933-7200	Call List Office	Ranch features 2/3 bedrooms, vinyl siding, replacement windows, hardwood floors. Lower level studded and ready to finish. Great starter home w/ Fenced level yard    " Seller will credit buyer $2,500 towards closing cost" Walking distance to schools	Ranch	1	0	Hot Water Baseboard, Oil					Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Fenced Yard;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;	SF	emeline	10	10	http://media.mlspin.com/photo.aspx?mls=70245257	
