MLSNUM	STATUS	LISTPRICE	SOLDPRICE	LISTDATE	SOLDDATE	EXPIREDDATE	DOM	DTO	ADDRESS	CITY	STATE	ZIP	AREA	BEDS	BATHS	SQFT	AGE	LOTSIZE	AGENTNAME	OFFICENAME	OFFICEPHONE	SHOWINGINSTRUCTIONS	REMARKS	STYLE	LEVEL	GARAGE	HEATING	COOLING	ELEMENTARYSCHOOL	JUNIORHIGHSCHOOL	HIGHSCHOOL	OTHERFEATURES	PROPTYPE	STREETNAME	HOUSENUM1	HOUSENUM2	PHOTOURL	
70207051	SLD	519900	490000	6/10/2005	9/19/2005		86	86	19 Beal Rd	Waltham	MA	02453		4	2	1826	95	4792	Constance Corbett	RE/MAX First Realty, Inc.	(617) 244-4499	Call List Agent, Appointment Required	Vintage Dutch Colonial  beautifully appointed throughout with yesteryear's charm. Front to back living room boasting beautiful gum wood moldings, fireplace and french doors.  Formal dining room w/gumwood wainscoting. Modern kitchen. Adjoining family room w/skylite and bay window. 4 corner bedrooms.  Inviting farmers front porch adds the right touch of nostalgia to this Warrendale home set on a tree lined st. Walk to schools playground and public transporation.	Colonial, Gambrel /Dutch	1	0	Electric Baseboard, Steam, Gas		Fitzgerald	McDevitt	Waltham	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal;Foundation:Concrete Block;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Porch, Deck, Storage Shed, Screens;Insulation:Full, Fiberglass, Other (See Remarks);Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Natural Gas, Tankless;	SF	Beal Rd	19	19	http://media.mlspin.com/photo.aspx?mls=70207051	
70221723	SLD	649900	650000	7/7/2005	9/20/2005		46	46	91 Stone Rd	Waltham	MA	02453		4	2.5	2000	68	5663	Mary Kathryn Quinn	RE/MAX First Realty, Inc.	(617) 244-4499	Call List Office, Lock Box, Go Direct, Sign	Warrendale location! Come view this immaculate, completely renovated 4 bedroom, 2.5 bath Garrison Colonial.  Many features include gleaming hardwood floors, central A/C, granite/maple eat-in kitchen with stainless steel appliances, recessed lighting & french door lending to covered porch, first floor laundry and family rm, formal dining rm, fireplaced living rm, a master bedroom suite including walk-in closet, recessed lighting and jacuzzi bath. This home also features a one car garage.	Colonial	1	1	Forced Air, Gas					Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator;Foundation:Poured Concrete;Construction:--;Exterior:Vinyl;Exterior Features:Porch, Professional Landscaping;Insulation:--;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available, Walk-up Attic;Hot Water:Natural Gas;	SF	Stone Rd	91	91	http://media.mlspin.com/photo.aspx?mls=70221723	
70211225	SLD	354900	345000	6/17/2005	9/21/2005		53	53	1 Bellevue Place	Waltham	MA	02453		3	1.5	1300	115	2614	Linda O Dette	Century 21 Gelineau & Assoc.	(781) 894-4020	Call List Agent, Lock Box	Large home with alot of charm, private street only three houses.  House has a large rear yard, ready for a family, screened in rear porch. Newer kitchen with a good amount of cabinets.  LOCK BOX ATTACHED TO CHAIN LINK FENCE, ON LEFT SIDE OF THE FRONT PROPERTY.  PLEASE DO NOT LET THE CAT OUT.	Colonial	1	0	Steam, Gas		fitch	south	whs	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave;Foundation:Fieldstone;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Porch - Enclosed, Gutters, Storage Shed, Fenced Yard, Other (See Remarks);Insulation:None;Electric:60 Amps/Less;Interior Features:--;Hot Water:Natural Gas;	SF	Bellevue Place	1	1	http://media.mlspin.com/photo.aspx?mls=70211225	
70217350	SLD	419900	405000	6/28/2005	9/21/2005		55	55	202 Totten Pond Road	Waltham	MA	02452		2	1	1232	47	17424	Paul Sullivan	RE/MAX First Realty, Inc.	(617) 244-4499	Call List Agent, Accompanied Showings	FRESHLY PAINTED CUSTOM BUILT RANCH,ORIGINAL OWNER,ONE FLOOR LIVING,BEAUTIFUL HARDWOOD FLOORS THROUGHOUT,ENTERTAIN YOUR GUESTS IN THIS LARGE LIVINGROOM WITH FIREPLACE OVERLOOKING LARGE PRIVATE BACKYARD,FORMAL DININGROOM, NEWLY LANDSCAPED YARD, PLENTY OF PARKING,WALK TO PARK AND WALKING TRAILS.CLOSE TO MAJOR HIGHWAYS,PUBLIC TRANSPORTATION AND MINUTES TO BOSTON. WELCOME HOME.	Ranch	1	0	Hot Water Baseboard, Oil					Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:Range, Disposal;Foundation:Poured Concrete, Concrete Block;Construction:Frame;Exterior:Brick;Exterior Features:Deck, Patio, Screens;Insulation:Full;Electric:Circuit Breakers, 100 Amps;Interior Features:Cable Available;Hot Water:Oil;	SF	Totten Pond Road	202	202	http://media.mlspin.com/photo.aspx?mls=70217350	
70223425	SLD	275900	270000	7/11/2005	9/21/2005		2	2	35 Hillcrest St,	Waltham	MA	02154		1	1	464	85	3049	Paula Carey	Carey Real Estate	(781) 255-5755	Call List Office	Perfect for One, Cozy Bungalow cottage, off beaten path, but close to major highway. No condo fees. Private wooded yard.	Bungalow	1	0	Forced Air					Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles;Exterior Features:--;Insulation:Full;Electric:Circuit Breakers;Interior Features:--;Hot Water:--;	SF	Hillcrest St,	35	35	http://media.mlspin.com/photo.aspx?mls=70223425	
70236497	SLD	499900	499900	8/3/2005	9/23/2005		37	8	42 Cleveland Rd	Waltham	MA	02453		4	2.5	1584	68	6970	Sue Walsh	Colonial Real Estate of	(781) 891-4411	Call List Agent	Location !!! Location !!! Location !!! Much sought after Warrendale neighborhood boasts this immaculate 4 bedroom, 2 1/2 bath Cape. Close to shopping and public transportation.	Cape	1	1	Forced Air, Gas		FitzGerald	McDevitt	Waltham HS	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:Range, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck;Insulation:Blown In;Electric:110 Volts, Circuit Breakers, 100 Amps;Interior Features:--;Hot Water:Natural Gas;	SF	Cleveland Rd	42	42	http://media.mlspin.com/photo.aspx?mls=70236497	
70176397	SLD	385000	380000	4/19/2005	9/26/2005		151	107	43 Plant Rd.	Waltham	MA	02451		3	1.5	1400	14	6730	Donna Greene	D. M. Greene Realty	(781) 895-1137	Call List Office, Call List Agent, Lock Box, Sign	N.Waltham newer construction lovely 3 bedroom Colonial 2nd floor laundry central air beauiful hardwood floors 2 car carport rustic setting dead end street	Colonial	1	0	Forced Air, Gas		Mac Arthur	Kennedy	Waltham	Basement:No;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Range, Dishwasher;Foundation:Slab;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck, Gutters, Screens;Insulation:Full;Electric:110 Volts, Circuit Breakers, 100 Amps;Interior Features:Cable Available, Walk-up Attic;Hot Water:Natural Gas;	SF	Plant Rd.	43	43	http://media.mlspin.com/photo.aspx?mls=70176397	
70201078	SLD	479900	456500	6/1/2005	9/26/2005		53	53	71 Lake Street	Waltham	MA	02451		3	1.5	2560	60	17424	Hans Brings	Coldwell Banker Residential Brokerage - Waltham	(781) 893-0808	Call List Office, Lock Box, Appointment Required	Your private oasis awaits you in this spectacular Multi-level home ideally situated on a huge 1/3 acre lot away from the street near the woods. Your home features a fireplaced living room open to formal dining room, new 2002 modern kitchen w/stainless steel appliances and tile floors, sliders to rear stone patio and large fenced yard, lower level family room and fireplaced recreation room, new 2003 roof, whole house fan, newer systems, and 1 car garage!	Multi-Level	1	1	Hot Water Baseboard, Gas		MacAarthur		Waltham High	Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet, Concrete;Appliances:Range, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles;Exterior Features:Patio, Fenced Yard;Insulation:--;Electric:Circuit Breakers, 100 Amps;Interior Features:Security System, Cable Available;Hot Water:Tankless;	SF	Lake Street	71	71	http://media.mlspin.com/photo.aspx?mls=70201078	
70232077	SLD	449000	444000	7/27/2005	9/26/2005		13	5	123 Bright Street	Waltham	MA	02453		3	1	1781	90	4792	Maria McDermott	Century 21 Adams Realty	(617) 489-6900	Call ShowingTime at 888-627-2775	Lovely side entrance Colonial with enclosed front porch. Features hardwood floors throughout, formal dining room with built in china cabinet. French doors lead from foyer into living room. Gumwood trim & detailing add charm & character. 3 bedrooms off spacious 2nd floor foyer. Semi finished basement. Newer vinyl siding & gutters. Nice level yard. Convenient to public transportation, shops and playground.	Colonial	1	0	Steam, Gas		Bright	McDevitt	High	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:Range, Dishwasher, Refrigerator;Foundation:Concrete Block;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch - Enclosed, Fenced Yard;Insulation:--;Electric:Circuit Breakers, 100 Amps;Interior Features:--;Hot Water:Natural Gas;	SF	Bright Street	123	123	http://media.mlspin.com/photo.aspx?mls=70232077	
70211267	SLD	429500	408000	6/17/2005	9/27/2005		56	56	147 Riverview Ave	Waltham	MA	02453		3	1	1295	85	4792	Patrick Murphy	Coldwell Banker Residential Brokerage - Belmont	(617) 484-5300	Call List Agent	Overlooking the beauty of the Charles River-Purgatory Cove, this six room Colonial built in 1930, has high ceilinga and a charming foyer with French doors that lead to the living room and dining room, separated by columns and leaded glass bookcases. In addtion to the just refinished floors and several new ceilings, the house has been updated during the past four years with a new roof, replacement windows, vinyl siding, heat and new steps.	Colonial	1	0	Steam, Gas		Stanley	McDevitt	Waltham	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Gutters;Insulation:Partial;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Natural Gas;	SF	Riverview Ave	147	147	http://media.mlspin.com/photo.aspx?mls=70211267	
