MLSNUM	STATUS	LISTPRICE	SOLDPRICE	LISTDATE	SOLDDATE	EXPIREDDATE	DOM	DTO	ADDRESS	CITY	STATE	ZIP	AREA	BEDS	BATHS	SQFT	AGE	LOTSIZE	AGENTNAME	OFFICENAME	OFFICEPHONE	SHOWINGINSTRUCTIONS	REMARKS	STYLE	LEVEL	GARAGE	HEATING	COOLING	ELEMENTARYSCHOOL	JUNIORHIGHSCHOOL	HIGHSCHOOL	OTHERFEATURES	PROPTYPE	STREETNAME	HOUSENUM1	HOUSENUM2	PHOTOURL	
70074360	SLD	1289000	1225000	8/9/2004	9/20/2005		180	179	8 Norwood	Winchester	MA	01890		6	3.5	3371	120	11064	Mary Price	Carlson GMAC Real Estate	(781) 729-7000	Call List Office, Lock Box, Sign	Beautiful timed flowering gardens surround this stunning turn-of-the-century Victorian. Leaded glass entry leads to the gracious size foyer. Lovingly maintained & updated, this property offers a rare tiled fireplaced LR & large DR. Newer granite top eat-in kitchen w/adjoining bookcased familyrm. Fireplaced MBR w/attached bath & private office. Spacious 3rd flr w/updated bath. Desirable in-town location.	Victorian	1	2	Hot Water Radiators					Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Dishwasher, Disposal, Microwave, Countertop Range, Refrigerator, Washer, Dryer;Foundation:Fieldstone;Construction:Frame;Exterior:Shingles;Exterior Features:Patio, Professional Landscaping;Insulation:--;Electric:--;Interior Features:Wetbar;Hot Water:Natural Gas;	SF	Norwood	8	8	http://media.mlspin.com/photo.aspx?mls=70074360	
70081353	SLD	699900	699900	8/25/2004	9/29/2005		254	254	239 Mystic Valley Parkway	Winchester	MA	01890		3	1.5	2724	93	12580	Lorraine Malloy	Realty World Advantage	(978) 667-1848	Call List Office, Call List Agent, Accompanied Showings, Appointment Required, Sign	Ctr. Ent. Dutch Colonial with spacious rooms with high ceilings,wood trim & HW flrs.throughout the house; gas conversion alternative!  This wonderful home has expansion potential with a walk up attic,security system, heated driveway and the opportunity to customize the kitchen reflecting your own personality!  On a large fenced in lot which could access to Greeley Rd., across from the Fells,walk to Ctr,Lincoln School & quick access to Boston! Detached 2 Car Garage. HOME WARRANTY PROTECTION PLAN	Colonial, Gambrel /Dutch	1	2	Hot Water Radiators, Oil		Lincoln	McCall	Winchester	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:Range, Refrigerator;Foundation:Concrete Block;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Porch, Porch - Enclosed, Patio, Balcony, Gutters, Professional Landscaping, Fenced Yard, Other (See Remarks);Insulation:Full;Electric:220 Volts, Circuit Breakers, 200 Amps;Interior Features:Security System, Cable Available, Walk-up Attic, Other (See Remarks);Hot Water:Natural Gas;	SF	Mystic Valley Parkway	239	239	http://media.mlspin.com/photo.aspx?mls=70081353	
70180662	SLD	799000	750000	4/27/2005	9/29/2005		62	42	212 Main St	Winchester	MA	01890		5	2.5	3512	212	13103	Patricia Sweeney	Coldwell Banker Residential Brokerage - Winchester	(781) 729-7290	Call List Office, Lock Box, Key in Office, Appointment Required	This stately Federal-style home is the Deacon John Symmes house, which appears on the National Register of Historic Places (registration does not restrict alterations unless made with public funds). Although the home has been updated significantly over the years, it requires substantial restoration.	Colonial	1	2	Central Heat, Forced Air, Steam, Gas					Basement:Yes;Fireplaces:7;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet, Other (See Remarks);Appliances:--;Foundation:Fieldstone;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Porch - Enclosed, Patio;Insulation:--;Electric:Circuit Breakers, 100 Amps;Interior Features:--;Hot Water:--;	SF	Main St	212	212	http://media.mlspin.com/photo.aspx?mls=70180662	
70186808	SLD	1975000	1806000	5/6/2005	9/29/2005		137	137	30 Arlington Street	Winchester	MA	01890		5	4.5	4981	80	38110	Elizabeth Frattasio	EAI Marketing Corporation	(508) 732-0017	Call List Agent, Accompanied Showings	Charming Arts and Crafts style home sits on exceptional lot at Winchester CC's Hole #1. Newly updated throughout with maple cabinetry/granite/stainless, 1st floor laundry/pantry,inviting master suite (marble bath,separate dressing room,custom closets.)Fireplaces and gleaming hardwood floors abound. Media Room, bluestone patio and massive mahogany deck are perfect for entertaining! Custom details and original character combined with unparalleled privacy make this house an unexpected treasure!	Other (See Remarks)	1	2	Forced Air, Humidifier, Gas		Ambrose	McCall	Winchester	Basement:Yes;Fireplaces:5;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Wall Oven, Dishwasher, Disposal, Countertop Range, Refrigerator, Water Treatment;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Porch, Deck, Patio, Gutters, Professional Landscaping;Insulation:Full, Mixed;Electric:110 Volts, Circuit Breakers, 200 Amps;Interior Features:Cable Available;Hot Water:Natural Gas, Tank;	SF	Arlington Street	30	30	http://media.mlspin.com/photo.aspx?mls=70186808	
70225867	SLD	799000	787000	7/15/2005	9/29/2005		43	4	1 Arbor Ln	Winchester	MA	01890		4	3.5	3633	14	8838	Peggy Otis	Coldwell Banker Residential Brokerage - Winchester	(781) 729-7290	Call List Office, Lock Box, Sign	New England Farmhouse built in 2001. Voice data throughout. Open kitchen family room with cathedral ceiling and gas fireplace. Lower level great for office or aupair. Elevator. Low maintenance inside and out.  Fantastic views of sunsets from decks.  This home has it all even an elevator that services all three floors.	Farmhouse	1	2	Forced Air		Lynch	McCall	Winchester High	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Wall Oven, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Patio, Balcony, Professional Landscaping, Fenced Yard;Insulation:Full;Electric:--;Interior Features:Security System, Cable Available, Intercom;Hot Water:Natural Gas;	SF	Arbor Ln	1	1	http://media.mlspin.com/photo.aspx?mls=70225867	
70247152	SLD	1299900	1255000	8/24/2005	9/29/2005		90	5	15 Wickham Road	Winchester	MA	01890		4	3.5	4207	48	11748	Mary Errico	Carlson GMAC Real Estate	(781) 729-7000	Call List Office, Lock Box, Key in Office, Appointment Required, Sign	New Construction,(original foundation) beautiful 10 room center entrance colonial. Open & spacious with 4/5 bdrms,3.5 Bths skylights, catherdral ceilings, crown moldings, built-ins, 4 Frpl including MB. Cherry kitchen w/granite & stainless, built-ins,HW floors throughout,heated garage,HD wired for TV sur/snd,internet,state of the art hydro-air heating system, etc. Au-pair potential. A truly distinctive home in the Briarwood area, and the new Ambrose School	Colonial	1	2	Central Heat, Forced Air, Hot Water Baseboard, Gas		Ambrose	McCall	Winchester	Basement:Yes;Fireplaces:4;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Wall Oven, Dishwasher, Disposal, Microwave, Countertop Range;Foundation:Poured Concrete, Concrete Block;Construction:Frame;Exterior:Clapboard;Exterior Features:Deck, Gutters, Sprinkler System, Screens;Insulation:Full;Electric:Circuit Breakers, 200 Amps;Interior Features:Central Vacuum, Security System, Cable Available;Hot Water:Natural Gas, Tank;	SF	Wickham Road	15	15	http://media.mlspin.com/photo.aspx?mls=70247152	
70254688	SLD	799000	815000	9/7/2005	9/29/2005		3	3	87 Lawson Rd	Winchester	MA	01890		3	2	2132	65	14057	John T. Gosselin	Anseris Group	(781) 782-6006	Call List Office, Appointment Required	You've found it!  This expansive ranch in a wooded setting along Winchester's coveted Fells/East Hill offers outstanding value for the handy homeowner and developer alike.  Mature plantings, updated heating/central air, 2 fireplaces, convenient to everything in town.  Possible in-law/au-pair arrangement in finished basement.  Enjoy the peace and quiet of one of Winchester's premier destination neighborhoods.  Home available for immediate closing and occupancy.  Showings to begin 9/15.	Ranch	1	2	Forced Air, Oil		Lincoln	McCall	Winchester	Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl;Appliances:Range, Wall Oven, Dishwasher, Refrigerator, Washer, Dryer;Foundation:Concrete Block;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Patio, Professional Landscaping;Insulation:Partial;Electric:--;Interior Features:Security System;Hot Water:Electric, Tank;	SF	Lawson Rd	87	87	http://media.mlspin.com/photo.aspx?mls=70254688	
70203175	SLD	455000	400000	6/3/2005	9/30/2005		53	52	43 Swanton Street	Winchester	MA	01890		3	1.5	0	135	16069	Christopher Sanders	Coldwell Banker Residential Brokerage - Arlington	(781) 648-6500	Call List Office, Lock Box, Key in Office, Appointment Required	This late 19th c. home in a country setting on large lot is in need of TLC and has expansion potential.  The 1st floor features spacious living and dining rms, large eat-in kitchen,and a recently added skylit family room with wood burning stove. Other improvements include kitchen updates, many replacement windows, and electrical work. Third bedrm has electric heat. Two rms in attic are unheated. Roll up your sleeves and get to work to polish this "diamond in the rough"!	Colonial, Antique, Farmhouse	1	0	Central Heat, Hot Water Radiators, Gas, Other (See Remarks)		muraco			Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Concrete Block, Fieldstone;Construction:Frame;Exterior:Shingles;Exterior Features:Storage Shed;Insulation:Partial;Electric:Circuit Breakers;Interior Features:Walk-up Attic, Other (See Remarks);Hot Water:Natural Gas, Tank;	SF	Swanton Street	43	43	http://media.mlspin.com/photo.aspx?mls=70203175	
70189888	SLD	1475000	1420000	5/11/2005	10/4/2005		118	118	8 Copley Street	Winchester	MA	01890		6	3.5	3475	114	11182	Carol McKinnon	Coldwell Banker Residential Brokerage - Winchester	(781) 729-7290	Call List Office, Accompanied Showings, Appointment Required	This gracious home in "The Flats" which has been totally renovated while maintaining the beauty of yesteryears with gormet kitchen, two butler pantries, industrial stainless steel appliances, pocket doors, jack and jill staircase, built-ins and window seats, hardwired smoke detectors, CAT-5 computer network throughout,  professionally landscaped, walk to town, churchs, tennis.  A remarkable beauty and a must see. The 3rd floor and basement makes the total area 6080.	Colonial	1	1	Hot Water Radiators, Steam, Oil		Lynch	McCall	WHS	Basement:Yes;Fireplaces:4;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range, Dishwasher, Disposal, Refrigerator, Freezer;Foundation:Fieldstone;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Porch, Gutters, Professional Landscaping, Sprinkler System;Insulation:Full, Fiberglass, Blown In;Electric:Circuit Breakers;Interior Features:Security System, Cable Available;Hot Water:Natural Gas;	SF	Copley Street	8	8	http://media.mlspin.com/photo.aspx?mls=70189888	
70151965	SLD	1250000	1198000	3/2/2005	10/6/2005		150	150	15 Ridgefield Road	Winchester	MA	01890		5	3.5	4234	100	13164	Anne Spry	Carlson GMAC Real Estate	(781) 729-7000	Call List Office, Accompanied Showings	Come see this bright and spacious Colonial Revival that abuts the town forest.  This lovely 4200 sq. ft. home combines old world craftsmanship with elegant living of today. Many special features including leaded glass French doors,uniquely tiled fireplace,window seats and so much more! Newly created master suite with walk-in California closet and state of the art spa like shower and amenities. This large home allows ample private space for everyone.  Wonderfully active neighborhood.	Colonial	1	1	Hot Water Radiators, Radiant, Oil		Ambrose	McCall		Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Compactor, Refrigerator;Foundation:Fieldstone;Construction:Frame;Exterior:Shingles;Exterior Features:Porch, Deck;Insulation:--;Electric:Circuit Breakers;Interior Features:--;Hot Water:Natural Gas;	SF	Ridgefield Road	15	15	http://media.mlspin.com/photo.aspx?mls=70151965	
